pair,epsilon_mrad,kernel,theta_d,solver,n_trk,n_valid,n_total,excluded_frac,nnz,n_seg,fill,eff,eff_sem,far,far_sem,eff_wp,far_wp
clean,0.425,step2x,1e-06,classical,10,20,20,0.0,460.0,400.0,1.1499999999999997,1.0,0.0,0.0,0.0,1.0,0.0
clean,0.425,step2x,1e-06,classical,20,20,20,0.0,1720.0,1600.0,1.0749999999999997,1.0,0.0,0.0,0.0,1.0,0.0
clean,0.425,step2x,1e-06,classical,50,20,20,0.0,10299.9,10000.0,1.0299900000000002,0.99975,0.00025000000000000017,0.0,0.0,0.99975,0.0
clean,0.425,step2x,1e-06,classical,100,20,20,0.0,40601.1,40000.0,1.0150275,1.0,0.0,0.0027313925422392795,0.000761079813798143,1.0,0.0
clean,0.425,step2x,1e-06,classical,200,19,20,0.050000000000000044,161208.6,160000.0,1.00755375,0.9994736842105264,0.0005263157894736846,0.009047861536395278,0.0010630473397375195,0.9996052631578948,0.00045945980046270004
clean,0.425,step2x,1e-06,classical,400,19,20,0.050000000000000044,642454.8,640000.0,1.003835625,0.9997697368421052,0.00019828005833361033,0.03129234298347946,0.001443327360016591,0.9996052631578949,0.00039477855191009475
clean,0.425,step2x,1e-06,classical,700,20,20,0.0,1964510.3,1960000.0,1.0023011734693879,0.9994999999999999,0.0002294157338705557,0.09619189358920034,0.0018575396037761615,0.9994999999999999,0.00073167812203067
clean,0.425,step2x,1e-06,classical,1000,20,20,0.0,4006892.8,4000000.0,1.0017232,0.9996375000000001,0.0001596408386611057,0.17696027685891896,0.0014426048562080041,0.9993999999999998,0.0011611713664720798
clean,0.425,erf_kink,0.00014159802,classical,10,20,20,0.0,460.0,400.0,1.1499999999999997,1.0,0.0,0.0,0.0,1.0,0.0
clean,0.425,erf_kink,0.00014159802,classical,20,20,20,0.0,1720.3,1600.0,1.0751875000000002,1.0,0.0,0.0,0.0,1.0,0.0
clean,0.425,erf_kink,0.00014159802,classical,50,20,20,0.0,10301.0,10000.0,1.0301000000000002,1.0,0.0,0.0,0.0,0.9899999999999997,0.0
clean,0.425,erf_kink,0.00014159802,classical,100,20,20,0.0,40609.3,40000.0,1.0152324999999998,1.0,0.0,0.0027313925422392795,0.000761079813798143,0.9899999999999997,0.0
clean,0.425,erf_kink,0.00014159802,classical,200,20,20,0.0,161266.6,160000.0,1.0079162499999998,0.9996875,0.0003124999999999988,0.008415583419509204,0.0009209048922315872,0.9899999999999997,0.0006915088495929
clean,0.425,erf_kink,0.00014159802,classical,400,20,20,0.0,642913.9,640000.0,1.00455296875,0.99975,0.00025000000000000017,0.02880757236611118,0.0012953495477690574,0.9899999999999997,0.0005670287904206399
clean,0.425,erf_kink,0.00014159802,classical,700,19,20,0.050000000000000044,1966981.7,1960000.0,1.0035620918367347,0.9998496240601504,0.00015037593984962001,0.08777924596442147,0.0016759170373227023,0.9899999999999998,0.0007768017752652
clean,0.425,erf_kink,0.00014159802,classical,1000,20,20,0.0,4014044.3,4000000.0,1.003511075,0.9997000000000001,0.0001638356043818252,0.16080260819766698,0.0015868722748681467,0.9899999999999997,0.0011342257352432799
moderate,3.397,step2x,1e-06,classical,10,20,20,0.0,460.6,400.0,1.1514999999999997,0.99,0.009999999999999998,0.0023809523809523803,0.0023809523809523803,1.0,0.003488372093023255
moderate,3.397,step2x,1e-06,classical,20,20,20,0.0,1720.2,1600.0,1.0751249999999999,1.0,0.0,0.0024390243902439003,0.0016786517112480112,1.0,0.0012195121951219501
moderate,3.397,step2x,1e-06,classical,50,19,20,0.050000000000000044,10308.9,10000.0,1.0308899999999999,0.9978947368421053,0.002105263157894739,0.03533647582118591,0.003834145207879555,0.9997368421052633,0.0013053544160386106
moderate,3.397,step2x,1e-06,classical,100,20,20,0.0,40661.6,40000.0,1.0165399999999998,0.9960000000000001,0.00164636761259127,0.12255573040100605,0.004168619686144452,0.998875,0.007666740875444565
moderate,3.397,step2x,1e-06,classical,200,12,20,0.4,161667.0,160000.0,1.01041875,0.9916666666666667,0.002071938535026872,0.34759904029140104,0.0043123164013853035,0.9964583333333333,0.043268526241219164
moderate,3.397,step2x,1e-06,classical,400,16,20,0.19999999999999996,646093.7,640000.0,1.00952140625,0.983671875,0.002717058261973479,0.6895077874499651,0.0021608738283364925,0.994765625,0.06422143278204642
moderate,3.397,step2x,1e-06,classical,700,9,20,0.55,1983609.3,1960000.0,1.0120455612244894,0.9699206349206348,0.002871848179787724,0.8727828453480783,0.0011557068028425234,0.9908730158730159,0.43834036180591984
moderate,3.397,step2x,1e-06,classical,1000,5,20,0.75,4062139.7,4000000.0,1.015534925,0.9399000000000001,0.0062116825417917135,0.9332606728871763,0.0008236795971386824,0.9903500000000001,0.834212887228779
moderate,3.397,erf_kink,0.0011322446,classical,10,20,20,0.0,462.4,400.0,1.156,1.0,0.0,0.008902691511387159,0.0068240379864479795,1.0,0.005555555555555555
moderate,3.397,erf_kink,0.0011322446,classical,20,20,20,0.0,1726.9,1600.0,1.0793125,1.0,0.0,0.00361552028218694,0.0024660673671160404,1.0,0.0012195121951219501
moderate,3.397,erf_kink,0.0011322446,classical,50,20,20,0.0,10380.9,10000.0,1.03809,1.0,0.0,0.037388513177576604,0.004356229008578245,0.9899999999999997,0.0036757872292256548
moderate,3.397,erf_kink,0.0011322446,classical,100,20,20,0.0,41150.7,40000.0,1.0287675000000003,0.9973749999999999,0.0014675772193437873,0.11701316643452934,0.0041294913101233245,0.9899999999999997,0.009304020446818412
moderate,3.397,erf_kink,0.0011322446,classical,200,19,20,0.050000000000000044,165552.5,160000.0,1.0347031249999998,0.993157894736842,0.0013361005448884063,0.33751606956594066,0.0047777994575807555,0.9899999999999998,0.0211518100920131
moderate,3.397,erf_kink,0.0011322446,classical,400,17,20,0.15000000000000002,676269.2,640000.0,1.056670625,0.9881985294117646,0.001836212121936734,0.6734522932729161,0.002258876135727584,0.9899999999999999,0.05498968285836318
moderate,3.397,erf_kink,0.0011322446,classical,700,8,20,0.6,2141687.3,1960000.0,1.0926976020408163,0.9788839285714286,0.0017618785476768337,0.8624526405730037,0.001605155008855656,0.99,0.19895156493076707
moderate,3.397,erf_kink,0.0011322446,classical,1000,1,20,0.95,4519968.7,4000000.0,1.1299921749999997,,,,,,
