pair,epsilon_mrad,kernel,theta_d,solver,n_trk,n_valid,n_total,excluded_frac,nnz,n_seg,fill,eff,eff_sem,far,far_sem,eff_wp,far_wp
heavy,6.646,step2x,1e-06,classical,10,20,20,0.0,460.2,400.0,1.1504999999999996,1.0,0.0,0.004761904761904761,0.0032773676267223092,1.0,0.0
heavy,6.646,step2x,1e-06,classical,20,18,20,0.09999999999999998,1722.2,1600.0,1.076375,1.0,0.0,0.018716593588970206,0.004495251618997473,1.0,0.0013550135501355
heavy,6.646,step2x,1e-06,classical,50,17,20,0.15000000000000002,10335.1,10000.0,1.0335100000000002,0.9920588235294119,0.0035629533645840377,0.12394588027375039,0.005902796219348397,0.9979411764705882,0.01637888676986287
heavy,6.646,step2x,1e-06,classical,100,10,20,0.5,40835.2,40000.0,1.0208799999999998,0.98275,0.005196820609222959,0.3481079108790555,0.008888835242109778,0.9964999999999999,0.12649722492882495
heavy,6.646,step2x,1e-06,classical,200,13,20,0.35,162995.3,160000.0,1.0187206249999998,0.9579807692307694,0.004593967401838184,0.6840768220084771,0.0038026441296034066,0.9933653846153848,0.24450138375277272
heavy,6.646,step2x,1e-06,classical,400,8,20,0.6,656212.9,640000.0,1.02533265625,0.90609375,0.005189960152441311,0.895486021930116,0.001266336899291318,0.990234375,0.8174373413397005
heavy,6.646,step2x,1e-06,classical,700,4,20,0.8,2039170.8,1960000.0,1.0403932653061227,,,,,,
heavy,6.646,step2x,1e-06,classical,1000,0,20,1.0,4220592.5,4000000.0,1.055148125,,,,,,
heavy,6.646,erf_kink,0.0022153451,classical,10,20,20,0.0,462.4,400.0,1.1560000000000001,1.0,0.0,0.0023809523809523803,0.0023809523809523803,1.0,0.0
heavy,6.646,erf_kink,0.0022153451,classical,20,20,20,0.0,1744.3,1600.0,1.0901875,1.0,0.0,0.029093470008020726,0.005577266707238502,1.0,0.0059954102122776794
heavy,6.646,erf_kink,0.0022153451,classical,50,20,20,0.0,10607.8,10000.0,1.0607799999999998,0.9960000000000001,0.002752988806446743,0.12933603526047083,0.0060037861147907105,0.9899999999999997,0.023741186984193252
heavy,6.646,erf_kink,0.0022153451,classical,100,20,20,0.0,42719.2,40000.0,1.06798,0.9869999999999999,0.003913539251583436,0.3385828513462191,0.00508861517917696,0.9899999999999997,0.05901238479125796
heavy,6.646,erf_kink,0.0022153451,classical,200,13,20,0.35,177897.7,160000.0,1.1118606249999998,0.9715384615384616,0.004542696850391434,0.6700723420911382,0.004384628410963095,0.9900000000000001,0.11821833804145049
heavy,6.646,erf_kink,0.0022153451,classical,400,2,20,0.9,770253.5,640000.0,1.2035210937500003,,,,,,
heavy,6.646,erf_kink,0.0022153451,classical,700,0,20,1.0,2651831.5,1960000.0,1.3529752551020406,,,,,,
heavy,6.646,erf_kink,0.0022153451,classical,1000,0,20,1.0,5981295.1,4000000.0,1.4953237750000001,,,,,,
clean,0.425,step2x,1e-06,quantum,10,20,20,0.0,460.0,400.0,1.1499999999999997,1.0,0.0,0.0,0.0,1.0,0.0
clean,0.425,step2x,1e-06,quantum,20,20,20,0.0,1720.0,1600.0,1.0749999999999997,1.0,0.0,0.0,0.0,1.0,0.0
clean,0.425,step2x,1e-06,quantum,50,20,20,0.0,10299.9,10000.0,1.0299900000000002,0.99975,0.00025000000000000017,0.0,0.0,0.99975,0.0
clean,0.425,step2x,1e-06,quantum,100,20,20,0.0,40601.1,40000.0,1.0150275,1.0,0.0,0.0027313925422392795,0.000761079813798143,1.0,0.0027313925422392795
clean,0.425,step2x,1e-06,quantum,200,19,20,0.050000000000000044,161208.6,160000.0,1.00755375,1.0,0.0,0.009742824580014825,0.0012656349400762621,0.9998026315789473,0.00974562640926082
clean,0.425,step2x,1e-06,quantum,400,19,20,0.050000000000000044,642454.8,640000.0,1.003835625,0.9999671052631579,3.289473684210456e-05,0.03241864456842186,0.0015648459463059906,0.9996710526315791,0.03242852727222363
clean,0.425,step2x,1e-06,quantum,700,20,20,0.0,1964510.3,1960000.0,1.0023011734693879,0.9999285714285714,3.2773676267220947e-05,0.09894311802410369,0.0018868049172205024,0.9995,0.09893814278243743
clean,0.425,step2x,1e-06,quantum,1000,20,20,0.0,4006892.8,4000000.0,1.0017232,0.9999500000000001,2.294157338705365e-05,0.1812153884408286,0.0014851010996054918,0.99915,0.18130232501754734
clean,0.425,erf_kink,0.00014159802,quantum,10,20,20,0.0,460.0,400.0,1.1499999999999997,1.0,0.0,0.0,0.0,1.0,0.0
clean,0.425,erf_kink,0.00014159802,quantum,20,20,20,0.0,1720.3,1600.0,1.0751875000000002,1.0,0.0,0.00365853658536585,0.0019979951753881084,1.0,0.00365853658536585
clean,0.425,erf_kink,0.00014159802,quantum,50,20,20,0.0,10301.0,10000.0,1.0301000000000002,1.0,0.0,0.004180102371786675,0.0016399653503288395,1.0,0.004180102371786675
clean,0.425,erf_kink,0.00014159802,quantum,100,20,20,0.0,40609.3,40000.0,1.0152324999999998,1.0,0.0,0.022133730648941315,0.0023740343972920275,0.9995,0.022149952283610688
clean,0.425,erf_kink,0.00014159802,quantum,200,20,20,0.0,161266.6,160000.0,1.0079162499999998,1.0,0.0,0.07144105226868429,0.003253270010873692,0.999375,0.07122084711453687
clean,0.425,erf_kink,0.00014159802,quantum,400,20,20,0.0,642913.9,640000.0,1.00455296875,1.0,0.0,0.2394173456804983,0.0029417860853911204,0.9976250000000002,0.23974020381572342
clean,0.425,erf_kink,0.00014159802,quantum,700,19,20,0.050000000000000044,1966981.7,1960000.0,1.0035620918367347,1.0,0.0,0.4946910502933118,0.0032011230927277983,0.9954323308270677,0.49566545406968787
clean,0.425,erf_kink,0.00014159802,quantum,1000,20,20,0.0,4014044.3,4000000.0,1.003511075,1.0,0.0,0.6645349985560063,0.0014655403899547152,0.9947999999999999,0.6656014050803546
moderate,3.397,step2x,1e-06,quantum,10,20,20,0.0,460.6,400.0,1.1514999999999997,1.0,0.0,0.006926406926406925,0.005019051663375138,1.0,0.006926406926406925
moderate,3.397,step2x,1e-06,quantum,20,20,20,0.0,1720.2,1600.0,1.0751249999999999,1.0,0.0,0.0024390243902439003,0.0016786517112480112,1.0,0.0024390243902439003
moderate,3.397,step2x,1e-06,quantum,50,19,20,0.050000000000000044,10308.9,10000.0,1.0308899999999999,1.0,0.0,0.0362103586414441,0.003989631556221116,0.9994736842105264,0.03623215125326439
moderate,3.397,step2x,1e-06,quantum,100,20,20,0.0,40661.6,40000.0,1.0165399999999998,1.0,0.0,0.12474023276760851,0.004124895588461364,0.9960000000000001,0.12519320368838438
moderate,3.397,step2x,1e-06,quantum,200,12,20,0.4,161667.0,160000.0,1.01041875,1.0,0.0,0.34933495659186814,0.004225160595639209,0.9957291666666666,0.3501285002882401
moderate,3.397,step2x,1e-06,quantum,400,16,20,0.19999999999999996,646093.7,640000.0,1.00952140625,0.9998828125000001,6.298638865858108e-05,0.6878602905978888,0.0020265885321677965,0.998828125,0.6880331648759007
moderate,3.397,step2x,1e-06,quantum,700,9,20,0.55,1983609.3,1960000.0,1.0120455612244894,0.9998809523809524,5.9523809523805614e-05,0.8701528097418341,0.0011571213603640627,0.9996031746031746,0.8701737797930424
moderate,3.397,step2x,1e-06,quantum,1000,5,20,0.75,4062139.7,4000000.0,1.015534925,0.9999,9.999999999998899e-05,0.929831763507105,0.0006750138389626949,0.9994500000000001,0.9298557875333741
moderate,3.397,erf_kink,0.0011322446,quantum,10,20,20,0.0,462.4,400.0,1.156,1.0,0.0,0.022402597402597396,0.009607426946819283,1.0,0.02151607257990236
moderate,3.397,erf_kink,0.0011322446,quantum,20,20,20,0.0,1726.9,1600.0,1.0793125,1.0,0.0,0.05728146557637433,0.008483926747976035,1.0,0.056734269953939306
moderate,3.397,erf_kink,0.0011322446,quantum,50,20,20,0.0,10380.9,10000.0,1.03809,1.0,0.0,0.25988244247858894,0.007829456562675875,0.9984999999999999,0.26017529993596694
moderate,3.397,erf_kink,0.0011322446,quantum,100,20,20,0.0,41150.7,40000.0,1.0287675000000003,1.0,0.0,0.5480366187854521,0.0061536296755912235,0.999875,0.5477872535401396
moderate,3.397,erf_kink,0.0011322446,quantum,200,19,20,0.050000000000000044,165552.5,160000.0,1.0347031249999998,0.9996052631578948,0.00016701256811104702,0.8275037791590714,0.0015519400592647707,0.9992105263157894,0.8274694836672309
moderate,3.397,erf_kink,0.0011322446,quantum,400,17,20,0.15000000000000002,676269.2,640000.0,1.056670625,0.9412867647058825,0.018085773871562825,0.949540755559512,0.001061358120222988,0.9984558823529411,0.9466940252706509
moderate,3.397,erf_kink,0.0011322446,quantum,700,8,20,0.6,2141687.3,1960000.0,1.0926976020408163,0.8898660714285713,0.021214699875277625,0.9820073932827855,0.0004580474003776217,0.9960714285714286,0.979991435127983
moderate,3.397,erf_kink,0.0011322446,quantum,1000,1,20,0.95,4519968.7,4000000.0,1.1299921749999997,,,,,,
heavy,6.646,step2x,1e-06,quantum,10,20,20,0.0,460.2,400.0,1.1504999999999996,1.0,0.0,0.004761904761904761,0.0032773676267223092,1.0,0.004761904761904761
heavy,6.646,step2x,1e-06,quantum,20,18,20,0.09999999999999998,1722.2,1600.0,1.076375,1.0,0.0,0.018716593588970206,0.004495251618997473,1.0,0.018716593588970206
heavy,6.646,step2x,1e-06,quantum,50,17,20,0.15000000000000002,10335.1,10000.0,1.0335100000000002,0.9997058823529412,0.00029411764705882383,0.12711079961064187,0.006112305648452844,0.9952941176470587,0.12737359771804058
heavy,6.646,step2x,1e-06,quantum,100,10,20,0.5,40835.2,40000.0,1.0208799999999998,1.0,0.0,0.34982354929419157,0.008723249410598917,0.99925,0.3497937516941874
heavy,6.646,step2x,1e-06,quantum,200,13,20,0.35,162995.3,160000.0,1.0187206249999998,0.9998076923076922,0.00013019292315121455,0.6780631248594878,0.0036692912413631294,0.9994230769230767,0.6780867891482055
heavy,6.646,step2x,1e-06,quantum,400,8,20,0.6,656212.9,640000.0,1.02533265625,0.9996875000000001,0.00023622779563076194,0.8873817568373703,0.0014007600337748861,0.99921875,0.8874054582092497
heavy,6.646,step2x,1e-06,quantum,700,4,20,0.8,2039170.8,1960000.0,1.0403932653061227,,,,,,
heavy,6.646,step2x,1e-06,quantum,1000,0,20,1.0,4220592.5,4000000.0,1.055148125,,,,,,
heavy,6.646,erf_kink,0.0022153451,quantum,10,20,20,0.0,462.4,400.0,1.1560000000000001,1.0,0.0,0.04250587632791878,0.009094763762338842,1.0,0.04250587632791878
heavy,6.646,erf_kink,0.0022153451,quantum,20,20,20,0.0,1744.3,1600.0,1.0901875,1.0,0.0,0.17297537668823354,0.010856327511859618,1.0,0.17253678019700547
heavy,6.646,erf_kink,0.0022153451,quantum,50,20,20,0.0,10607.8,10000.0,1.0607799999999998,0.99975,0.00025000000000000017,0.54252151958914,0.007353869488532015,0.99925,0.5421101291945309
heavy,6.646,erf_kink,0.0022153451,quantum,100,20,20,0.0,42719.2,40000.0,1.06798,0.999125,0.0003282228864017445,0.8094436935674013,0.0026364609062613374,0.998375,0.8094267065248804
heavy,6.646,erf_kink,0.0022153451,quantum,200,13,20,0.35,177897.7,160000.0,1.1118606249999998,0.9567307692307693,0.015662159954421034,0.9407045524795843,0.0012988789574591257,0.9965384615384616,0.9384788403898785
heavy,6.646,erf_kink,0.0022153451,quantum,400,2,20,0.9,770253.5,640000.0,1.2035210937500003,,,,,,
heavy,6.646,erf_kink,0.0022153451,quantum,700,0,20,1.0,2651831.5,1960000.0,1.3529752551020406,,,,,,
heavy,6.646,erf_kink,0.0022153451,quantum,1000,0,20,1.0,5981295.1,4000000.0,1.4953237750000001,,,,,,
