pair,sigma_scatt,sigma_res,theta_d,n_trk,solver,n_true,n_false,auc,youden_J,tau_J,eer,tau_EER,tau_wp99,eff_abs,far_abs,eff_J,far_J,eff_EER,far_EER,eff_wp99,far_wp99,tau_m99,eff_m99,far_m99,tau_m999,eff_m999,far_m999,n_solves,n_excluded,excluded_frac
clean,0.0001,0.0,1e-06,10,classical,800,7200,1.0,1.0,0.25049999999999994,0.0,0.25049999999999994,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,20,0,0.0
clean,0.0001,0.0,1e-06,10,quantum,800,7200,1.0,1.0,0.0004999999999999449,0.0,0.0004999999999999449,0.558,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.558,1.0,0.0,0.558,1.0,0.0,20,0,0.0
clean,0.0001,0.0,1e-06,20,classical,1600,30400,1.0,1.0,0.25049999999999994,0.0,0.25049999999999994,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,20,0,0.0
clean,0.0001,0.0,1e-06,20,quantum,1600,30400,1.0,1.0,0.0004999999999999449,0.0,0.0004999999999999449,0.558,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.558,1.0,0.0,0.558,1.0,0.0,20,0,0.0
clean,0.0001,0.0,1e-06,50,classical,4000,196000,0.9998750000000001,0.99975,0.25049999999999994,0.00012499999999998623,0.25049999999999994,1.0,0.99975,0.0,0.99975,0.0,0.99975,0.0,0.99925,0.0,1.0,0.99925,0.0,1.0,0.99925,0.0,20,0,0.0
clean,0.0001,0.0,1e-06,50,quantum,4000,196000,0.9998750000000001,0.99975,0.0004999999999999449,0.00012499999999998623,0.0004999999999999449,0.5555000000000001,0.99975,0.0,0.99975,0.0,0.99975,0.0,0.99975,0.0,0.5555000000000001,0.99975,0.0,0.5555000000000001,0.99975,0.0,20,0,0.0
clean,0.0001,0.0,1e-06,100,classical,8000,792000,1.0,1.0,0.5005,0.0,0.5005,1.0,1.0,0.002742458239840439,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,20,0,0.0
clean,0.0001,0.0,1e-06,100,quantum,8000,792000,0.9999930555555556,0.9999722222222223,0.0004999999999999449,1.3888888888868856e-05,0.0004999999999999449,0.5569999999999999,1.0,0.002742458239840439,1.0,0.002742458239840439,1.0,0.002742458239840439,1.0,0.002742458239840439,0.5569999999999999,1.0,0.002742458239840439,0.5569999999999999,1.0,0.002742458239840439,20,0,0.0
clean,0.0001,0.0,1e-06,200,classical,15194,3024796,0.9998673721338427,0.9998230767824412,0.4990000000000001,8.879220958685208e-05,0.25049999999999994,1.0,0.9998683690930631,0.009066597090861652,0.9998683690930631,0.008937308369756671,0.9998683690930631,0.009066597090861652,0.9996051072791892,0.00019748535316963992,1.0,0.9996051072791892,0.00019748535316963995,1.0,0.9996051072791892,0.00019748535316963995,20,1,0.05
clean,0.0001,0.0,1e-06,200,quantum,15200,3024800,0.9999870192809616,0.9999504099444592,0.0004999999999999449,5.768976461251185e-05,0.5295000000000001,0.556,1.0,0.009771986970684038,1.0,0.009771986970684038,0.9999342105263158,0.00977262362368884,0.9998026315789473,0.00977389717860168,0.556,0.9998026315789473,0.00977389717860168,0.556,0.9998026315789473,0.00977389717860168,20,1,0.05
