phi_max,n_tracks,sigma_scatt,sigma_scatt_mrad,epsilon,repeat,n_true,n_false,true_accepted,false_accepted,segment_efficiency,segment_false_rate
0.02,10,0.0008,0.8,0.0033941788403088016,9,30,2970,30,2,1.0,0.0625
0.02,10,0.001,1.0,0.004242693719796422,0,30,2970,30,7,1.0,0.1891891891891892
0.02,10,0.001,1.0,0.004242693719796422,1,30,2970,30,5,1.0,0.14285714285714285
0.02,10,0.001,1.0,0.004242693719796422,2,30,2970,30,12,1.0,0.2857142857142857
0.02,10,0.001,1.0,0.004242693719796422,3,30,2970,30,16,1.0,0.34782608695652173
0.02,10,0.001,1.0,0.004242693719796422,4,30,2970,30,3,1.0,0.09090909090909091
0.02,10,0.001,1.0,0.004242693719796422,5,30,2970,30,8,1.0,0.21052631578947367
0.02,10,0.001,1.0,0.004242693719796422,6,30,2970,30,10,1.0,0.25
0.02,10,0.001,1.0,0.004242693719796422,7,30,2970,30,0,1.0,0.0
0.02,10,0.001,1.0,0.004242693719796422,8,30,2970,30,6,1.0,0.16666666666666666
0.02,10,0.001,1.0,0.004242693719796422,9,30,2970,30,20,1.0,0.4
0.02,20,5e-05,0.05,0.00021319005605327846,0,60,23940,60,0,1.0,0.0
0.02,20,5e-05,0.05,0.00021319005605327846,1,60,23940,60,0,1.0,0.0
0.02,20,5e-05,0.05,0.00021319005605327846,2,60,23940,60,0,1.0,0.0
0.02,20,5e-05,0.05,0.00021319005605327846,3,60,23940,60,0,1.0,0.0
0.02,20,5e-05,0.05,0.00021319005605327846,4,60,23940,60,0,1.0,0.0
0.02,20,5e-05,0.05,0.00021319005605327846,5,60,23940,60,0,1.0,0.0
0.02,20,5e-05,0.05,0.00021319005605327846,6,60,23940,60,0,1.0,0.0
0.02,20,5e-05,0.05,0.00021319005605327846,7,60,23940,60,0,1.0,0.0
0.02,20,5e-05,0.05,0.00021319005605327846,8,60,23940,60,0,1.0,0.0
0.02,20,5e-05,0.05,0.00021319005605327846,9,60,23940,60,0,1.0,0.0
0.02,20,0.0001,0.1,0.0004247940677551889,0,60,23940,60,0,1.0,0.0
0.02,20,0.0001,0.1,0.0004247940677551889,1,60,23940,60,1,1.0,0.01639344262295082
0.02,20,0.0001,0.1,0.0004247940677551889,2,60,23940,60,0,1.0,0.0
0.02,20,0.0001,0.1,0.0004247940677551889,3,60,23940,60,0,1.0,0.0
0.02,20,0.0001,0.1,0.0004247940677551889,4,60,23940,60,1,1.0,0.01639344262295082
0.02,20,0.0001,0.1,0.0004247940677551889,5,60,23940,60,0,1.0,0.0
0.02,20,0.0001,0.1,0.0004247940677551889,6,60,23940,60,0,1.0,0.0
0.02,20,0.0001,0.1,0.0004247940677551889,7,60,23940,60,0,1.0,0.0
0.02,20,0.0001,0.1,0.0004247940677551889,8,60,23940,60,0,1.0,0.0
0.02,20,0.0001,0.1,0.0004247940677551889,9,60,23940,60,1,1.0,0.01639344262295082
0.02,20,0.0002,0.2,0.0008487932610477066,0,60,23940,59,1,0.9833333333333333,0.016666666666666666
0.02,20,0.0002,0.2,0.0008487932610477066,1,60,23940,60,0,1.0,0.0
0.02,20,0.0002,0.2,0.0008487932610477066,2,60,23940,60,0,1.0,0.0
0.02,20,0.0002,0.2,0.0008487932610477066,3,60,23940,60,6,1.0,0.09090909090909091
0.02,20,0.0002,0.2,0.0008487932610477066,4,60,23940,60,0,1.0,0.0
0.02,20,0.0002,0.2,0.0008487932610477066,5,60,23940,60,1,1.0,0.01639344262295082
0.02,20,0.0002,0.2,0.0008487932610477066,6,60,23940,60,3,1.0,0.047619047619047616
0.02,20,0.0002,0.2,0.0008487932610477066,7,60,23940,60,1,1.0,0.01639344262295082
0.02,20,0.0002,0.2,0.0008487932610477066,8,60,23940,60,1,1.0,0.01639344262295082
0.02,20,0.0002,0.2,0.0008487932610477066,9,60,23940,60,4,1.0,0.0625
0.02,20,0.0004,0.4,0.0016971888521905864,0,60,23940,60,14,1.0,0.1891891891891892
0.02,20,0.0004,0.4,0.0016971888521905864,1,60,23940,60,11,1.0,0.15492957746478872
0.02,20,0.0004,0.4,0.0016971888521905864,2,60,23940,60,4,1.0,0.0625
0.02,20,0.0004,0.4,0.0016971888521905864,3,60,23940,60,11,1.0,0.15492957746478872
0.02,20,0.0004,0.4,0.0016971888521905864,4,60,23940,60,10,1.0,0.14285714285714285
0.02,20,0.0004,0.4,0.0016971888521905864,5,60,23940,60,6,1.0,0.09090909090909091
0.02,20,0.0004,0.4,0.0016971888521905864,6,60,23940,60,15,1.0,0.2
0.02,20,0.0004,0.4,0.0016971888521905864,7,60,23940,60,8,1.0,0.11764705882352941
