phi_max,n_tracks,sigma_res,sigma_res_mm,epsilon,repeat,n_true,n_false,true_accepted,false_accepted,segment_efficiency,segment_false_rate
0.02,10,0.05,0.05,0.015751537045137484,0,30,2970,30,86,1.0,0.7413793103448276
0.02,10,0.05,0.05,0.015751537045137484,1,30,2970,30,56,1.0,0.6511627906976745
0.02,10,0.05,0.05,0.015751537045137484,2,30,2970,30,68,1.0,0.6938775510204082
0.02,10,0.05,0.05,0.015751537045137484,3,30,2970,30,123,1.0,0.803921568627451
0.02,10,0.05,0.05,0.015751537045137484,4,30,2970,30,154,1.0,0.8369565217391305
0.02,10,0.05,0.05,0.015751537045137484,5,30,2970,30,40,1.0,0.5714285714285714
0.02,10,0.05,0.05,0.015751537045137484,6,30,2970,30,116,1.0,0.7945205479452054
0.02,10,0.05,0.05,0.015751537045137484,7,30,2970,30,69,1.0,0.696969696969697
0.02,10,0.05,0.05,0.015751537045137484,8,30,2970,30,63,1.0,0.6774193548387096
0.02,10,0.05,0.05,0.015751537045137484,9,30,2970,30,110,1.0,0.7857142857142857
0.02,20,0.0,0.0,0.0004247940677551889,0,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551889,1,60,23940,60,4,1.0,0.0625
0.02,20,0.0,0.0,0.0004247940677551889,2,60,23940,60,10,1.0,0.14285714285714285
0.02,20,0.0,0.0,0.0004247940677551889,3,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551889,4,60,23940,60,1,1.0,0.01639344262295082
0.02,20,0.0,0.0,0.0004247940677551889,5,60,23940,60,1,1.0,0.01639344262295082
0.02,20,0.0,0.0,0.0004247940677551889,6,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551889,7,60,23940,60,1,1.0,0.01639344262295082
0.02,20,0.0,0.0,0.0004247940677551889,8,60,23940,60,2,1.0,0.03225806451612903
0.02,20,0.0,0.0,0.0004247940677551889,9,60,23940,60,0,1.0,0.0
0.02,20,0.005,0.005,0.0016308858027061653,0,60,23940,60,9,1.0,0.13043478260869565
0.02,20,0.005,0.005,0.0016308858027061653,1,60,23940,60,2,1.0,0.03225806451612903
0.02,20,0.005,0.005,0.0016308858027061653,2,60,23940,60,4,1.0,0.0625
0.02,20,0.005,0.005,0.0016308858027061653,3,60,23940,60,4,1.0,0.0625
0.02,20,0.005,0.005,0.0016308858027061653,4,60,23940,60,6,1.0,0.09090909090909091
0.02,20,0.005,0.005,0.0016308858027061653,5,60,23940,60,15,1.0,0.2
0.02,20,0.005,0.005,0.0016308858027061653,6,60,23940,60,0,1.0,0.0
0.02,20,0.005,0.005,0.0016308858027061653,7,60,23940,60,3,1.0,0.047619047619047616
0.02,20,0.005,0.005,0.0016308858027061653,8,60,23940,60,2,1.0,0.03225806451612903
0.02,20,0.005,0.005,0.0016308858027061653,9,60,23940,60,7,1.0,0.1044776119402985
0.02,20,0.01,0.01,0.0031777035588293387,0,60,23940,60,22,1.0,0.2682926829268293
0.02,20,0.01,0.01,0.0031777035588293387,1,60,23940,60,17,1.0,0.22077922077922077
0.02,20,0.01,0.01,0.0031777035588293387,2,60,23940,60,36,1.0,0.375
0.02,20,0.01,0.01,0.0031777035588293387,3,60,23940,60,23,1.0,0.27710843373493976
0.02,20,0.01,0.01,0.0031777035588293387,4,60,23940,60,14,1.0,0.1891891891891892
0.02,20,0.01,0.01,0.0031777035588293387,5,60,23940,60,35,1.0,0.3684210526315789
0.02,20,0.01,0.01,0.0031777035588293387,6,60,23940,60,23,1.0,0.27710843373493976
0.02,20,0.01,0.01,0.0031777035588293387,7,60,23940,60,20,1.0,0.25
0.02,20,0.01,0.01,0.0031777035588293387,8,60,23940,60,40,1.0,0.4
0.02,20,0.01,0.01,0.0031777035588293387,9,60,23940,60,26,1.0,0.3023255813953488
0.02,20,0.015,0.015,0.0047428337441630134,0,60,23940,60,82,1.0,0.5774647887323944
0.02,20,0.015,0.015,0.0047428337441630134,1,60,23940,60,51,1.0,0.4594594594594595
0.02,20,0.015,0.015,0.0047428337441630134,2,60,23940,60,46,1.0,0.4339622641509434
0.02,20,0.015,0.015,0.0047428337441630134,3,60,23940,60,54,1.0,0.47368421052631576
0.02,20,0.015,0.015,0.0047428337441630134,4,60,23940,60,60,1.0,0.5
0.02,20,0.015,0.015,0.0047428337441630134,5,60,23940,60,72,1.0,0.5454545454545454
0.02,20,0.015,0.015,0.0047428337441630134,6,60,23940,60,37,1.0,0.38144329896907214
0.02,20,0.015,0.015,0.0047428337441630134,7,60,23940,60,38,1.0,0.3877551020408163
0.02,20,0.015,0.015,0.0047428337441630134,8,60,23940,60,57,1.0,0.48717948717948717
0.02,20,0.015,0.015,0.0047428337441630134,9,60,23940,60,63,1.0,0.5121951219512195
0.02,20,0.02,0.02,0.006312668537322595,0,60,23940,60,127,1.0,0.679144385026738
0.02,20,0.02,0.02,0.006312668537322595,1,60,23940,60,98,1.0,0.620253164556962
0.02,20,0.02,0.02,0.006312668537322595,2,60,23940,60,123,1.0,0.6721311475409836
0.02,20,0.02,0.02,0.006312668537322595,3,60,23940,60,110,1.0,0.6470588235294118
0.02,20,0.02,0.02,0.006312668537322595,4,60,23940,60,88,1.0,0.5945945945945946
0.02,20,0.02,0.02,0.006312668537322595,5,60,23940,60,54,1.0,0.47368421052631576
0.02,20,0.02,0.02,0.006312668537322595,6,60,23940,60,124,1.0,0.6739130434782609
0.02,20,0.02,0.02,0.006312668537322595,7,60,23940,60,113,1.0,0.653179190751445
0.02,20,0.02,0.02,0.006312668537322595,8,60,23940,60,158,1.0,0.7247706422018348
0.02,20,0.02,0.02,0.006312668537322595,9,60,23940,60,103,1.0,0.6319018404907976
0.02,20,0.03,0.03,0.009457071732672446,0,60,23940,60,208,1.0,0.7761194029850746
0.02,20,0.03,0.03,0.009457071732672446,1,60,23940,60,221,1.0,0.7864768683274022
0.02,20,0.03,0.03,0.009457071732672446,2,60,23940,60,235,1.0,0.7966101694915254
0.02,20,0.03,0.03,0.009457071732672446,3,60,23940,60,160,1.0,0.7272727272727273
0.02,20,0.03,0.03,0.009457071732672446,4,60,23940,60,142,1.0,0.7029702970297029
0.02,20,0.03,0.03,0.009457071732672446,5,60,23940,60,184,1.0,0.7540983606557377
0.02,20,0.03,0.03,0.009457071732672446,6,60,23940,60,324,1.0,0.84375
0.02,20,0.03,0.03,0.009457071732672446,7,60,23940,60,257,1.0,0.8107255520504731
0.02,20,0.03,0.03,0.009457071732672446,8,60,23940,60,180,1.0,0.75
0.02,20,0.03,0.03,0.009457071732672446,9,60,23940,60,229,1.0,0.7923875432525952
0.02,20,0.05,0.05,0.015751537045137484,0,60,23940,60,1083,1.0,0.94750656167979
0.02,20,0.05,0.05,0.015751537045137484,1,60,23940,60,489,1.0,0.8907103825136612
0.02,20,0.05,0.05,0.015751537045137484,2,60,23940,60,820,1.0,0.9318181818181818
0.02,20,0.05,0.05,0.015751537045137484,3,60,23940,60,491,1.0,0.8911070780399274
0.02,20,0.05,0.05,0.015751537045137484,4,60,23940,60,552,1.0,0.9019607843137255
0.02,20,0.05,0.05,0.015751537045137484,5,60,23940,60,583,1.0,0.9066874027993779
0.02,20,0.05,0.05,0.015751537045137484,6,60,23940,60,724,1.0,0.923469387755102
0.02,20,0.05,0.05,0.015751537045137484,7,60,23940,60,424,1.0,0.8760330578512396
0.02,20,0.05,0.05,0.015751537045137484,8,60,23940,60,416,1.0,0.8739495798319328
