regime,T,setout,series,eff,far
heavy,700,fork_b0.5,fitted_d40_wp99,0.9960087082728591,0.983433516801854
heavy,1000,fork_b0.5,fitted_d40_wp99,0.9916094584286804,0.9362643847742697
heavy,200,occ0.05_fork0.5,fitted_d40_wp99,0.9911054494258664,0.3295740347736963
heavy,400,occ0.05_fork0.5,fitted_d40_wp99,0.9903598971722364,0.9618529287507144
heavy,700,occ0.05_fork0.5,fitted_d40_wp99,0.9901710957408082,0.9542411089801824
heavy,1000,occ0.05_fork0.5,fitted_d40_wp99,0.9900839054157132,0.9383681106107692
heavy,200,erf,fitted_d40_wp99,0.9911054494258664,0.7472388534065312
heavy,400,erf,fitted_d40_wp99,0.9903598971722364,0.9537736981041516
heavy,700,erf,fitted_d40_wp99,0.9901710957408082,0.977447772048129
heavy,1000,erf,fitted_d40_wp99,0.9900839054157132,0.9896994120367312
