setout,regime,T,rep,family,degree,gamma,occ_alpha,eps_scale,kernel,fork_beta,eps,lam_min,lam_max,far_e990,eff_e990,far_e995,eff_e995,far_e999,eff_e999,eff_f001,eff_f010,cos_C,notes
base,moderate,200,0,classical_invA,,3.0,0.0,3.0,step,0.0,0.0031777035588293387,1.9999999999999987,6.000000000000001,0.3070796460176991,0.9974522292993631,0.3070796460176991,0.9974522292993631,0.9950003821363972,1.0,0.4878980891719745,0.49171974522292994,0.9999999999999998,fixed-tau 0.350: eff 0.9847 far 0.0264
base,moderate,200,0,fitted_moment,32.0,3.0,0.0,3.0,step,0.0,0.0031777035588293387,1.9999999999999987,6.000000000000001,0.3070796460176991,0.9974522292993631,0.3070796460176991,0.9974522292993631,0.9950003821363972,1.0,0.9592356687898089,0.9681528662420382,0.1158255625008342,mu=0.3
base,moderate,200,0,fitted_moment,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293387,1.9999999999999987,6.000000000000001,0.3070796460176991,0.9974522292993631,0.3070796460176991,0.9974522292993631,0.9949996178051825,1.0,0.9592356687898089,0.9681528662420382,0.11582556200934965,mu=0.3
base,moderate,200,0,fitted_moment,44.0,3.0,0.0,3.0,step,0.0,0.0031777035588293387,1.9999999999999987,6.000000000000001,0.3070796460176991,0.9974522292993631,0.3070796460176991,0.9974522292993631,0.9950003821363972,1.0,0.9592356687898089,0.9681528662420382,0.11582556199931765,mu=0.3
base,moderate,200,0,fitted_moment,80.0,3.0,0.0,3.0,step,0.0,0.0031777035588293387,1.9999999999999987,6.000000000000001,0.3070796460176991,0.9974522292993631,0.3070796460176991,0.9974522292993631,0.9950003821363972,1.0,0.9592356687898089,0.9681528662420382,0.11582556120522053,mu=0.3
base,moderate,200,0,fitted_moment,160.0,3.0,0.0,3.0,step,0.0,0.0031777035588293387,1.9999999999999987,6.000000000000001,0.3070796460176991,0.9974522292993631,0.3070796460176991,0.9974522292993631,0.9949996178051825,1.0,0.9592356687898089,0.9681528662420382,0.11582556068594577,mu=0.3
base,moderate,200,0,comb_prod,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293387,1.9999999999999987,6.000000000000001,0.9950003821363972,1.0,0.9950003821363972,1.0,0.9950003821363972,1.0,0.9363057324840764,0.9414012738853503,0.29706916926915217,
base,moderate,200,0,comb_prod,44.0,3.0,0.0,3.0,step,0.0,0.0031777035588293387,1.9999999999999987,6.000000000000001,0.30604982206405695,0.9936305732484076,0.3070796460176991,0.9974522292993631,0.9950003821363972,1.0,0.9363057324840764,0.9414012738853503,0.21778249608809502,
base,moderate,200,0,normalized_half_comb,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293387,1.9999999999999987,6.000000000000001,0.3063943161634103,0.9949044585987261,0.3073516386182462,0.9961783439490446,0.9950003821363972,1.0,0.9477707006369427,0.9643312101910828,0.1903253388459796,
base,moderate,200,0,normalized_half_comb,44.0,3.0,0.0,3.0,step,0.0,0.0031777035588293387,1.9999999999999987,6.000000000000001,0.3053571428571429,0.9910828025477707,0.3073516386182462,0.9961783439490446,0.9950003821363972,1.0,0.9477707006369427,0.9643312101910828,0.12313383541949617,
base,moderate,200,1,classical_invA,,3.0,0.0,3.0,step,0.0,0.0031777035588293387,1.7738053819471324,6.22619461805285,0.9950010293890575,1.0,0.9950010293890575,1.0,0.9950010293890575,1.0,0.001287001287001287,0.4877734877734878,1.0,fixed-tau 0.350: eff 0.9743 far 0.0130
base,moderate,200,1,fitted_moment,32.0,3.0,0.0,3.0,step,0.0,0.0031777035588293387,1.7738053819471324,6.22619461805285,0.9950010293890575,1.0,0.9950010293890575,1.0,0.9950010293890575,1.0,0.9652509652509652,0.972972972972973,0.1176333199615611,mu=1.39
base,moderate,200,1,fitted_moment,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293387,1.7738053819471324,6.22619461805285,0.9949994851464758,1.0,0.9949994851464758,1.0,0.9949994851464758,1.0,0.9652509652509652,0.972972972972973,0.11763330986589687,mu=1.39
base,moderate,200,1,fitted_moment,44.0,3.0,0.0,3.0,step,0.0,0.0031777035588293387,1.7738053819471324,6.22619461805285,0.9949994851464758,1.0,0.9949994851464758,1.0,0.9949994851464758,1.0,0.9652509652509652,0.972972972972973,0.11763330850466733,mu=1.39
base,moderate,200,1,fitted_moment,80.0,3.0,0.0,3.0,step,0.0,0.0031777035588293387,1.7738053819471324,6.22619461805285,0.9949994851464758,1.0,0.9949994851464758,1.0,0.9949994851464758,1.0,0.9652509652509652,0.972972972972973,0.11763330761446929,mu=1.39
base,moderate,200,1,fitted_moment,160.0,3.0,0.0,3.0,step,0.0,0.0031777035588293387,1.7738053819471324,6.22619461805285,0.9949994851464758,1.0,0.9949994851464758,1.0,0.9949994851464758,1.0,0.9652509652509652,0.972972972972973,0.11763330725367582,mu=1.39
base,moderate,200,1,comb_prod,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293387,1.7738053819471324,6.22619461805285,0.9950074309500678,0.9987129987129987,0.9950074309500678,0.9987129987129987,0.9950010293890575,1.0,0.9446589446589446,0.9665379665379665,0.2162702001450191,
base,moderate,200,1,comb_prod,44.0,3.0,0.0,3.0,step,0.0,0.0031777035588293387,1.7738053819471324,6.22619461805285,0.9950010293890575,1.0,0.9950010293890575,1.0,0.9950010293890575,1.0,0.9510939510939511,0.9665379665379665,0.30773911628834716,
