setout,regime,T,rep,family,degree,gamma,occ_alpha,kernel,eps,n_seg,n_true,lam_min,lam_max,far_e970,eff_e970,far_e980,eff_e980,far_e990,eff_e990,far_e995,eff_e995,eff_f001,eff_f010,eff_f100,cos_C,notes
base,heavy,200,0,classical_invA,,3.0,0.0,step,0.006312668537322595,157609,788,0.6327818341300506,7.367218165869949,0.1311659192825112,0.983502538071066,0.1311659192825112,0.983502538071066,0.6496872207327972,0.9949238578680203,0.9950002855166901,1.0,0.0,0.0,0.5,1.0,reference only (tau_abs 0.350)
base,heavy,200,0,fitted_moment,40.0,3.0,0.0,step,0.006312668537322595,157609,788,0.6327818341300506,7.367218165869949,0.08422301304863583,0.9796954314720813,0.09451575262543757,0.9847715736040609,0.6496872207327972,0.9949238578680203,0.9950002855166901,1.0,0.3134517766497462,0.5139593908629442,0.9847715736040609,0.08879465790450491,mu=0.00646
base,heavy,200,0,fitted_moment,80.0,3.0,0.0,step,0.006312668537322595,157609,788,0.6327818341300506,7.367218165869949,0.07151515151515152,0.9720812182741116,0.08726415094339622,0.9822335025380711,0.6496872207327972,0.9949238578680203,0.9950002855166901,1.0,0.3147208121827411,0.5152284263959391,0.9822335025380711,0.0715801756501841,mu=0.003
base,heavy,200,0,fitted_moment,84.0,3.0,0.0,step,0.006312668537322595,157609,788,0.6327818341300506,7.367218165869949,0.07151515151515152,0.9720812182741116,0.08293838862559241,0.9822335025380711,0.6495306213679034,0.9949238578680203,0.9950002855166901,1.0,0.5152284263959391,0.5152284263959391,0.9822335025380711,0.071568541272207,mu=0.003
base,heavy,200,0,fitted_moment,160.0,3.0,0.0,step,0.006312668537322595,157609,788,0.6327818341300506,7.367218165869949,0.07151515151515152,0.9720812182741116,0.08293838862559241,0.9822335025380711,0.6493738819320215,0.9949238578680203,0.9950002855166901,1.0,0.5152284263959391,0.5152284263959391,0.9822335025380711,0.07154000739663659,mu=0.003
base,heavy,200,0,comb_prod,40.0,3.0,0.0,step,0.006312668537322595,157609,788,0.6327818341300506,7.367218165869949,0.2047817047817048,0.9708121827411168,0.20880245649948823,0.9809644670050761,0.9950380080965494,0.9923857868020305,0.9950129118630517,0.9974619289340102,0.0,0.0,0.8058375634517766,0.5537785346765493,
base,heavy,200,0,comb_prod,44.0,3.0,0.0,step,0.006312668537322595,157609,788,0.6327818341300506,7.367218165869949,0.9950937120194461,0.9733502538071066,0.9950556479467827,0.9809644670050761,0.9950380080965494,0.9923857868020305,0.9950191619502043,0.9961928934010152,0.0,0.0,0.8058375634517766,0.7334492797916423,
base,heavy,200,0,normalized_half_comb,40.0,3.0,0.0,step,0.006312668537322595,157609,788,0.6327818341300506,7.367218165869949,0.07263922518159806,0.9720812182741116,0.6281744130330618,0.9847715736040609,0.649059982094897,0.9949238578680203,0.9950002855166901,1.0,0.0012690355329949238,0.0012690355329949238,0.9796954314720813,0.20256120915724266,
base,heavy,200,0,normalized_half_comb,44.0,3.0,0.0,step,0.006312668537322595,157609,788,0.6327818341300506,7.367218165869949,0.07263922518159806,0.9720812182741116,0.6281744130330618,0.9847715736040609,0.6425629290617849,0.9911167512690355,0.9950002855166901,1.0,0.0,0.0,0.9796954314720813,0.13420280790129235,
base,heavy,200,1,classical_invA,,3.0,0.0,step,0.006312668537322595,156611,783,0.9324217837610916,7.067578216238909,0.11098265895953757,0.9821200510855683,0.11098265895953757,0.9821200510855683,0.6666666666666666,0.9974457215836526,0.6666666666666666,0.9974457215836526,0.0,0.0,0.5019157088122606,0.9999999999999998,reference only (tau_abs 0.350)
base,heavy,200,1,fitted_moment,40.0,3.0,0.0,step,0.006312668537322595,156611,783,0.9324217837610916,7.067578216238909,0.05795314426633785,0.9757343550446999,0.06341463414634146,0.9808429118773946,0.6666666666666666,0.9974457215836526,0.6666666666666666,0.9974457215836526,0.27330779054916987,0.9310344827586207,0.9821200510855683,0.12037098238171925,mu=0.139
base,heavy,200,1,fitted_moment,80.0,3.0,0.0,step,0.006312668537322595,156611,783,0.9324217837610916,7.067578216238909,0.056511056511056514,0.9808429118773946,0.056511056511056514,0.9808429118773946,0.6663818880820163,0.9974457215836526,0.6663818880820163,0.9974457215836526,0.07279693486590039,0.5159642401021711,0.9808429118773946,0.12087400114539425,mu=0.139
base,heavy,200,1,fitted_moment,84.0,3.0,0.0,step,0.006312668537322595,156611,783,0.9324217837610916,7.067578216238909,0.056511056511056514,0.9808429118773946,0.056511056511056514,0.9808429118773946,0.6663818880820163,0.9974457215836526,0.6663818880820163,0.9974457215836526,0.07279693486590039,0.9348659003831418,0.9808429118773946,0.12087027060150043,mu=0.139
base,heavy,200,1,fitted_moment,160.0,3.0,0.0,step,0.006312668537322595,156611,783,0.9324217837610916,7.067578216238909,0.056580565805658053,0.979565772669221,0.05766871165644172,0.9808429118773946,0.6659538066723696,0.9974457215836526,0.6659538066723696,0.9974457215836526,0.07279693486590039,0.9348659003831418,0.9821200510855683,0.12308538788546654,mu=0.3
base,heavy,200,1,comb_prod,40.0,3.0,0.0,step,0.006312668537322595,156611,783,0.9324217837610916,7.067578216238909,0.995103124335539,0.9706257982120051,0.9950456457733367,0.9821200510855683,0.9950130261544748,0.9974457215836526,0.9950130261544748,0.9974457215836526,0.0,0.0,0.8416347381864623,0.72511182894769,
base,heavy,200,1,comb_prod,44.0,3.0,0.0,step,0.006312668537322595,156611,783,0.9324217837610916,7.067578216238909,0.9950967126712285,0.9719029374201787,0.9950519927326144,0.9808429118773946,0.995032023652165,0.9936143039591315,0.9950193479177043,0.9961685823754789,0.0,0.0,0.8416347381864623,0.7852967724849089,
base,heavy,200,1,normalized_half_comb,40.0,3.0,0.0,step,0.006312668537322595,156611,783,0.9324217837610916,7.067578216238909,0.05693069306930693,0.9731800766283525,0.06341463414634146,0.9808429118773946,0.6476449275362319,0.9936143039591315,0.6666666666666666,0.9974457215836526,0.0038314176245210726,0.0038314176245210726,0.9808429118773946,0.199173427990605,
base,heavy,200,1,normalized_half_comb,44.0,3.0,0.0,step,0.006312668537322595,156611,783,0.9324217837610916,7.067578216238909,0.05693069306930693,0.9731800766283525,0.06341463414634146,0.9808429118773946,0.6476449275362319,0.9936143039591315,0.660574412532637,0.9961685823754789,0.001277139208173691,0.001277139208173691,0.9808429118773946,0.13064136978276175,
base,heavy,200,2,classical_invA,,3.0,0.0,step,0.006312668537322595,157212,786,0.8361882257492791,7.163811774250719,0.13077790304396844,0.9809160305343512,0.13077790304396844,0.9809160305343512,0.6272076372315036,0.9936386768447837,0.9950003816502557,1.0,0.0,0.0,0.5063613231552163,1.0,reference only (tau_abs 0.350)
base,heavy,200,2,fitted_moment,40.0,3.0,0.0,step,0.006312668537322595,157212,786,0.8361882257492791,7.163811774250719,0.06951219512195123,0.9707379134860051,0.09294117647058824,0.9809160305343512,0.6272076372315036,0.9936386768447837,0.9950003816502557,1.0,0.24681933842239187,0.9223918575063613,0.9809160305343512,0.11756678273473513,mu=0.0646
base,heavy,200,2,fitted_moment,80.0,3.0,0.0,step,0.006312668537322595,157212,786,0.8361882257492791,7.163811774250719,0.06150061500615006,0.9707379134860051,0.12045454545454545,0.9847328244274809,0.6250600096015363,0.9936386768447837,0.9950003180459258,1.0,0.12086513994910941,0.926208651399491,0.9770992366412213,0.10002511893081582,mu=0.003
base,heavy,200,2,fitted_moment,84.0,3.0,0.0,step,0.006312668537322595,157212,786,0.8361882257492791,7.163811774250719,0.05334987593052109,0.9707379134860051,0.10969976905311778,0.9809160305343512,0.6243386243386243,0.9936386768447837,0.9950003180459258,1.0,0.089058524173028,0.9274809160305344,0.9770992366412213,0.11827554790481118,mu=0.0646
base,heavy,200,2,fitted_moment,160.0,3.0,0.0,step,0.006312668537322595,157212,786,0.8361882257492791,7.163811774250719,0.05672009864364982,0.9732824427480916,0.17796610169491525,0.9872773536895675,0.6230694980694981,0.9936386768447837,0.9949998727702996,1.0,0.2900763358778626,0.926208651399491,0.9796437659033079,0.12203493233269176,mu=0.3
base,heavy,200,2,comb_prod,40.0,3.0,0.0,step,0.006312668537322595,157212,786,0.8361882257492791,7.163811774250719,0.19002123142250532,0.9707379134860051,0.9950535016338823,0.9821882951653944,0.9950090017362779,0.9910941475826972,0.9950003498482931,1.0,0.1984732824427481,0.3969465648854962,0.8295165394402035,0.5227048131210436,
base,heavy,200,2,comb_prod,44.0,3.0,0.0,step,0.006312668537322595,157212,786,0.8361882257492791,7.163811774250719,0.9951106354892248,0.9707379134860051,0.9950597823997539,0.9809160305343512,0.9950255402250593,0.9949109414758269,0.9950192423905092,0.9961832061068703,0.0,0.7938931297709924,0.8027989821882952,0.8277853254918233,
base,heavy,200,2,normalized_half_comb,40.0,3.0,0.0,step,0.006312668537322595,157212,786,0.8361882257492791,7.163811774250719,0.07064555420219244,0.9707379134860051,0.6085192697768763,0.9821882951653944,0.6272076372315036,0.9936386768447837,0.9950003816502557,1.0,0.010178117048346057,0.010178117048346057,0.9770992366412213,0.1993489213741644,
base,heavy,200,2,normalized_half_comb,44.0,3.0,0.0,step,0.006312668537322595,157212,786,0.8361882257492791,7.163811774250719,0.07177615571776155,0.9707379134860051,0.6077235772357723,0.9821882951653944,0.6272076372315036,0.9936386768447837,0.9950003816502557,1.0,0.010178117048346057,0.010178117048346057,0.9770992366412213,0.13093975910878058,
base,heavy,200,3,classical_invA,,3.0,0.0,step,0.006312668537322595,157608,788,0.975112968044996,7.024887031955003,0.14126807563959956,0.9796954314720813,0.2176529588766299,0.9898477157360406,0.6508218569524655,0.9974619289340102,0.6508218569524655,0.9974619289340102,0.0025380710659898475,0.0025380710659898475,0.501269035532995,1.0000000000000002,reference only (tau_abs 0.350)
base,heavy,200,3,fitted_moment,40.0,3.0,0.0,step,0.006312668537322595,157608,788,0.975112968044996,7.024887031955003,0.0924170616113744,0.9720812182741116,0.17834394904458598,0.9822335025380711,0.6508218569524655,0.9974619289340102,0.6508218569524655,0.9974619289340102,0.282994923857868,0.9149746192893401,0.9720812182741116,0.11205263981248266,mu=0.00646
base,heavy,200,3,fitted_moment,80.0,3.0,0.0,step,0.006312668537322595,157608,788,0.975112968044996,7.024887031955003,0.06707317073170732,0.9708121827411168,0.19395203336809178,0.9809644670050761,0.6505113383726101,0.9974619289340102,0.6505113383726101,0.9974619289340102,0.4860406091370558,0.9213197969543148,0.9708121827411168,0.12449523816789843,mu=0.646
base,heavy,200,3,fitted_moment,84.0,3.0,0.0,step,0.006312668537322595,157608,788,0.975112968044996,7.024887031955003,0.06707317073170732,0.9708121827411168,0.19395203336809178,0.9809644670050761,0.6505113383726101,0.9974619289340102,0.6505113383726101,0.9974619289340102,0.0901015228426396,0.9200507614213198,0.9758883248730964,0.12449622563883192,mu=0.646
base,heavy,200,3,fitted_moment,160.0,3.0,0.0,step,0.006312668537322595,157608,788,0.975112968044996,7.024887031955003,0.06364749082007344,0.9708121827411168,0.19395203336809178,0.9809644670050761,0.6494201605709188,0.9974619289340102,0.6494201605709188,0.9974619289340102,0.2880710659898477,0.9213197969543148,0.9708121827411168,0.12448814782061125,mu=0.646
base,heavy,200,3,comb_prod,40.0,3.0,0.0,step,0.006312668537322595,157608,788,0.975112968044996,7.024887031955003,0.9951062237319362,0.9708121827411168,0.9950556163209436,0.9809644670050761,0.9950253807106599,0.9949238578680203,0.9950190987424018,0.9961928934010152,0.39593908629441626,0.39593908629441626,0.8020304568527918,0.7767941862650585,
base,heavy,200,3,comb_prod,44.0,3.0,0.0,step,0.006312668537322595,157608,788,0.975112968044996,7.024887031955003,0.9950809815009083,0.9758883248730964,0.9950556795722172,0.9809644670050761,0.995012848577139,0.9974619289340102,0.995012848577139,0.9974619289340102,0.0,0.39593908629441626,0.8020304568527918,0.758137332619507,
base,heavy,200,3,normalized_half_comb,40.0,3.0,0.0,step,0.006312668537322595,157608,788,0.975112968044996,7.024887031955003,0.08052884615384616,0.9708121827411168,0.6326045627376425,0.9809644670050761,0.6508218569524655,0.9974619289340102,0.6508218569524655,0.9974619289340102,0.0,0.0,0.9733502538071066,0.19734501714542632,
base,heavy,200,3,normalized_half_comb,44.0,3.0,0.0,step,0.006312668537322595,157608,788,0.975112968044996,7.024887031955003,0.0924170616113744,0.9720812182741116,0.6326045627376425,0.9809644670050761,0.6453224341507721,0.9911167512690355,0.6508218569524655,0.9974619289340102,0.0,0.0,0.9720812182741116,0.12735420711102302,
base,heavy,200,4,classical_invA,,3.0,0.0,step,0.006312668537322595,158006,790,0.49983301046878914,7.500166989531206,0.15250544662309368,0.9848101265822785,0.15250544662309368,0.9848101265822785,0.234375,0.9924050632911392,0.6428571428571429,1.0,0.0012658227848101266,0.0012658227848101266,0.5113924050632911,1.0,reference only (tau_abs 0.350)
base,heavy,200,4,fitted_moment,40.0,3.0,0.0,step,0.006312668537322595,158006,790,0.49983301046878914,7.500166989531206,0.09918319719953325,0.9772151898734177,0.19338159255429163,0.9873417721518988,0.20426829268292682,0.9911392405063291,0.6428571428571429,1.0,0.012658227848101266,0.9139240506329114,0.979746835443038,0.11650409138361464,mu=0.00646
base,heavy,200,4,fitted_moment,80.0,3.0,0.0,step,0.006312668537322595,158006,790,0.49983301046878914,7.500166989531206,0.078125,0.970886075949367,0.08608490566037735,0.9810126582278481,0.234375,0.9924050632911392,0.6428571428571429,1.0,0.09113924050632911,0.9253164556962026,0.9810126582278481,0.10875927219560233,mu=0.003
base,heavy,200,4,fitted_moment,84.0,3.0,0.0,step,0.006312668537322595,158006,790,0.49983301046878914,7.500166989531206,0.078125,0.970886075949367,0.08608490566037735,0.9810126582278481,0.20406091370558377,0.9924050632911392,0.6428571428571429,1.0,0.0670886075949367,0.9253164556962026,0.9810126582278481,0.11916240248992138,mu=0.00646
base,heavy,200,4,fitted_moment,160.0,3.0,0.0,step,0.006312668537322595,158006,790,0.49983301046878914,7.500166989531206,0.057387057387057384,0.9772151898734177,0.06626506024096386,0.9810126582278481,0.14596949891067537,0.9924050632911392,0.6402550091074681,1.0,0.3139240506329114,0.930379746835443,0.9848101265822785,0.11090276619497909,mu=0.003
base,heavy,200,4,comb_prod,40.0,3.0,0.0,step,0.006312668537322595,158006,790,0.49983301046878914,7.500166989531206,0.9950890038331281,0.9746835443037974,0.9950573979591837,0.9810126582278481,0.995025221997886,0.9949367088607595,0.995018955816176,0.9962025316455696,0.0,0.41012658227848103,0.8240506329113924,0.7566092084948006,
base,heavy,200,4,comb_prod,44.0,3.0,0.0,step,0.006312668537322595,158006,790,0.49983301046878914,7.500166989531206,0.22289766970618036,0.970886075949367,0.22577422577422576,0.9810126582278481,0.2323529411764706,0.9911392405063291,0.995000158222841,1.0,0.20506329113924052,0.41012658227848103,0.8645569620253165,0.43306916173303994,
base,heavy,200,4,normalized_half_comb,40.0,3.0,0.0,step,0.006312668537322595,158006,790,0.49983301046878914,7.500166989531206,0.078125,0.970886075949367,0.08500590318772137,0.9810126582278481,0.6275534441805226,0.9924050632911392,0.6426956128448665,1.0,0.006329113924050633,0.006329113924050633,0.9810126582278481,0.19905520246426567,
base,heavy,200,4,normalized_half_comb,44.0,3.0,0.0,step,0.006312668537322595,158006,790,0.49983301046878914,7.500166989531206,0.07692307692307693,0.9721518987341772,0.08500590318772137,0.9810126582278481,0.6354793886058361,0.9962025316455696,0.6354793886058361,0.9962025316455696,0.006329113924050633,0.006329113924050633,0.9810126582278481,0.13085137356206564,
base,heavy,200,5,classical_invA,,3.0,0.0,step,0.006312668537322595,156814,784,1.3318495777925252,6.668150422207479,0.10187353629976581,0.9783163265306123,0.17584745762711865,0.9923469387755102,0.17584745762711865,0.9923469387755102,0.9950004463887153,1.0,0.0012755102040816326,0.0012755102040816326,0.49107142857142855,1.0,reference only (tau_abs 0.350)
