setout,regime,T,rep,family,degree,gamma,eps,n_seg,n_true,lam_min,lam_max,far_e970,eff_e970,far_e980,eff_e980,far_e990,eff_e990,far_e995,eff_e995,far_e999,eff_e999,eff_f001,eff_f010,eff_f100,notes
base,clean,700,1,onebqf_cos,1.0,3.0,0.0004247940677551889,1960000,2800,2.152240934977426,5.847759065022571,0.0014275517487508922,0.9992857142857143,0.0014275517487508922,0.9992857142857143,0.0014275517487508922,0.9992857142857143,0.0014275517487508922,0.9992857142857143,0.0014275517487508922,0.9992857142857143,0.49964285714285717,0.9996428571428572,0.9996428571428572,
base,clean,700,1,comb_prod,40.0,3.0,0.0004247940677551889,1960000,2800,2.152240934977426,5.847759065022571,0.0,0.9971428571428571,0.0,0.9971428571428571,0.0,0.9971428571428571,0.0,0.9971428571428571,0.0014275517487508922,0.9992857142857143,0.9978571428571429,0.9996428571428572,0.9996428571428572,
base,clean,700,2,classical_invA,,3.0,0.0004247940677551889,1960000,2800,2.152240934977427,5.847759065022574,0.0007137758743754461,1.0,0.0007137758743754461,1.0,0.0007137758743754461,1.0,0.0007137758743754461,1.0,0.0007137758743754461,1.0,1.0,1.0,1.0,reference only (tau_abs 0.350)
base,clean,700,2,onebqf_cos,1.0,3.0,0.0004247940677551889,1960000,2800,2.152240934977427,5.847759065022574,0.0007142857142857143,0.9992857142857143,0.0007142857142857143,0.9992857142857143,0.0007142857142857143,0.9992857142857143,0.0007142857142857143,0.9992857142857143,0.0007142857142857143,0.9992857142857143,1.0,1.0,1.0,
base,clean,700,2,comb_prod,40.0,3.0,0.0004247940677551889,1960000,2800,2.152240934977427,5.847759065022574,0.0,0.9971428571428571,0.0,0.9971428571428571,0.0,0.9971428571428571,0.0,0.9971428571428571,0.0007142857142857143,0.9992857142857143,1.0,1.0,1.0,
base,clean,1000,0,classical_invA,,3.0,0.0004247940677551889,4000000,4000,2.3819660112501038,5.618033988749894,0.0,0.99925,0.0,0.99925,0.0,0.99925,0.0,0.99925,0.0,0.99925,0.99975,0.99975,0.99975,reference only (tau_abs 0.350)
base,clean,1000,0,onebqf_cos,1.0,3.0,0.0004247940677551889,4000000,4000,2.3819660112501038,5.618033988749894,0.0,0.99975,0.0,0.99975,0.0,0.99975,0.0,0.99975,0.0,0.99975,0.99975,0.99975,0.99975,
base,clean,1000,0,comb_prod,40.0,3.0,0.0004247940677551889,4000000,4000,2.3819660112501038,5.618033988749894,0.0,0.999,0.0,0.999,0.0,0.999,0.0,0.999,0.0,0.999,0.99975,0.99975,0.99975,
base,clean,1000,1,classical_invA,,3.0,0.0004247940677551889,4000000,4000,2.1522409349774274,5.847759065022576,0.0007494379215588309,1.0,0.0007494379215588309,1.0,0.0007494379215588309,1.0,0.0007494379215588309,1.0,0.0007494379215588309,1.0,1.0,1.0,1.0,reference only (tau_abs 0.350)
base,clean,1000,1,onebqf_cos,1.0,3.0,0.0004247940677551889,4000000,4000,2.1522409349774274,5.847759065022576,0.00075,0.99925,0.00075,0.99925,0.00075,0.99925,0.00075,0.99925,0.00075,0.99925,1.0,1.0,1.0,
