regime,setout,family,degree,eff_f010,far_e990,eff_e990
clean,occ0.05_fork0.5,fitted_moment,24.0,1.0,0.0,0.99
clean,occ0.05_fork0.5,fitted_moment,28.0,1.0,0.0,0.99
clean,occ0.05_fork0.5,fitted_moment,32.0,1.0,0.0,0.99
clean,occ0.05_fork0.5,fitted_moment,36.0,1.0,0.0,0.99
clean,occ0.05_fork0.5,fitted_moment,40.0,1.0,0.0,0.99
clean,occ0.05_fork0.5,fitted_moment,44.0,1.0,0.0,0.99
clean,occ0.05_fork0.5,fitted_moment,48.0,1.0,0.0,0.99
clean,occ0.05_fork0.5,fitted_moment,56.0,1.0,0.0,0.99
clean,occ0.05_fork0.5,fitted_moment,64.0,1.0,0.0,0.99
clean,occ0.05_fork0.5,fitted_moment,80.0,1.0,0.0,0.99
clean,occ0.05_fork0.5,fitted_moment,84.0,1.0,0.0,0.99
clean,occ0.05_fork0.5,fitted_moment,96.0,1.0,0.0,0.99
clean,occ0.05_fork0.5,fitted_moment,120.0,1.0,0.0,0.99
clean,occ0.05_fork0.5,fitted_moment,160.0,1.0,0.0,0.99
clean,occ0.05_fork0.5,onebqf_cos,1.0,0.0,0.9950495049497214,0.99
clean,occ_a0.05,classical_invA,,1.0,0.0,0.99
clean,occ_a0.05,comb_prod,4.0,0.0,0.9950497524876244,0.99
clean,occ_a0.05,comb_prod,8.0,0.75,0.00999381246132785,0.99
clean,occ_a0.05,comb_prod,12.0,0.75,0.00999381246132785,0.99
clean,occ_a0.05,comb_prod,16.0,0.75,0.00999381246132785,0.99
clean,occ_a0.05,comb_prod,20.0,0.75,0.00999381246132785,0.99
clean,occ_a0.05,comb_prod,24.0,0.75,0.00999381246132785,0.99
clean,occ_a0.05,comb_prod,28.0,0.75,0.00999381246132785,0.99
clean,occ_a0.05,comb_prod,32.0,0.75,0.00999381246132785,0.99
clean,occ_a0.05,comb_prod,36.0,0.75,0.00999381246132785,0.99
clean,occ_a0.05,comb_prod,40.0,0.75,0.00999381246132785,0.99
clean,occ_a0.05,comb_prod,44.0,1.0,0.0,0.99
clean,occ_a0.05,comb_prod,48.0,1.0,0.0,0.99
clean,occ_a0.05,comb_prod,56.0,1.0,0.0,0.99
clean,occ_a0.05,comb_prod,64.0,1.0,0.0,0.99
clean,occ_a0.05,comb_prod,80.0,1.0,0.0,0.99
clean,occ_a0.05,comb_prod,120.0,1.0,0.0,0.99
clean,occ_a0.05,fitted_moment,4.0,1.0,0.0,0.99
clean,occ_a0.05,fitted_moment,8.0,1.0,0.0,0.99
clean,occ_a0.05,fitted_moment,12.0,1.0,0.0,0.99
clean,occ_a0.05,fitted_moment,16.0,1.0,0.0,0.99
clean,occ_a0.05,fitted_moment,20.0,1.0,0.0,0.99
clean,occ_a0.05,fitted_moment,24.0,1.0,0.0,0.99
clean,occ_a0.05,fitted_moment,28.0,1.0,0.0,0.99
clean,occ_a0.05,fitted_moment,32.0,1.0,0.0,0.99
clean,occ_a0.05,fitted_moment,36.0,1.0,0.0,0.99
clean,occ_a0.05,fitted_moment,40.0,1.0,0.0,0.99
clean,occ_a0.05,fitted_moment,44.0,1.0,0.0,0.99
clean,occ_a0.05,fitted_moment,48.0,1.0,0.0,0.99
clean,occ_a0.05,fitted_moment,56.0,1.0,0.0,0.99
clean,occ_a0.05,fitted_moment,64.0,1.0,0.0,0.99
clean,occ_a0.05,fitted_moment,80.0,1.0,0.0,0.99
clean,occ_a0.05,fitted_moment,84.0,1.0,0.0,0.99
clean,occ_a0.05,fitted_moment,96.0,1.0,0.0,0.99
clean,occ_a0.05,fitted_moment,120.0,1.0,0.0,0.99
clean,occ_a0.05,fitted_moment,160.0,1.0,0.0,0.99
clean,occ_a0.05,onebqf_cos,1.0,0.0,0.9950495049497214,0.99
heavy,base,classical_invA,,0.00126985406756425,0.6332984909613104,0.994281267356402
heavy,base,comb_prod,4.0,0.0,0.9950442275721156,0.9911167512690356
heavy,base,comb_prod,8.0,0.0,0.9950442275719162,0.9911167512690356
heavy,base,comb_prod,12.0,0.0,0.9950438792340964,0.9911279958876824
heavy,base,comb_prod,16.0,0.10025380710659895,0.9950411910018577,0.9911167512690356
heavy,base,comb_prod,20.0,0.21763959390862944,0.9950062814389604,0.9911167512690356
heavy,base,comb_prod,24.0,0.0,0.9950058306109144,0.9911167512690356
heavy,base,comb_prod,28.0,0.3964428255899562,0.9950160574173985,0.9917751456534696
heavy,base,comb_prod,32.0,0.4035365735819886,0.9950138924071048,0.9911167512690356
heavy,base,comb_prod,36.0,0.4035365735819886,0.9950110532544183,0.9917609072800875
heavy,base,comb_prod,40.0,0.4035365735819886,0.995025301354273,0.9930081800252191
heavy,base,comb_prod,44.0,0.4035365735819886,0.9950257322694032,0.993000045380581
heavy,base,comb_prod,48.0,0.40888494719019586,0.9950318747702449,0.9923951318562689
heavy,base,comb_prod,56.0,0.4035365735819886,0.9950349484189764,0.9911279958876824
heavy,base,comb_prod,64.0,0.7101153315051443,0.994999488065127,0.9923518133367997
heavy,base,comb_prod,80.0,0.8064402357715721,0.6433565097560212,0.9911279958876824
heavy,base,comb_prod,120.0,0.7928856511799125,0.6401109459178617,0.9911279958876824
heavy,base,fitted_moment,4.0,0.0025252686286387997,0.6332102110039206,0.99367072381282
heavy,base,fitted_moment,8.0,0.0648209142222394,0.6332984909613104,0.994281267356402
heavy,base,fitted_moment,12.0,0.2617265915687453,0.6332984909613104,0.994281267356402
heavy,base,fitted_moment,16.0,0.49925520080809116,0.6332984909613104,0.99367072381282
heavy,base,fitted_moment,20.0,0.8055808501569341,0.6332984909613104,0.99367072381282
heavy,base,fitted_moment,24.0,0.8659262344841838,0.6332984909613104,0.994281267356402
heavy,base,fitted_moment,28.0,0.8847871185232006,0.632878631885673,0.9942650600060443
heavy,base,fitted_moment,32.0,0.8976957156327094,0.6332984909613104,0.994281267356402
heavy,base,fitted_moment,36.0,0.8864833961413341,0.6332145883243276,0.9936346250465956
heavy,base,fitted_moment,40.0,0.9186832383978506,0.6332145883243276,0.9942650600060443
heavy,base,fitted_moment,44.0,0.9248893859094667,0.6332145883243276,0.994281267356402
heavy,base,fitted_moment,48.0,0.920586791697343,0.6332145883243276,0.994281267356402
heavy,base,fitted_moment,56.0,0.9261608401808723,0.6332145883243276,0.994281267356402
heavy,base,fitted_moment,64.0,0.9288922034991534,0.6332145883243276,0.994281267356402
heavy,base,fitted_moment,80.0,0.9280724785659875,0.6332145883243276,0.994281267356402
heavy,base,fitted_moment,84.0,0.9257625535478469,0.6331263083669377,0.994281267356402
heavy,base,fitted_moment,96.0,0.9263954649402519,0.6332145883243276,0.994281267356402
heavy,base,fitted_moment,120.0,0.9276612877250618,0.6332145883243276,0.994281267356402
heavy,base,fitted_moment,160.0,0.928294199117467,0.6332145883243276,0.994281267356402
heavy,base,onebqf_cos,1.0,0.0044585987261146,0.6332145883243276,0.994281267356402
heavy,fork_b0.5,classical_invA,,0.0050834475530112996,0.6233416275216332,0.9911167512690356
heavy,fork_b0.5,comb_prod,4.0,0.0,0.9949960074773967,0.9911054494258664
heavy,fork_b0.5,comb_prod,8.0,0.0,0.9289146065410235,0.9917654089343545
heavy,fork_b0.5,comb_prod,12.0,0.22724974230312925,0.9946027518323134,0.9911054494258664
heavy,fork_b0.5,comb_prod,16.0,0.4799249317561419,0.9944516187549794,0.9911279958876824
heavy,fork_b0.5,comb_prod,20.0,0.8865888294864546,0.9950048353346157,0.9911615597997641
heavy,fork_b0.5,comb_prod,24.0,0.882687364685975,0.9950068858062713,0.9917912827216784
heavy,fork_b0.5,comb_prod,28.0,0.8675504179434934,0.9949915659880952,0.9911279958876824
heavy,fork_b0.5,comb_prod,32.0,0.8719046535811776,0.994990007748215,0.9923990915261652
heavy,fork_b0.5,comb_prod,36.0,0.874556787370245,0.9949932568811426,0.9911615597997641
heavy,fork_b0.5,comb_prod,40.0,0.8662765325931749,0.9949898031357316,0.9917848329476147
heavy,fork_b0.5,comb_prod,44.0,0.8654537911511335,0.9949930478188379,0.9917430896409196
heavy,fork_b0.5,comb_prod,48.0,0.8654554180800612,0.994985448773043,0.9936240655326971
heavy,fork_b0.5,comb_prod,56.0,0.8654554180800612,0.9588708184643022,0.9936346250465956
heavy,fork_b0.5,comb_prod,64.0,0.8654554180800612,0.9949660643816706,0.9917848329476147
heavy,fork_b0.5,comb_prod,80.0,0.8654554180800612,0.9588384275348927,0.9923760995078854
heavy,fork_b0.5,comb_prod,120.0,0.8654554180800612,0.9587041473006619,0.9923760995078854
heavy,fork_b0.5,fitted_moment,4.0,0.010791743932919401,0.6277025223767971,0.9936346250465956
heavy,fork_b0.5,fitted_moment,8.0,0.4774346082964208,0.6623061400808756,0.9924072261708032
heavy,fork_b0.5,fitted_moment,12.0,0.501269035532995,0.7649263820003072,0.992998492731074
heavy,fork_b0.5,fitted_moment,16.0,0.9071979372110317,0.7069749292436484,0.994281267356402
heavy,fork_b0.5,fitted_moment,20.0,0.9089771640654123,0.6900356665885031,0.994277215558214
heavy,fork_b0.5,fitted_moment,24.0,0.9121017681881913,0.6882097787921181,0.994281267356402
heavy,fork_b0.5,fitted_moment,28.0,0.912681983621474,0.7478923476005188,0.9949173996719236
heavy,fork_b0.5,fitted_moment,32.0,0.912739523290232,0.7146030780047967,0.9936346250465956
