setout,regime,T,rep,family,degree,far_e990,eff_e990,far_e995,eff_e995,far_e999,eff_e999,eff_f001,eff_f010
base,clean,400,0,onebqf,1,0.10123734533183353,0.99875,0.10123734533183353,0.99875,0.10112359550561797,1.0,0.749375,0.749375
base,clean,400,1,onebqf,1,0.911797194300232,0.998125,0.911797194300232,0.998125,0.9117208634682272,0.999375,0.00625,0.00625
base,clean,400,2,onebqf,1,0.8824393828067597,1.0,0.8824393828067597,1.0,0.8824393828067597,1.0,0.003125,0.003125
base,clean,400,3,onebqf,1,0.6904623718320758,1.0,0.6904623718320758,1.0,0.6904623718320758,1.0,0.001875,0.001875
base,clean,400,4,onebqf,1,0.03734939759036145,0.99875,0.03734939759036145,0.99875,0.03730445246690734,1.0,0.749375,0.749375
base,clean,400,5,onebqf,1,0.6865817825661117,1.0,0.6865817825661117,1.0,0.6865817825661117,1.0,0.021875,0.021875
base,clean,400,6,onebqf,1,0.1598317560462671,0.99875,0.1598317560462671,0.99875,0.15966386554621848,1.0,0.003125,0.75
base,clean,400,7,onebqf,1,0.0990990990990991,1.0,0.0990990990990991,1.0,0.0990990990990991,1.0,0.75,0.75
base,clean,400,8,onebqf,1,0.8822056982993448,1.0,0.8822056982993448,1.0,0.8822056982993448,1.0,0.00875,0.00875
base,clean,400,9,onebqf,1,0.1794871794871795,1.0,0.1794871794871795,1.0,0.1794871794871795,1.0,0.75,0.75
base,clean,700,0,onebqf,1,0.8680303530188057,1.0,0.8680303530188057,1.0,0.8680303530188057,1.0,0.03642857142857143,0.03642857142857143
base,clean,700,1,onebqf,1,0.6087262491203378,0.9928571428571429,0.6073232323232324,0.9996428571428572,0.6073232323232324,0.9996428571428572,0.0125,0.255
base,clean,700,2,onebqf,1,0.11118170266836086,0.9992857142857143,0.11118170266836086,0.9992857142857143,0.11118170266836086,0.9992857142857143,0.7496428571428572,0.7496428571428572
base,clean,700,3,onebqf,1,0.38954505686789154,0.9967857142857143,0.38954505686789154,0.9967857142857143,0.38904647610735327,1.0,0.2517857142857143,0.5
base,clean,700,4,onebqf,1,0.09851899549259498,1.0,0.09851899549259498,1.0,0.09851899549259498,1.0,0.75,0.75
base,clean,700,5,onebqf,1,0.8636075795216523,1.0,0.8636075795216523,1.0,0.8636075795216523,1.0,0.005,0.005
base,clean,700,6,onebqf,1,0.3845306302335831,0.9975,0.3845306302335831,0.9975,0.3840739111306643,1.0,0.2507142857142857,0.7492857142857143
base,clean,700,7,onebqf,1,0.3971033290099438,0.9960714285714286,0.3971033290099438,0.9960714285714286,0.3962915049590341,1.0,0.0064285714285714285,0.2525
base,clean,700,8,onebqf,1,0.3973252804141501,0.9978571428571429,0.3973252804141501,0.9978571428571429,0.3968117190866006,1.0,0.25142857142857145,0.5007142857142857
base,clean,700,9,onebqf,1,0.8793170353123787,0.9996428571428572,0.8793170353123787,0.9996428571428572,0.8793170353123787,0.9996428571428572,0.0067857142857142855,0.0067857142857142855
base,clean,1000,0,onebqf,1,0.9838807083247204,0.99425,0.9838705101862997,0.995,0.9838223208249159,0.999,0.001,0.001
base,clean,1000,1,onebqf,1,0.9455947256579306,0.9985,0.9455947256579306,0.9985,0.9455711892341011,0.999,0.00375,0.00375
base,clean,1000,2,onebqf,1,0.1850642725974291,0.9985,0.1850642725974291,0.9985,0.1850040749796251,1.0,0.5,0.7495
base,clean,1000,3,onebqf,1,0.9818757322821773,0.99775,0.9818757322821773,0.99775,0.9818574749382537,0.999,0.00025,0.00025
base,clean,1000,4,onebqf,1,0.9930681901515919,0.9925,0.9930668181050116,0.995,0.9930546020213958,0.999,0.0,0.0
base,clean,1000,5,onebqf,1,0.6751800916830386,0.992,0.6734960411394988,1.0,0.6734960411394988,1.0,0.01,0.25425
base,clean,1000,6,onebqf,1,0.5576410484229232,0.99575,0.5576410484229232,0.99575,0.5567375886524822,1.0,0.25175,0.25175
base,clean,1000,7,onebqf,1,0.9932161346357441,0.99,0.9932045034677521,0.995,0.9931837488016976,0.999,0.0,0.0
base,clean,1000,8,onebqf,1,0.9819067754316877,0.997,0.9819067754316877,0.997,0.9818743451222666,0.999,0.0,0.0
base,clean,1000,9,onebqf,1,0.6622516556291391,0.9945,0.6610743941704795,1.0,0.6610743941704795,1.0,0.25125,0.25125
base,moderate,400,0,onebqf,1,0.8575584037814744,0.9974538510502864,0.8575584037814744,0.9974538510502864,0.9974986227298926,1.0,0.01336728198599618,0.01336728198599618
base,moderate,400,1,onebqf,1,0.9884900361506976,0.9903598971722365,0.9884720434028682,0.9955012853470437,0.9975004016064257,1.0,0.0,0.0
base,moderate,400,2,onebqf,1,0.8694069969398727,0.9987349778621126,0.8694069969398727,0.9987349778621126,0.8693567058045312,0.9993674889310563,0.010120177103099304,0.010120177103099304
base,moderate,700,0,onebqf,1,0.9949314145295696,0.9900990099009901,0.994941832942571,0.9952328566189952,0.9985716777365571,1.0,0.0,0.0
base,moderate,700,1,onebqf,1,0.9835718391673978,0.9908759124087592,0.9835456251395334,0.9952554744525547,0.9985715931584526,1.0,0.0,0.0
base,moderate,700,2,onebqf,1,0.9950671297721535,0.990185387131952,0.9950652173521233,0.995274445656125,0.9985715324222157,1.0,0.0,0.0
