setout,regime,T,rep,family,degree,gamma,occ_alpha,fork_beta,kernel,eps,n_seg,n_true,lam_min,lam_max,far_e970,eff_e970,far_e980,eff_e980,far_e990,eff_e990,far_e995,eff_e995,eff_f001,eff_f010,eff_f100,cos_C,notes
base,clean,200,0,classical_invA,,3.0,0.0,0.0,step,0.0004247940677551889,160000,800,2.3819660112501038,5.618033988749894,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,reference only (tau_abs 0.350)
base,clean,200,0,fitted_moment,4.0,3.0,0.0,0.0,step,0.0004247940677551889,160000,800,2.3819660112501038,5.618033988749894,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.11592290507148165,mu=0.003
base,clean,200,0,fitted_moment,8.0,3.0,0.0,0.0,step,0.0004247940677551889,160000,800,2.3819660112501038,5.618033988749894,0.0,0.9975,0.0,0.9975,0.0,0.9975,0.0,0.9975,1.0,1.0,1.0,0.11592290487527011,mu=0.003
base,clean,200,0,fitted_moment,12.0,3.0,0.0,0.0,step,0.0004247940677551889,160000,800,2.3819660112501038,5.618033988749894,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.11592290488480197,mu=0.003
base,clean,200,0,fitted_moment,16.0,3.0,0.0,0.0,step,0.0004247940677551889,160000,800,2.3819660112501038,5.618033988749894,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.11592290483904316,mu=0.003
base,clean,200,0,fitted_moment,20.0,3.0,0.0,0.0,step,0.0004247940677551889,160000,800,2.3819660112501038,5.618033988749894,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.11592290484904605,mu=0.003
base,clean,200,0,fitted_moment,24.0,3.0,0.0,0.0,step,0.0004247940677551889,160000,800,2.3819660112501038,5.618033988749894,0.0,0.9975,0.0,0.9975,0.0,0.9975,0.0,0.9975,1.0,1.0,1.0,0.11592290484043827,mu=0.003
base,clean,200,0,fitted_moment,28.0,3.0,0.0,0.0,step,0.0004247940677551889,160000,800,2.3819660112501038,5.618033988749894,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.1159229048421733,mu=0.003
base,clean,200,0,fitted_moment,32.0,3.0,0.0,0.0,step,0.0004247940677551889,160000,800,2.3819660112501038,5.618033988749894,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.1159229048379119,mu=0.003
base,clean,200,0,fitted_moment,36.0,3.0,0.0,0.0,step,0.0004247940677551889,160000,800,2.3819660112501038,5.618033988749894,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.11592290484020631,mu=0.003
base,clean,200,0,fitted_moment,40.0,3.0,0.0,0.0,step,0.0004247940677551889,160000,800,2.3819660112501038,5.618033988749894,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.11592290483509994,mu=0.003
base,clean,200,0,fitted_moment,44.0,3.0,0.0,0.0,step,0.0004247940677551889,160000,800,2.3819660112501038,5.618033988749894,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.11592290483625464,mu=0.003
base,clean,200,0,fitted_moment,48.0,3.0,0.0,0.0,step,0.0004247940677551889,160000,800,2.3819660112501038,5.618033988749894,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.11592290483392534,mu=0.003
base,clean,200,0,fitted_moment,56.0,3.0,0.0,0.0,step,0.0004247940677551889,160000,800,2.3819660112501038,5.618033988749894,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.1159229048355097,mu=0.003
base,clean,200,0,fitted_moment,64.0,3.0,0.0,0.0,step,0.0004247940677551889,160000,800,2.3819660112501038,5.618033988749894,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.11592290483499389,mu=0.003
base,clean,200,0,fitted_moment,80.0,3.0,0.0,0.0,step,0.0004247940677551889,160000,800,2.3819660112501038,5.618033988749894,0.0,0.9975,0.0,0.9975,0.0,0.9975,0.0,0.9975,1.0,1.0,1.0,0.11592290483451426,mu=0.003
base,clean,200,0,fitted_moment,84.0,3.0,0.0,0.0,step,0.0004247940677551889,160000,800,2.3819660112501038,5.618033988749894,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.11592290483383452,mu=0.003
