setout,regime,T,rep,family,degree,gamma,occ_alpha,fork_beta,eps,n_seg,n_true,lam_min,lam_max,far_e970,eff_e970,far_e980,eff_e980,far_e990,eff_e990,far_e995,eff_e995,far_e999,eff_e999,eff_f001,eff_f010,eff_f100,notes,eff_fixed_tau,far_fixed_tau
base,clean_eps2mrad,10,0,classical_invA,,3.0,0.0,0.0,0.002,400,40,2.381966011250104,5.618033988749898,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,fixed-tau 0.350,1.0,0.0
base,clean_eps2mrad,10,0,fitted_moment,40.0,3.0,0.0,0.0,0.002,400,40,2.381966011250104,5.618033988749898,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,mu=0.003,,
base,clean_eps2mrad,10,0,comb_prod,40.0,3.0,0.0,0.0,0.002,400,40,2.381966011250104,5.618033988749898,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,
base,clean_eps2mrad,10,0,onebqf_cos,1.0,3.0,0.0,0.0,0.002,400,40,2.381966011250104,5.618033988749898,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,
base,clean_eps2mrad,10,1,classical_invA,,3.0,0.0,0.0,0.002,400,40,2.3819660112501038,5.618033988749899,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,fixed-tau 0.350,1.0,0.0
base,clean_eps2mrad,10,1,fitted_moment,40.0,3.0,0.0,0.0,0.002,400,40,2.3819660112501038,5.618033988749899,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,mu=0.003,,
base,clean_eps2mrad,10,1,comb_prod,40.0,3.0,0.0,0.0,0.002,400,40,2.3819660112501038,5.618033988749899,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,
base,clean_eps2mrad,10,1,onebqf_cos,1.0,3.0,0.0,0.0,0.002,400,40,2.3819660112501038,5.618033988749899,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,
base,clean_eps2mrad,10,2,classical_invA,,3.0,0.0,0.0,0.002,400,40,2.3819660112501033,5.618033988749895,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,fixed-tau 0.350,1.0,0.0
base,clean_eps2mrad,10,2,fitted_moment,40.0,3.0,0.0,0.0,0.002,400,40,2.3819660112501033,5.618033988749895,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,mu=0.003,,
base,clean_eps2mrad,10,2,comb_prod,40.0,3.0,0.0,0.0,0.002,400,40,2.3819660112501033,5.618033988749895,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,
base,clean_eps2mrad,10,2,onebqf_cos,1.0,3.0,0.0,0.0,0.002,400,40,2.3819660112501033,5.618033988749895,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,
occ_a0.05,clean_eps2mrad,10,0,classical_invA,,3.0,0.05,0.0,0.002,400,40,2.4737364629913543,6.409084745706042,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,fixed-tau 0.386,0.0,0.0
occ_a0.05,clean_eps2mrad,10,0,fitted_moment,40.0,3.0,0.05,0.0,0.002,400,40,2.4737364629913543,6.409084745706042,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,mu=0.003,,
occ_a0.05,clean_eps2mrad,10,0,comb_prod,40.0,3.0,0.05,0.0,0.002,400,40,2.4737364629913543,6.409084745706042,0.821917808219178,0.975,0.8181818181818182,1.0,0.8181818181818182,1.0,0.8181818181818182,1.0,0.8181818181818182,1.0,0.5,0.5,0.5,,,
occ_a0.05,clean_eps2mrad,10,0,onebqf_cos,1.0,3.0,0.05,0.0,0.002,400,40,2.4737364629913543,6.409084745706042,0.9,1.0,0.9,1.0,0.9,1.0,0.9,1.0,0.9,1.0,0.5,0.5,0.5,,,
occ_a0.05,clean_eps2mrad,10,1,classical_invA,,3.0,0.05,0.0,0.002,400,40,2.4737364629913543,6.409084745706044,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,fixed-tau 0.386,0.0,0.0
occ_a0.05,clean_eps2mrad,10,1,fitted_moment,40.0,3.0,0.05,0.0,0.002,400,40,2.4737364629913543,6.409084745706044,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,mu=0.003,,
occ_a0.05,clean_eps2mrad,10,1,comb_prod,40.0,3.0,0.05,0.0,0.002,400,40,2.4737364629913543,6.409084745706044,0.821917808219178,0.975,0.8181818181818182,1.0,0.8181818181818182,1.0,0.8181818181818182,1.0,0.8181818181818182,1.0,0.5,0.5,0.5,,,
occ_a0.05,clean_eps2mrad,10,1,onebqf_cos,1.0,3.0,0.05,0.0,0.002,400,40,2.4737364629913543,6.409084745706044,0.9022556390977443,0.975,0.9,1.0,0.9,1.0,0.9,1.0,0.9,1.0,0.5,0.5,0.5,,,
occ_a0.05,clean_eps2mrad,10,2,classical_invA,,3.0,0.05,0.0,0.002,400,40,2.4737364629913534,6.409084745706047,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,fixed-tau 0.386,0.0,0.0
occ_a0.05,clean_eps2mrad,10,2,fitted_moment,40.0,3.0,0.05,0.0,0.002,400,40,2.4737364629913534,6.409084745706047,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,mu=0.003,,
occ_a0.05,clean_eps2mrad,10,2,comb_prod,40.0,3.0,0.05,0.0,0.002,400,40,2.4737364629913534,6.409084745706047,0.821917808219178,0.975,0.8181818181818182,1.0,0.8181818181818182,1.0,0.8181818181818182,1.0,0.8181818181818182,1.0,0.5,0.5,0.5,,,
occ_a0.05,clean_eps2mrad,10,2,onebqf_cos,1.0,3.0,0.05,0.0,0.002,400,40,2.4737364629913534,6.409084745706047,0.9,1.0,0.9,1.0,0.9,1.0,0.9,1.0,0.9,1.0,0.5,0.5,0.5,,,
fork_b0.5,clean_eps2mrad,10,0,classical_invA,,3.0,0.0,0.5,0.002,400,40,2.3819660112501033,5.618033988749896,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,fixed-tau 0.350,1.0,0.0
fork_b0.5,clean_eps2mrad,10,0,fitted_moment,40.0,3.0,0.0,0.5,0.002,400,40,2.3819660112501033,5.618033988749896,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,mu=0.003,,
fork_b0.5,clean_eps2mrad,10,0,comb_prod,40.0,3.0,0.0,0.5,0.002,400,40,2.3819660112501033,5.618033988749896,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,
fork_b0.5,clean_eps2mrad,10,0,onebqf_cos,1.0,3.0,0.0,0.5,0.002,400,40,2.3819660112501033,5.618033988749896,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,
fork_b0.5,clean_eps2mrad,10,1,classical_invA,,3.0,0.0,0.5,0.002,400,40,2.381966011250104,5.618033988749898,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,fixed-tau 0.350,1.0,0.0
fork_b0.5,clean_eps2mrad,10,1,fitted_moment,40.0,3.0,0.0,0.5,0.002,400,40,2.381966011250104,5.618033988749898,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,mu=0.003,,
fork_b0.5,clean_eps2mrad,10,1,comb_prod,40.0,3.0,0.0,0.5,0.002,400,40,2.381966011250104,5.618033988749898,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,
fork_b0.5,clean_eps2mrad,10,1,onebqf_cos,1.0,3.0,0.0,0.5,0.002,400,40,2.381966011250104,5.618033988749898,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,
fork_b0.5,clean_eps2mrad,10,2,classical_invA,,3.0,0.0,0.5,0.002,400,40,2.3819660112501047,5.618033988749896,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,fixed-tau 0.350,1.0,0.0
fork_b0.5,clean_eps2mrad,10,2,fitted_moment,40.0,3.0,0.0,0.5,0.002,400,40,2.3819660112501047,5.618033988749896,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,mu=0.003,,
fork_b0.5,clean_eps2mrad,10,2,comb_prod,40.0,3.0,0.0,0.5,0.002,400,40,2.3819660112501047,5.618033988749896,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,
fork_b0.5,clean_eps2mrad,10,2,onebqf_cos,1.0,3.0,0.0,0.5,0.002,400,40,2.3819660112501047,5.618033988749896,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,
occ0.05_fork0.5,clean_eps2mrad,10,0,classical_invA,,3.0,0.05,0.5,0.002,400,40,2.4737364629913543,6.409084745706045,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,fixed-tau 0.386,0.0,0.0
occ0.05_fork0.5,clean_eps2mrad,10,0,fitted_moment,40.0,3.0,0.05,0.5,0.002,400,40,2.4737364629913543,6.409084745706045,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,mu=0.003,,
occ0.05_fork0.5,clean_eps2mrad,10,0,comb_prod,40.0,3.0,0.05,0.5,0.002,400,40,2.4737364629913543,6.409084745706045,0.821917808219178,0.975,0.8181818181818182,1.0,0.8181818181818182,1.0,0.8181818181818182,1.0,0.8181818181818182,1.0,0.5,0.5,0.5,,,
occ0.05_fork0.5,clean_eps2mrad,10,0,onebqf_cos,1.0,3.0,0.05,0.5,0.002,400,40,2.4737364629913543,6.409084745706045,0.9,1.0,0.9,1.0,0.9,1.0,0.9,1.0,0.9,1.0,0.5,0.5,0.5,,,
occ0.05_fork0.5,clean_eps2mrad,10,1,classical_invA,,3.0,0.05,0.5,0.002,400,40,2.4738117019046038,6.411217631251138,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,fixed-tau 0.386,0.0,0.0
occ0.05_fork0.5,clean_eps2mrad,10,1,fitted_moment,40.0,3.0,0.05,0.5,0.002,400,40,2.4738117019046038,6.411217631251138,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,mu=0.003,,
occ0.05_fork0.5,clean_eps2mrad,10,1,comb_prod,40.0,3.0,0.05,0.5,0.002,400,40,2.4738117019046038,6.411217631251138,0.821917808219178,0.975,0.8181818181818182,1.0,0.8181818181818182,1.0,0.8181818181818182,1.0,0.8181818181818182,1.0,0.5,0.5,0.5,,,
occ0.05_fork0.5,clean_eps2mrad,10,1,onebqf_cos,1.0,3.0,0.05,0.5,0.002,400,40,2.4738117019046038,6.411217631251138,0.9022556390977443,0.975,0.9,1.0,0.9,1.0,0.9,1.0,0.9,1.0,0.0,0.0,0.0,,,
occ0.05_fork0.5,clean_eps2mrad,10,2,classical_invA,,3.0,0.05,0.5,0.002,400,40,2.4737364629913556,6.4090847457060445,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,fixed-tau 0.386,0.0,0.0
occ0.05_fork0.5,clean_eps2mrad,10,2,fitted_moment,40.0,3.0,0.05,0.5,0.002,400,40,2.4737364629913556,6.4090847457060445,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,mu=0.003,,
occ0.05_fork0.5,clean_eps2mrad,10,2,comb_prod,40.0,3.0,0.05,0.5,0.002,400,40,2.4737364629913556,6.4090847457060445,0.821917808219178,0.975,0.8181818181818182,1.0,0.8181818181818182,1.0,0.8181818181818182,1.0,0.8181818181818182,1.0,0.5,0.5,0.5,,,
occ0.05_fork0.5,clean_eps2mrad,10,2,onebqf_cos,1.0,3.0,0.05,0.5,0.002,400,40,2.4737364629913556,6.4090847457060445,0.9,1.0,0.9,1.0,0.9,1.0,0.9,1.0,0.9,1.0,0.5,0.5,0.5,,,
