setout,regime,T,rep,family,degree,gamma,occ_alpha,eps_scale,kernel,fork_beta,eps,lam_min,lam_max,far_e990,eff_e990,far_e995,eff_e995,far_e999,eff_e999,eff_f001,eff_f010,cos_C,notes,eff_fixed_tau,far_fixed_tau,tau_fixed
base,clean,400,3,fitted_moment,40.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.381966011250105,5.618033988749896,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0821430258207187,mu=0.003,,,
base,clean,400,3,fitted_moment,80.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.381966011250105,5.618033988749896,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0821430258198949,mu=0.003,,,
base,clean,400,3,comb_prod,40.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.381966011250105,5.618033988749896,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0884586820008354,,,,
base,clean,400,3,comb_prod,44.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.381966011250105,5.618033988749896,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.1114212330765809,,,,
base,clean,400,3,normalized_half_comb,40.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.381966011250105,5.618033988749896,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.1896903326964322,,,,
base,clean,400,3,normalized_half_comb,44.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.381966011250105,5.618033988749896,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0979744652147511,,,,
base,clean,400,4,classical_invA,,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.1522409349774265,5.847759065022576,0.0012507817385866,0.998125,0.0012507817385866,0.998125,0.0012492192379762,0.999375,0.499375,0.999375,1.0000000000000002,fixed-tau 0.350: eff 0.9994 far 0.0012,,,
base,clean,400,4,fitted_moment,40.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.1522409349774265,5.847759065022576,0.0,0.996875,0.0,0.996875,0.0012492192379762,0.999375,0.998125,0.999375,0.0821129264733758,mu=0.003,,,
base,clean,400,4,fitted_moment,80.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.1522409349774265,5.847759065022576,0.0,0.996875,0.0,0.996875,0.0012492192379762,0.999375,0.998125,0.999375,0.0821129256587689,mu=0.003,,,
base,clean,400,4,comb_prod,40.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.1522409349774265,5.847759065022576,0.0,0.9925,0.0,0.995625,0.0012492192379762,0.999375,0.996875,0.999375,0.2526231948424456,,,,
base,clean,400,4,comb_prod,44.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.1522409349774265,5.847759065022576,0.0,0.9925,0.0,0.995625,0.0012492192379762,0.999375,0.996875,0.999375,0.1297812145763631,,,,
base,clean,400,4,normalized_half_comb,40.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.1522409349774265,5.847759065022576,0.0,0.99375,0.0,0.995,0.029143897996357,0.999375,0.99625,0.9975,0.189878072839412,,,,
base,clean,400,4,normalized_half_comb,44.0,3.0,0.0,3.0,step,0.0,0.0004247940677551,2.1522409349774265,5.847759065022576,0.0,0.99375,0.0,0.995,0.029143897996357,0.999375,0.99625,0.9975,0.0979604966671277,,,,
base,moderate,400,0,classical_invA,,3.0,0.0,3.0,step,0.0,0.0031777035588293,0.9218663720536228,7.078133627945929,0.6579525483304042,0.994888178913738,0.997500299484886,1.0,0.997500299484886,1.0,0.0012779552715654,0.0012779552715654,1.0,fixed-tau 0.350: eff 0.9834 far 0.0989,,,
base,moderate,400,0,fitted_moment,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,0.9218663720536228,7.078133627945929,0.6579525483304042,0.994888178913738,0.9975002595577136,1.0,0.9975002595577136,1.0,0.949520766773163,0.9559105431309904,0.080189166090222,mu=0.003,,,
base,moderate,400,0,fitted_moment,80.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,0.9218663720536228,7.078133627945929,0.6576517150395779,0.994888178913738,0.997500299484886,1.0,0.997500299484886,1.0,0.949520766773163,0.9559105431309904,0.0803585435420394,mu=0.003,,,
