setout,regime,T,rep,family,degree,gamma,occ_alpha,fork_beta,kernel,eps,n_seg,n_true,lam_min,lam_max,far_e970,eff_e970,far_e980,eff_e980,far_e990,eff_e990,far_e995,eff_e995,eff_f001,eff_f010,eff_f100,cos_C,notes
fork_b0.5,heavy,200,0,classical_invA,,3.0,0.0,0.5,step,0.006312668537322595,157609,788,1.4705355689777937,8.330583109017088,0.14757709251101322,0.9822335025380711,0.14757709251101322,0.9822335025380711,0.6228874939642685,0.9911167512690355,0.9943847047338079,1.0,0.0,0.0,0.501269035532995,1.0,reference only (tau_abs 0.350)
fork_b0.5,heavy,200,0,fitted_moment,40.0,3.0,0.0,0.5,step,0.006312668537322595,157609,788,1.4705355689777937,8.330583109017088,0.09036860879904875,0.9708121827411168,0.18440463645943098,0.9822335025380711,0.7861429350791053,0.9949238578680203,0.9950002537942236,1.0,0.031725888324873094,0.8642131979695431,0.9746192893401016,0.11444046869708119,mu=0.03
fork_b0.5,heavy,200,0,fitted_moment,80.0,3.0,0.0,0.5,step,0.006312668537322595,157609,788,1.4705355689777937,8.330583109017088,0.06134969325153374,0.9708121827411168,0.10416666666666667,0.9822335025380711,0.7329700272479565,0.9949238578680203,0.9950002855166901,1.0,0.24746192893401014,0.8794416243654822,0.9796954314720813,0.12256660799299475,mu=0.646
fork_b0.5,heavy,200,0,fitted_moment,84.0,3.0,0.0,0.5,step,0.006312668537322595,157609,788,1.4705355689777937,8.330583109017088,0.0625,0.9708121827411168,0.0979020979020979,0.9822335025380711,0.7331518039482642,0.9949238578680203,0.9950002855166901,1.0,0.048223350253807105,0.8781725888324873,0.9822335025380711,0.1222873239821061,mu=0.646
fork_b0.5,heavy,200,0,fitted_moment,160.0,3.0,0.0,0.5,step,0.006312668537322595,157609,788,1.4705355689777937,8.330583109017088,0.11085450346420324,0.9771573604060914,0.16576964477933262,0.983502538071066,0.7572755417956656,0.9949238578680203,0.9950002855166901,1.0,0.1116751269035533,0.9111675126903553,0.9555837563451777,0.08879497449949593,mu=0.003
fork_b0.5,heavy,200,0,comb_prod,40.0,3.0,0.0,0.5,step,0.006312668537322595,157609,788,1.4705355689777937,8.330583109017088,0.9568479241877257,0.9708121827411168,0.957676303109943,0.9809644670050761,0.9599220992209923,0.9923857868020305,0.995012848577139,0.9974619289340102,0.0012690355329949238,0.39720812182741116,0.9060913705583756,0.32739143002606536,
fork_b0.5,heavy,200,0,comb_prod,44.0,3.0,0.0,0.5,step,0.006312668537322595,157609,788,1.4705355689777937,8.330583109017088,0.9567601175672621,0.9708121827411168,0.9950421704133663,0.9809644670050761,0.9950076387601557,0.9911167512690355,0.9950124371795522,0.9974619289340102,0.0012690355329949238,0.39720812182741116,0.9060913705583756,0.5478144583588684,
fork_b0.5,heavy,200,0,normalized_half_comb,40.0,3.0,0.0,0.5,step,0.006312668537322595,157609,788,1.4705355689777937,8.330583109017088,0.18875927889713678,0.9708121827411168,0.7050989345509894,0.983502538071066,0.7793785310734463,0.9911167512690355,0.995004411606015,0.998730964467005,0.0038071065989847717,0.0038071065989847717,0.8946700507614214,0.21130163420604298,
fork_b0.5,heavy,200,0,normalized_half_comb,44.0,3.0,0.0,0.5,step,0.006312668537322595,157609,788,1.4705355689777937,8.330583109017088,0.19047619047619047,0.9708121827411168,0.2480544747081712,0.9809644670050761,0.7636748262314899,0.9923857868020305,0.9950002855166901,1.0,0.0038071065989847717,0.0038071065989847717,0.8921319796954315,0.13026084616234584,
fork_b0.5,heavy,200,1,classical_invA,,3.0,0.0,0.5,step,0.006312668537322595,156611,783,1.80858650060238,8.02988534115108,0.13112884834663627,0.9731800766283525,0.645367412140575,0.9923371647509579,0.645367412140575,0.9923371647509579,0.6627756160830091,0.9961685823754789,0.0,0.0,0.9501915708812261,0.9999999999999998,reference only (tau_abs 0.350)
fork_b0.5,heavy,200,1,fitted_moment,40.0,3.0,0.0,0.5,step,0.006312668537322595,156611,783,1.80858650060238,8.02988534115108,0.053482587064676616,0.9719029374201787,0.08133971291866028,0.9808429118773946,0.7442698100851343,0.9974457215836526,0.7442698100851343,0.9974457215836526,0.9208173690932312,0.9323116219667944,0.9808429118773946,0.1149567171352202,mu=0.0646
fork_b0.5,heavy,200,1,fitted_moment,80.0,3.0,0.0,0.5,step,0.006312668537322595,156611,783,1.80858650060238,8.02988534115108,0.0416141235813367,0.9706257982120051,0.06341463414634146,0.9808429118773946,0.7406177349717702,0.9974457215836526,0.7406177349717702,0.9974457215836526,0.9272030651340997,0.9450830140485313,0.9808429118773946,0.11899910707713464,mu=0.3
fork_b0.5,heavy,200,1,fitted_moment,84.0,3.0,0.0,0.5,step,0.006312668537322595,156611,783,1.80858650060238,8.02988534115108,0.03553299492385787,0.9706257982120051,0.04596273291925466,0.9808429118773946,0.734804753820034,0.9974457215836526,0.734804753820034,0.9974457215836526,0.9080459770114943,0.9438058748403576,0.9808429118773946,0.12076467964388964,mu=0.646
fork_b0.5,heavy,200,1,fitted_moment,160.0,3.0,0.0,0.5,step,0.006312668537322595,156611,783,1.80858650060238,8.02988534115108,0.031806615776081425,0.9719029374201787,0.05185185185185185,0.9808429118773946,0.6547303271441203,0.9974457215836526,0.6547303271441203,0.9974457215836526,0.9425287356321839,0.9514687100893997,0.9821200510855683,0.11827583047925715,mu=0.3
fork_b0.5,heavy,200,1,comb_prod,40.0,3.0,0.0,0.5,step,0.006312668537322595,156611,783,1.80858650060238,8.02988534115108,0.9570403029789158,0.9706257982120051,0.995024620434961,0.9910600255427842,0.995024620434961,0.9910600255427842,0.9950183618074405,0.9961685823754789,0.876117496807152,0.8978288633461047,0.9144316730523627,0.531366521441159,
fork_b0.5,heavy,200,1,comb_prod,44.0,3.0,0.0,0.5,step,0.006312668537322595,156611,783,1.80858650060238,8.02988534115108,0.9569296857336649,0.9731800766283525,0.9950279958103267,0.9821200510855683,0.9949993268324582,0.9961685823754789,0.9949993268324582,0.9961685823754789,0.876117496807152,0.8812260536398467,0.8991060025542784,0.5754522209414581,
fork_b0.5,heavy,200,1,normalized_half_comb,40.0,3.0,0.0,0.5,step,0.006312668537322595,156611,783,1.80858650060238,8.02988534115108,0.14988814317673377,0.9706257982120051,0.7252396166134185,0.9885057471264368,0.7755632582322357,0.9923371647509579,0.9602645637242432,0.9974457215836526,0.006385696040868455,0.4125159642401022,0.9438058748403576,0.2106400994429622,
fork_b0.5,heavy,200,1,normalized_half_comb,44.0,3.0,0.0,0.5,step,0.006312668537322595,156611,783,1.80858650060238,8.02988534115108,0.2,0.9706257982120051,0.7268892794376098,0.9923371647509579,0.7268892794376098,0.9923371647509579,0.959866220735786,0.9961685823754789,0.006385696040868455,0.4125159642401022,0.946360153256705,0.12893993274403415,
