source,provenance,regime,T,rep,solver,response_family,degree,kernel,gamma,eps_setout,fork_beta,occ_alpha,normalization,composed,metric,target_eff,tau,eff,far,notes
store,metrics.csv:Larger_Scatter:sol_f0d0b56b35cc2012,"other(sc=0.0001,res=0,drop=0.02)",700,4,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.9695845697329376,0.0007645259938837,
store,metrics.csv:Larger_Scatter:sol_f0d0b56b35cc2012,"other(sc=0.0001,res=0,drop=0.02)",700,4,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.333325057221817,0.9903560830860534,0.0949152542372881,
store,metrics.csv:Larger_Scatter:sol_99ba17f267c63e5d,"other(sc=0.0007,res=0,drop=0.02)",100,6,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.9581151832460733,0.0,
store,metrics.csv:Larger_Scatter:sol_99ba17f267c63e5d,"other(sc=0.0007,res=0,drop=0.02)",100,6,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.249999999,1.0,0.9900060173194152,
store,metrics.csv:Larger_Scatter:sol_8604793ba5c6155c,"other(sc=0.0003,res=0,drop=0.02)",400,7,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.9728155339805824,0.0026542800265428,
store,metrics.csv:Larger_Scatter:sol_8604793ba5c6155c,"other(sc=0.0003,res=0,drop=0.02)",400,7,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.33333021302359,0.9909385113268608,0.2386872202884137,
store,metrics.csv:Larger_Scatter:sol_1d408805861c94b4,"other(sc=0.0007,res=0,drop=0.05)",10,1,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,
store,metrics.csv:Larger_Scatter:sol_1d408805861c94b4,"other(sc=0.0007,res=0,drop=0.05)",10,1,classical,classical_invA,,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.3636363734735717,1.0,0.0,
store,metrics.csv:Larger_Scatter:sol_d3d7005d554f77c3,"other(sc=0.0007,res=0,drop=0.05)",10,1,quantum,1bqf_cos,1.0,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,0.75,0.0,
store,metrics.csv:Larger_Scatter:sol_d3d7005d554f77c3,"other(sc=0.0007,res=0,drop=0.05)",10,1,quantum,1bqf_cos,1.0,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.1801742137559731,1.0,0.0,
store,metrics.csv:Larger_Scatter:sol_e3baabce867121b4,"other(sc=0.0007,res=0,drop=0.05)",10,1,qsvt,comb_prod,40.0,step,3.0,formula,0.0,0.0,raw,none,fixed_tau,,0.35,1.0,0.0,campaign default d=40 line-comb
store,metrics.csv:Larger_Scatter:sol_e3baabce867121b4,"other(sc=0.0007,res=0,drop=0.05)",10,1,qsvt,comb_prod,40.0,step,3.0,formula,0.0,0.0,raw,none,wp,0.99,0.3645849379157698,1.0,0.0,campaign default d=40 line-comb
