n_trk,rep,n_true_clean,n_true_C,n_active_C,n_false_C,n_true_Q,n_active_Q,n_false_Q,n_true_total,n_false_total,success_prob,t_quantum,se_C,se_Q,fr_C,fr_Q
5,30021,20,20,20,0,15,15,0,20,80,0.044803,4.251344919204712,100.0,75.0,0.0,0.0
5,30022,20,20,20,0,15,15,0,20,80,0.045689,2.9010744094848633,100.0,75.0,0.0,0.0
5,30023,20,20,20,0,15,15,0,20,80,0.044842,3.340379238128662,100.0,75.0,0.0,0.0
5,30024,20,19,19,0,15,15,0,19,76,0.042195,3.2789173126220703,95.0,75.0,0.0,0.0
5,30025,20,20,20,0,15,15,0,20,80,0.045049,3.2589781284332275,100.0,75.0,0.0,0.0
5,30026,20,20,20,0,15,15,0,20,80,0.044523,3.3092753887176514,100.0,75.0,0.0,0.0
5,30027,20,20,20,0,15,15,0,20,80,0.044759,3.2737815380096436,100.0,75.0,0.0,0.0
5,30028,20,20,20,0,15,15,0,20,80,0.0449,4.167142391204834,100.0,75.0,0.0,0.0
5,30029,20,20,20,0,15,15,0,20,80,0.045034,2.903207302093506,100.0,75.0,0.0,0.0
10,30000,40,39,39,0,38,38,0,39,351,0.021723,3.83836030960083,97.5,95.0,0.0,0.0
10,30001,40,40,40,0,40,40,0,40,360,0.022325,3.953346014022827,100.0,100.0,0.0,0.0
10,30002,40,40,40,0,40,40,0,40,360,0.022391,8.456486463546753,100.0,100.0,0.0,0.0
10,30003,40,39,39,0,36,36,0,39,351,0.021619,3.479785680770874,97.5,90.0,0.0,0.0
10,30004,40,40,40,0,40,40,0,40,360,0.022647,3.990621328353882,100.0,100.0,0.0,0.0
10,30005,40,40,40,0,38,38,0,40,360,0.022513,4.030686140060425,100.0,95.0,0.0,0.0
10,30006,40,40,40,0,39,39,0,40,360,0.022278,3.402409076690674,100.0,97.5,0.0,0.0
10,30007,40,40,40,0,38,38,0,40,360,0.022603,5.051376104354858,100.0,95.0,0.0,0.0
10,30008,40,36,36,0,37,37,0,38,342,0.020779,5.3796257972717285,90.0,92.5,0.0,0.0
10,30009,40,40,40,0,40,40,0,40,360,0.022175,3.9838802814483643,100.0,100.0,0.0,0.0
10,30010,40,40,40,0,38,38,0,40,360,0.022586,7.094611644744873,100.0,95.0,0.0,0.0
10,30011,40,40,40,0,38,38,0,40,360,0.022368,3.4242172241210938,100.0,95.0,0.0,0.0
10,30012,40,40,40,0,38,38,0,40,360,0.022064,5.957797050476074,100.0,95.0,0.0,0.0
10,30013,40,40,40,0,39,39,0,40,360,0.022333,4.118461608886719,100.0,97.5,0.0,0.0
10,30014,40,40,40,0,38,38,0,40,360,0.022387,3.3981566429138184,100.0,95.0,0.0,0.0
10,30015,40,34,34,0,34,34,0,36,324,0.018657,3.7828264236450195,85.0,85.0,0.0,0.0
10,30016,40,40,40,0,40,40,0,40,360,0.022514,3.9537549018859863,100.0,100.0,0.0,0.0
10,30017,40,40,40,0,39,39,0,40,360,0.022182,3.4384207725524902,100.0,97.5,0.0,0.0
10,30018,40,40,40,0,40,40,0,40,360,0.022616,3.4255151748657227,100.0,100.0,0.0,0.0
10,30019,40,39,39,0,36,36,0,39,351,0.021931,5.912678003311157,97.5,90.0,0.0,0.0
10,30020,40,40,40,0,39,39,0,40,360,0.022498,4.041262865066528,100.0,97.5,0.0,0.0
10,30021,40,36,36,0,35,35,0,38,342,0.020823,3.930821657180786,90.0,87.5,0.0,0.0
10,30022,40,39,39,0,39,39,0,39,351,0.022003,3.944185495376587,97.5,97.5,0.0,0.0
10,30023,40,40,40,0,39,39,0,40,360,0.022376,7.8799872398376465,100.0,97.5,0.0,0.0
10,30024,40,40,40,0,40,40,0,40,360,0.022303,5.384484767913818,100.0,100.0,0.0,0.0
10,30025,40,39,39,0,38,38,0,39,351,0.021896,3.3696956634521484,97.5,95.0,0.0,0.0
10,30026,40,40,40,0,38,38,0,40,360,0.022307,3.3190805912017822,100.0,95.0,0.0,0.0
10,30027,40,36,36,0,38,38,0,38,342,0.020568,4.089759111404419,90.0,95.0,0.0,0.0
10,30028,40,40,40,0,38,38,0,40,360,0.022119,4.141154527664185,100.0,95.0,0.0,0.0
10,30029,40,40,40,0,38,38,0,40,360,0.022613,4.151201248168945,100.0,95.0,0.0,0.0
15,30000,60,60,60,0,60,60,0,60,840,0.016604,9.785929679870605,100.0,100.0,0.0,0.0
15,30001,60,60,60,0,60,60,0,60,840,0.016757,4.06270694732666,100.0,100.0,0.0,0.0
15,30002,60,59,59,0,59,59,0,59,826,0.016506,4.125725269317627,98.33333333333333,98.33333333333333,0.0,0.0
15,30003,60,60,60,0,60,60,0,60,840,0.016801,4.697994947433472,100.0,100.0,0.0,0.0
15,30004,60,59,59,0,59,59,0,59,826,0.016485,3.790724515914917,98.33333333333333,98.33333333333333,0.0,0.0
15,30005,60,60,60,0,60,60,0,60,840,0.016821,4.444793701171875,100.0,100.0,0.0,0.0
15,30006,60,60,60,0,60,60,0,60,840,0.016517,7.039403438568115,100.0,100.0,0.0,0.0
15,30007,60,60,60,0,60,60,0,60,840,0.016773,7.975564241409302,100.0,100.0,0.0,0.0
15,30008,60,60,60,0,60,60,0,60,840,0.016903,4.025718927383423,100.0,100.0,0.0,0.0
15,30009,60,56,56,0,58,58,0,58,812,0.015781,3.868607759475708,93.33333333333333,96.66666666666667,0.0,0.0
15,30010,60,60,60,0,60,60,0,60,840,0.016816,4.692840814590454,100.0,100.0,0.0,0.0
15,30011,60,60,60,0,60,62,2,60,840,0.01722,4.654603719711304,100.0,100.0,0.0,3.225806451612903
15,30012,60,60,60,0,60,60,0,60,840,0.016615,6.98208212852478,100.0,100.0,0.0,0.0
15,30013,60,60,60,0,60,60,0,60,840,0.01673,4.696039915084839,100.0,100.0,0.0,0.0
15,30014,60,60,60,0,60,60,0,60,840,0.016966,4.762271881103516,100.0,100.0,0.0,0.0
15,30015,60,56,56,0,56,56,0,58,812,0.01569,3.8118975162506104,93.33333333333333,93.33333333333333,0.0,0.0
15,30016,60,60,60,0,60,60,0,60,840,0.016814,3.951167345046997,100.0,100.0,0.0,0.0
15,30017,60,60,60,0,60,60,0,60,840,0.016682,4.592622518539429,100.0,100.0,0.0,0.0
15,30018,60,60,60,0,60,60,0,60,840,0.016705,4.59883975982666,100.0,100.0,0.0,0.0
15,30019,60,60,60,0,60,60,0,60,840,0.016847,4.664117336273193,100.0,100.0,0.0,0.0
15,30020,60,59,59,0,59,59,0,59,826,0.016794,9.013676643371582,98.33333333333333,98.33333333333333,0.0,0.0
15,30021,60,59,59,0,59,59,0,59,826,0.016455,6.4526519775390625,98.33333333333333,98.33333333333333,0.0,0.0
15,30022,60,59,59,0,59,59,0,59,826,0.016374,4.581213474273682,98.33333333333333,98.33333333333333,0.0,0.0
15,30023,60,56,56,0,56,56,0,58,812,0.015486,4.016956567764282,93.33333333333333,93.33333333333333,0.0,0.0
15,30024,60,60,60,0,60,60,0,60,840,0.016907,4.08988618850708,100.0,100.0,0.0,0.0
15,30025,60,56,56,0,56,56,0,58,812,0.015918,7.9982733726501465,93.33333333333333,93.33333333333333,0.0,0.0
15,30026,60,60,60,0,60,60,0,60,840,0.016916,4.68343710899353,100.0,100.0,0.0,0.0
15,30027,60,60,60,0,60,60,0,60,840,0.016842,4.684513807296753,100.0,100.0,0.0,0.0
15,30028,60,60,60,0,60,62,2,60,840,0.016905,4.71772027015686,100.0,100.0,0.0,3.225806451612903
15,30029,60,60,60,0,60,60,0,60,840,0.016538,6.371622085571289,100.0,100.0,0.0,0.0
20,30000,80,79,79,0,79,79,0,79,1501,0.010875,5.25292181968689,98.75,98.75,0.0,0.0
20,30001,80,80,80,0,80,80,0,80,1520,0.011285,4.51075291633606,100.0,100.0,0.0,0.0
20,30002,80,78,78,0,78,78,0,78,1482,0.010712,4.453562021255493,97.5,97.5,0.0,0.0
20,30003,80,80,80,0,80,80,0,80,1520,0.011534,5.156984090805054,100.0,100.0,0.0,0.0
20,30004,80,76,76,0,78,78,0,78,1482,0.010844,5.015894889831543,95.0,97.5,0.0,0.0
20,30005,80,75,75,0,77,77,0,77,1463,0.010504,5.164004802703857,93.75,96.25,0.0,0.0
