T,kernel,noise,method,alpha,target,degree_mult,rot,cx,anc,note
100,erf,clean,hit_oracle,4.0,C,1.2120144054326423,,4480.0,43,proposed; QROM over 5T hits
100,erf,clean,onebqf,,exp(-iAt),,,390104.0,1,native Givens/Trotter per exp(-iAt) call
200,erf,clean,fable,1048576.0,A,317617.653728643,68719476736.0,68719476790.0,19,
200,erf,clean,lsfable,262144.0,A,79404.41343216076,162611.0,162664.0,19,fixed approx err
200,erf,clean,camps,32.0,A,9.692921561543061,,1456380.0,4,cx = one transposition-compiled O_c pass
200,erf,clean,camps_C,4.0,C,1.2116151951928826,,1456380.0,3,
200,erf,clean,dictionary,1370.5134970180045,A,415.1337445509874,16.0,8738280.0,6,erf: classes degenerate to per-entry
200,erf,clean,dictionary_C,1366.5134970180045,C,413.92212935579454,16.0,8738280.0,6,
200,erf,clean,szegedy,1.0,Dnorm,1.0,,,18,alpha=1 by construction; operator changed
200,erf,clean,dilation,3.301378206438903,A,1.0,,,1,dense 4^18 sim-only
200,erf,clean,hit_oracle,4.0,C,1.2116151951928826,,8480.0,44,proposed; QROM over 5T hits
200,erf,clean,onebqf,,exp(-iAt),,,1456380.0,1,native Givens/Trotter per exp(-iAt) call
400,erf,clean,fable,4194304.0,A,791908.4537419523,1099511627776.0,1099511627836.0,21,
400,erf,clean,lsfable,1048576.0,A,197977.11343548808,654065.0,654124.0,21,fixed approx err
400,erf,clean,camps,32.0,A,6.041782026229495,,8888448.0,4,cx = one transposition-compiled O_c pass
400,erf,clean,camps_C,8.0,C,1.5104455065573736,,8888448.0,4,
400,erf,clean,dictionary,3832.7567318909378,A,723.6462729265239,16.0,53330688.0,6,erf: classes degenerate to per-entry
400,erf,clean,dictionary_C,3828.7567318909378,C,722.8910501732453,16.0,53330688.0,6,
400,erf,clean,szegedy,1.0,Dnorm,1.0,,,20,alpha=1 by construction; operator changed
400,erf,clean,dilation,5.29645059372827,A,1.0,,,1,dense 4^20 sim-only
