T,kernel,method,alpha,degree_required,cx_per_call,cx_per_solve
5,step,fable,512.0,,16405.0,
5,step,sfable,430.0,,,
5,step,lsfable,128.0,,151.0,
5,step,camps,16.0,299.0,4530.0,1354470.0
5,step,camps_C,2.0,40.0,4530.0,181200.0
5,step,dictionary,6.0,100.0,18120.0,1812000.0
5,step,dictionary_C,2.0,40.0,18120.0,724800.0
5,step,szegedy,1.0,32.0,,
5,step,dilation,1.6180339887498951,26.0,,
5,step,hit_oracle,2.0,40.0,680.0,27200.0
10,step,fable,2048.0,,262171.0,
10,step,sfable,1660.0,,,
10,step,lsfable,512.0,,487.0,
10,step,camps,16.0,299.0,13500.0,4036500.0
10,step,camps_C,2.0,40.0,13500.0,540000.0
10,step,dictionary,6.0,100.0,54000.0,5400000.0
10,step,dictionary_C,2.0,40.0,54000.0,2160000.0
10,step,szegedy,1.0,32.0,,
10,step,dilation,1.6180339887498951,26.0,,
10,step,hit_oracle,2.0,40.0,880.0,35200.0
20,step,fable,8192.0,,4194337.0,
20,step,sfable,6520.0,,,
20,step,lsfable,2048.0,,1753.0,
20,step,camps,16.0,299.0,35880.0,10728120.0
20,step,camps_C,2.0,40.0,35880.0,1435200.0
20,step,dictionary,6.0,100.0,143520.0,14352000.0
20,step,dictionary_C,2.0,40.0,143520.0,5740800.0
20,step,szegedy,1.0,32.0,,
20,step,dilation,1.6180339887498951,26.0,,
20,step,hit_oracle,2.0,40.0,1280.0,51200.0
50,step,fable,65536.0,,268435498.0,
50,step,lsfable,16384.0,,10354.0,
50,step,camps,16.0,299.0,127920.0,38248080.0
50,step,camps_C,4.0,78.0,127920.0,9977760.0
50,step,dictionary,7.0,121.0,511680.0,61913280.0
50,step,dictionary_C,3.0,58.0,511680.0,29677440.0
50,step,szegedy,1.0,32.0,,
50,step,dilation,1.847759065022575,38.0,,
50,step,hit_oracle,4.0,78.0,2480.0,193440.0
100,step,fable,262144.0,,4294967344.0,
100,step,lsfable,65536.0,,40672.0,
100,step,camps,16.0,299.0,302016.0,90302784.0
100,step,camps_C,2.0,40.0,302016.0,12080640.0
100,step,dictionary,6.0,100.0,1208064.0,120806400.0
100,step,dictionary_C,2.0,40.0,1208064.0,48322560.0
100,step,szegedy,1.0,32.0,,
100,step,dilation,1.6180339887498965,26.0,,
100,step,hit_oracle,2.0,40.0,4480.0,179200.0
200,step,fable,1048576.0,,68719476790.0,
200,step,lsfable,262144.0,,161396.0,
200,step,camps,16.0,299.0,748836.0,223901964.0
200,step,camps_C,2.0,40.0,748836.0,29953440.0
200,step,dictionary,6.0,100.0,2995344.0,299534400.0
200,step,dictionary_C,2.0,40.0,2995344.0,119813760.0
200,step,szegedy,1.0,32.0,,
200,step,dilation,1.618033988749897,26.0,,
200,step,hit_oracle,2.0,40.0,8480.0,339200.0
400,step,fable,4194304.0,,1099511627836.0,
400,step,lsfable,1048576.0,,643782.0,
400,step,camps,32.0,,2352304.0,
400,step,camps_C,4.0,78.0,2352304.0,183479712.0
400,step,dictionary,8.0,141.0,14113824.0,1990049184.0
400,step,dictionary_C,4.0,78.0,14113824.0,1100878272.0
400,step,szegedy,1.0,32.0,,
400,step,dilation,2.798608878458592,54.0,,
