T,kernel,method,alpha,degree_required,cx_per_call,cx_per_solve
400,step,hit_oracle,4.0,78.0,16480.0,1285440.0
5,erf,fable,512.0,,16405.0,
5,erf,sfable,459.8397563362148,,,
5,erf,lsfable,128.0,,151.0,
5,erf,camps,16.0,299.0,4530.0,1354470.0
5,erf,camps_C,2.0,40.0,4530.0,181200.0
5,erf,dictionary,33.91987816810744,,18120.0,
5,erf,dictionary_C,29.91987816810744,,18120.0,
5,erf,szegedy,1.0,32.0,,
5,erf,dilation,3.2292967275881628,62.0,,
5,erf,hit_oracle,2.0,40.0,680.0,27200.0
10,erf,fable,2048.0,,262171.0,
10,erf,sfable,1720.9279238862096,,,
10,erf,lsfable,512.0,,489.0,
10,erf,camps,16.0,299.0,13950.0,4171050.0
10,erf,camps_C,2.0,40.0,13950.0,558000.0
10,erf,dictionary,64.46396194310478,,55800.0,
10,erf,dictionary_C,60.46396194310477,,55800.0,
10,erf,szegedy,1.0,32.0,,
10,erf,dilation,3.229374849115244,62.0,,
10,erf,hit_oracle,2.0,40.0,880.0,35200.0
20,erf,fable,8192.0,,4194337.0,
20,erf,sfable,6639.508274232575,,,
20,erf,lsfable,2048.0,,1757.0,
20,erf,camps,16.0,299.0,37076.0,11085724.0
20,erf,camps_C,2.0,40.0,37076.0,1483040.0
20,erf,dictionary,123.7541371162875,,148304.0,
20,erf,dictionary_C,119.7541371162875,,148304.0,
20,erf,szegedy,1.0,32.0,,
20,erf,dilation,3.230516404205088,62.0,,
20,erf,hit_oracle,2.0,40.0,1280.0,51200.0
50,erf,fable,65536.0,,268435498.0,
50,erf,lsfable,16384.0,,10434.0,
50,erf,camps,32.0,,160720.0,
50,erf,camps_C,4.0,78.0,160720.0,12536160.0
50,erf,dictionary,317.8831730201308,,964320.0,
50,erf,dictionary_C,313.8831730201308,,964320.0,
50,erf,szegedy,1.0,32.0,,
50,erf,dilation,3.684846479685196,72.0,,
50,erf,hit_oracle,4.0,78.0,2480.0,193440.0
100,erf,fable,262144.0,,4294967344.0,
100,erf,lsfable,65536.0,,40854.0,
100,erf,camps,16.0,299.0,390104.0,116641096.0
100,erf,camps_C,4.0,78.0,390104.0,30428112.0
100,erf,dictionary,632.6153078742288,,1560416.0,
100,erf,dictionary_C,628.6153078742288,,1560416.0,
100,erf,szegedy,1.0,32.0,,
100,erf,dilation,3.300290806834226,64.0,,
100,erf,hit_oracle,4.0,78.0,4480.0,349440.0
200,erf,fable,1048576.0,,68719476790.0,
200,erf,lsfable,262144.0,,162664.0,
200,erf,camps,32.0,,1456380.0,
200,erf,camps_C,4.0,78.0,1456380.0,113597640.0
200,erf,dictionary,1370.5134970180045,,8738280.0,
200,erf,dictionary_C,1366.5134970180045,,8738280.0,
200,erf,szegedy,1.0,32.0,,
200,erf,dilation,3.301378206438903,64.0,,
200,erf,hit_oracle,4.0,78.0,8480.0,661440.0
400,erf,fable,4194304.0,,1099511627836.0,
400,erf,lsfable,1048576.0,,654124.0,
400,erf,camps,32.0,,8888448.0,
400,erf,camps_C,8.0,152.0,8888448.0,1351044096.0
400,erf,dictionary,3832.7567318909378,,53330688.0,
400,erf,dictionary_C,3828.7567318909378,,53330688.0,
400,erf,szegedy,1.0,32.0,,
400,erf,dilation,5.29645059372827,100.0,,
400,erf,hit_oracle,8.0,152.0,16480.0,2504960.0
