T,noise,d,nnz_off,n_pairs,r_x_mm,r_disc_mm,w_band_max,w_band_p95,w_disc_max,w_disc_p95,coverage,delta_max,chi_greedy,alpha_hit_band,alpha_hit_disc
5,clean,100,30,15,0.009302935310488447,0.009461147074297004,1,1.0,1,1.0,1.0,2,2,2,2
10,clean,400,60,30,0.008913597827010566,0.009141635986311625,1,1.0,1,1.0,1.0,2,2,2,2
20,clean,1600,120,60,0.011685060073775767,0.011759005253296378,1,1.0,1,0.049999999999954525,1.0,2,2,2,2
50,clean,10000,312,156,0.0630053812132611,0.06303362093569567,3,1.0,1,0.0,1.0,3,3,4,2
100,clean,40000,624,312,0.058911955755029964,0.0727874614366228,3,1.0,1,0.0,1.0,2,2,4,2
100,noisy,40000,592,296,0.06754197363593804,0.08819480005863715,4,1.0,1,0.0,1.0,3,3,4,2
200,clean,160000,1342,671,0.07282859425330034,0.0733146331717907,4,2.0,1,0.0,1.0,2,2,4,2
400,clean,640000,3722,1861,0.09127472988921631,0.10262203440723454,6,3.0,2,0.0,1.0,4,4,8,2
400,noisy,640000,3612,1806,0.08755601288172761,0.10413936656369349,8,3.0,1,0.0,1.0,3,3,8,2
700,clean,1960000,10498,5249,0.11101477092858644,0.12087669124117036,12,6.0,2,0.0,1.0,4,4,16,2
1000,clean,4000000,26178,13089,0.10609219125502076,0.11995472012688857,16,8.0,3,0.0,1.0,4,4,16,4
