T,method,t_prep,t_bounds,mem_bytes,note,t_total
5,native,0.04003024101257324,0.0,2080.0,A build only,0.04003024101257324
5,dilation,0.04149485140807463,0.06698307082766577,131072.0,A build + dense eigh O(N^3),0.1084779222357404
5,fable,0.006095794859919266,0.06698307082766577,131072.0,dense angles + sfwht; O(N^2) MEMORY,0.07307886568758504
5,lsfable,0.040031541012573245,0.06698307082766577,2080.0,A build + O(nnz) angles,0.10701461184023903
5,camps,0.04022548215666272,0.06698307082766577,2080.0,A build + coloring + O(nnz n) synthesis,0.10720855298432849
5,dictionary,0.04022548215666272,0.06698307082766577,2080.0,as camps + classes,0.10720855298432849
5,szegedy,0.040031541012573245,0.0,2080.0,A build + degrees; NO Lanczos,0.040031541012573245
5,hit_oracle,2.3219280948873625e-06,0.0,100.0,"hit sort + tables ONLY; no A, no Lanczos",2.3219280948873625e-06
10,native,0.0024406909942626953,0.0,7360.0,A build only,0.0024406909942626953
10,dilation,0.09617575630635145,0.13396614165533155,2097152.0,A build + dense eigh O(N^3),0.230141897961683
10,fable,0.1253992085469106,0.13396614165533155,2097152.0,dense angles + sfwht; O(N^2) MEMORY,0.25936535020224216
10,lsfable,0.0024452909942626953,0.13396614165533155,7360.0,A build + O(nnz) angles,0.13641143264959424
10,camps,0.003063173282441639,0.13396614165533155,7360.0,A build + coloring + O(nnz n) synthesis,0.13702931493777318
10,dictionary,0.003063173282441639,0.13396614165533155,7360.0,as camps + classes,0.13702931493777318
10,szegedy,0.0024452909942626953,0.0,7360.0,A build + degrees; NO Lanczos,0.0024452909942626953
10,hit_oracle,5.643856189774724e-06,0.0,200.0,"hit sort + tables ONLY; no A, no Lanczos",5.643856189774724e-06
20,native,0.003772735595703125,0.0,27520.0,A build only,0.003772735595703125
20,dilation,6.002816915569383,0.2679322833106631,33554432.0,A build + dense eigh O(N^3),6.270749198880046
20,fable,2.4522511893618075,0.2679322833106631,33554432.0,dense angles + sfwht; O(N^2) MEMORY,2.7201834726724705
20,lsfable,0.003789935595703125,0.2679322833106631,27520.0,A build + O(nnz) angles,0.2717222189063662
20,camps,0.006081700172061012,0.2679322833106631,27520.0,A build + coloring + O(nnz n) synthesis,0.2740139834827241
20,dictionary,0.006081700172061012,0.2679322833106631,27520.0,as camps + classes,0.2740139834827241
20,szegedy,0.003789935595703125,0.0,27520.0,A build + degrees; NO Lanczos,0.003789935595703125
20,hit_oracle,1.3287712379549449e-05,0.0,400.0,"hit sort + tables ONLY; no A, no Lanczos",1.3287712379549449e-05
50,native,0.010785579681396484,0.0,164992.0,A build only,0.010785579681396484
50,dilation,3071.5214057262056,0.6698307082766578,2147483648.0,A build + dense eigh O(N^3),3072.191236434482
50,fable,199.7470059698345,0.6698307082766578,2147483648.0,dense angles + sfwht; O(N^2) MEMORY,200.41683667811117
50,lsfable,0.010888699681396484,0.6698307082766578,164992.0,A build + O(nnz) angles,0.6807194079580543
50,camps,0.0262647911222912,0.6698307082766578,164992.0,A build + coloring + O(nnz n) synthesis,0.696095499398949
50,dictionary,0.0262647911222912,0.6698307082766578,164992.0,as camps + classes,0.696095499398949
50,szegedy,0.010888699681396484,0.0,164992.0,A build + degrees; NO Lanczos,0.010888699681396484
50,hit_oracle,3.982892142331043e-05,0.0,1000.0,"hit sort + tables ONLY; no A, no Lanczos",3.982892142331043e-05
100,native,0.06212639808654785,0.0,649984.0,A build only,0.06212639808654785
100,dilation,196576.74181577563,3.0705490112304688,34359738368.0,A build + dense eigh O(N^3),196579.81236478686
100,fable,3652.5166805912595,3.0705490112304688,34359738368.0,dense angles + sfwht; O(N^2) MEMORY,3655.58722960249
100,lsfable,0.06253263808654785,3.0705490112304688,649984.0,A build + O(nnz) angles,3.133081649317017
100,camps,0.1286702273162842,3.0705490112304688,649984.0,A build + coloring + O(nnz n) synthesis,3.199219238546753
100,dictionary,0.1286702273162842,3.0705490112304688,649984.0,as camps + classes,3.199219238546753
100,szegedy,0.06253263808654785,0.0,649984.0,A build + degrees; NO Lanczos,0.06253263808654785
100,hit_oracle,8.965784284662088e-05,0.0,2000.0,"hit sort + tables ONLY; no A, no Lanczos",8.965784284662088e-05
200,native,0.19029784202575684,0.0,2581472.0,A build only,0.19029784202575684
200,dilation,12580907.690418005,4.134997844696045,549755813888.0,A build + dense eigh O(N^3),12580911.82541585
200,fable,65745.30025064267,4.134997844696045,549755813888.0,dense angles + sfwht; O(N^2) MEMORY,65749.43524848737
200,lsfable,0.19191126202575684,4.134997844696045,2581472.0,A build + O(nnz) angles,4.326909106721802
