comp,kind,lam,size
219,isolated_false,0.0,1
220,isolated_false,0.0,1
221,isolated_false,0.0,1
222,isolated_false,0.0,1
223,isolated_false,0.0,1
224,isolated_false,0.0,1
225,isolated_false,0.0,1
226,isolated_false,0.0,1
227,isolated_false,0.0,1
228,isolated_false,0.0,1
229,isolated_false,0.0,1
230,isolated_false,0.0,1
231,isolated_false,0.0,1
232,isolated_false,0.0,1
233,isolated_false,0.0,1
234,isolated_false,0.0,1
235,isolated_false,0.0,1
236,isolated_false,0.0,1
237,isolated_false,0.0,1
238,isolated_false,0.0,1
239,isolated_false,0.0,1
240,isolated_false,0.0,1
241,isolated_false,0.0,1
242,isolated_false,0.0,1
243,isolated_false,0.0,1
244,isolated_false,0.0,1
245,isolated_false,0.0,1
246,isolated_false,0.0,1
247,isolated_false,0.0,1
248,isolated_false,0.0,1
249,isolated_false,0.0,1
250,isolated_false,0.0,1
251,isolated_false,0.0,1
252,isolated_false,0.0,1
253,isolated_false,0.0,1
254,isolated_false,0.0,1
255,isolated_false,0.0,1
256,isolated_false,0.0,1
257,isolated_false,0.0,1
258,isolated_false,0.0,1
259,isolated_false,0.0,1
260,isolated_false,0.0,1
261,isolated_false,0.0,1
262,isolated_false,0.0,1
263,isolated_false,0.0,1
264,isolated_false,0.0,1
265,isolated_false,0.0,1
266,isolated_false,0.0,1
267,isolated_false,0.0,1
268,isolated_false,0.0,1
269,isolated_false,0.0,1
270,isolated_false,0.0,1
271,isolated_false,0.0,1
272,isolated_false,0.0,1
273,isolated_false,0.0,1
274,isolated_false,0.0,1
275,isolated_false,0.0,1
276,isolated_false,0.0,1
277,isolated_false,0.0,1
278,isolated_false,0.0,1
279,isolated_false,0.0,1
280,isolated_false,0.0,1
281,isolated_false,0.0,1
282,isolated_false,0.0,1
283,isolated_false,0.0,1
284,isolated_false,0.0,1
285,isolated_false,0.0,1
286,isolated_false,0.0,1
287,isolated_false,0.0,1
288,isolated_false,0.0,1
289,isolated_false,0.0,1
290,isolated_false,0.0,1
291,isolated_false,0.0,1
292,isolated_false,0.0,1
293,isolated_false,0.0,1
294,isolated_false,0.0,1
295,isolated_false,0.0,1
296,isolated_false,0.0,1
