T,rep,kernel,enc,thr,rot,enc_err,eff_wp,far_wp,tau_wp,eff_fix,far_fix
20,0,step,sfable,0.0,262144,1.3869314023206433e-14,1.0,0.0,0.3645849316573164,1.0,0.0
20,0,step,sfable,1e-05,6230,0.002416923049831476,1.0,0.0,0.36198505884842314,1.0,0.0
20,0,step,sfable,0.0001,2168,0.003540265750723304,1.0,0.0,0.36259043207874087,1.0,0.0
20,0,step,sfable,0.0003,2168,0.003540265750723304,1.0,0.0,0.36259043207874087,1.0,0.0
20,0,step,sfable,0.001,1600,0.08439108941230378,1.0,0.95,0.008191436950269656,0.05,0.9375
20,0,step,sfable,0.003,1,0.9997209597354308,1.0,0.95,1.734756844101473e-06,0.9875,0.9505941213258287
20,0,step,sfable,0.01,1,0.9997209597354308,1.0,0.95,1.734756844101473e-06,0.9875,0.9505941213258287
20,0,step,sfable,0.03,1,0.9997209597354308,1.0,0.95,1.734756844101473e-06,0.9875,0.9505941213258287
20,0,step,sfable,0.1,1,0.9997209597354308,1.0,0.95,1.734756844101473e-06,0.9875,0.9505941213258287
20,0,step,sfable,0.3,1,0.9997209597354308,1.0,0.95,1.734756844101473e-06,0.9875,0.9505941213258287
20,0,step,fable,0.0,3824479,1.0310035731105133e-14,1.0,0.0,0.36458493165690037,1.0,0.0
20,0,step,fable,1e-05,65664,0.06749510151045768,1.0,0.95,0.28069411850825804,0.525,0.9495192307692307
20,0,step,fable,0.0001,8192,0.1744234885661662,1.0,0.95,0.3313229902580478,0.3625,0.9496527777777778
20,0,step,fable,0.0003,8192,0.1744234885661662,1.0,0.95,0.3313229902580478,0.3625,0.9496527777777778
20,0,step,fable,0.001,2048,0.08964142079315113,1.0,0.95,0.2772274245643346,0.5375,0.9483173076923077
20,0,step,fable,0.003,1,0.9997008292158885,1.0,0.95,0.4116084189417136,1.0,0.95
20,0,step,fable,0.01,1,0.9997008292158885,1.0,0.95,0.4116084189417136,1.0,0.95
20,0,step,fable,0.03,1,0.9997008292158885,1.0,0.95,0.4116084189417136,1.0,0.95
20,0,step,fable,0.1,1,0.9997008292158885,1.0,0.95,0.4116084189417136,1.0,0.95
20,0,step,fable,0.3,1,0.9997008292158885,1.0,0.95,0.4116084189417136,1.0,0.95
20,0,step,lsfable,,1721,0.7982037753662957,1.0,0.0,0.13166286822982978,0.4625,0.0
20,1,step,sfable,0.0,262144,1.3869314023206433e-14,1.0,0.0,0.3645849316573164,1.0,0.0
20,1,step,sfable,1e-05,6230,0.002416923049831476,1.0,0.0,0.36198505884842314,1.0,0.0
20,1,step,sfable,0.0001,2168,0.003540265750723304,1.0,0.0,0.36259043207874087,1.0,0.0
20,1,step,sfable,0.0003,2168,0.003540265750723304,1.0,0.0,0.36259043207874087,1.0,0.0
20,1,step,sfable,0.001,1600,0.08439108941230378,1.0,0.95,0.008191436950269656,0.05,0.9375
20,1,step,sfable,0.003,1,0.9997209597354308,1.0,0.95,1.734756844101473e-06,0.9875,0.9505941213258287
20,1,step,sfable,0.01,1,0.9997209597354308,1.0,0.95,1.734756844101473e-06,0.9875,0.9505941213258287
20,1,step,sfable,0.03,1,0.9997209597354308,1.0,0.95,1.734756844101473e-06,0.9875,0.9505941213258287
20,1,step,sfable,0.1,1,0.9997209597354308,1.0,0.95,1.734756844101473e-06,0.9875,0.9505941213258287
20,1,step,sfable,0.3,1,0.9997209597354308,1.0,0.95,1.734756844101473e-06,0.9875,0.9505941213258287
20,1,step,fable,0.0,3824479,1.0310035731105133e-14,1.0,0.0,0.36458493165690037,1.0,0.0
20,1,step,fable,1e-05,65664,0.06749510151045768,1.0,0.95,0.28069411850825804,0.525,0.9495192307692307
20,1,step,fable,0.0001,8192,0.1744234885661662,1.0,0.95,0.3313229902580478,0.3625,0.9496527777777778
20,1,step,fable,0.0003,8192,0.1744234885661662,1.0,0.95,0.3313229902580478,0.3625,0.9496527777777778
20,1,step,fable,0.001,2048,0.08964142079315113,1.0,0.95,0.2772274245643346,0.5375,0.9483173076923077
20,1,step,fable,0.003,1,0.9997008292158885,1.0,0.95,0.4116084189417136,1.0,0.95
20,1,step,fable,0.01,1,0.9997008292158885,1.0,0.95,0.4116084189417136,1.0,0.95
20,1,step,fable,0.03,1,0.9997008292158885,1.0,0.95,0.4116084189417136,1.0,0.95
20,1,step,fable,0.1,1,0.9997008292158885,1.0,0.95,0.4116084189417136,1.0,0.95
20,1,step,fable,0.3,1,0.9997008292158885,1.0,0.95,0.4116084189417136,1.0,0.95
20,1,step,lsfable,,1721,0.7982037753662957,1.0,0.0,0.13166286822982978,0.4625,0.0
20,2,step,sfable,0.0,262144,1.3869314023206433e-14,1.0,0.0,0.3645849316573164,1.0,0.0
20,2,step,sfable,1e-05,6230,0.002416923049831476,1.0,0.0,0.36198505884842314,1.0,0.0
20,2,step,sfable,0.0001,2168,0.003540265750723304,1.0,0.0,0.36259043207874087,1.0,0.0
20,2,step,sfable,0.0003,2168,0.003540265750723304,1.0,0.0,0.36259043207874087,1.0,0.0
20,2,step,sfable,0.001,1600,0.08439108941230378,1.0,0.95,0.008191436950269656,0.05,0.9375
20,2,step,sfable,0.003,1,0.9997209597354308,1.0,0.95,1.734756844101473e-06,0.9875,0.9505941213258287
20,2,step,sfable,0.01,1,0.9997209597354308,1.0,0.95,1.734756844101473e-06,0.9875,0.9505941213258287
20,2,step,sfable,0.03,1,0.9997209597354308,1.0,0.95,1.734756844101473e-06,0.9875,0.9505941213258287
20,2,step,sfable,0.1,1,0.9997209597354308,1.0,0.95,1.734756844101473e-06,0.9875,0.9505941213258287
20,2,step,sfable,0.3,1,0.9997209597354308,1.0,0.95,1.734756844101473e-06,0.9875,0.9505941213258287
20,2,step,fable,0.0,3824479,1.0310035731105133e-14,1.0,0.0,0.36458493165690037,1.0,0.0
20,2,step,fable,1e-05,65664,0.06749510151045768,1.0,0.95,0.28069411850825804,0.525,0.9495192307692307
20,2,step,fable,0.0001,8192,0.1744234885661662,1.0,0.95,0.3313229902580478,0.3625,0.9496527777777778
20,2,step,fable,0.0003,8192,0.1744234885661662,1.0,0.95,0.3313229902580478,0.3625,0.9496527777777778
20,2,step,fable,0.001,2048,0.08964142079315113,1.0,0.95,0.2772274245643346,0.5375,0.9483173076923077
20,2,step,fable,0.003,1,0.9997008292158885,1.0,0.95,0.4116084189417136,1.0,0.95
20,2,step,fable,0.01,1,0.9997008292158885,1.0,0.95,0.4116084189417136,1.0,0.95
20,2,step,fable,0.03,1,0.9997008292158885,1.0,0.95,0.4116084189417136,1.0,0.95
20,2,step,fable,0.1,1,0.9997008292158885,1.0,0.95,0.4116084189417136,1.0,0.95
20,2,step,fable,0.3,1,0.9997008292158885,1.0,0.95,0.4116084189417136,1.0,0.95
20,2,step,lsfable,,1721,0.7982037753662957,1.0,0.0,0.13166286822982978,0.4625,0.0
20,0,erf,sfable,0.0,1048576,1.6187305236103343e-14,1.0,0.0,0.8186887709615883,1.0,0.024390243902439025
20,0,erf,sfable,1e-05,8268,0.0036762297258384024,1.0,0.0,0.6643936163201493,1.0,0.0
20,0,erf,sfable,0.0001,2168,0.006044826777953174,1.0,0.0,0.4109645357908268,1.0,0.0
20,0,erf,sfable,0.0003,2168,0.006044826777953174,1.0,0.0,0.4109645357908268,1.0,0.0
20,0,erf,sfable,0.001,1600,0.14093380123202673,1.0,0.95,0.44060366945637064,1.0,0.95
20,0,erf,sfable,0.003,1,0.9997170964135799,1.0,0.95,5.422983967493061e-06,0.9875,0.9505941213258287
20,0,erf,sfable,0.01,1,0.9997170964135799,1.0,0.95,5.422983967493061e-06,0.9875,0.9505941213258287
20,0,erf,sfable,0.03,1,0.9997170964135799,1.0,0.95,5.422983967493061e-06,0.9875,0.9505941213258287
20,0,erf,sfable,0.1,1,0.9997170964135799,1.0,0.95,5.422983967493061e-06,0.9875,0.9505941213258287
20,0,erf,sfable,0.3,1,0.9997170964135799,1.0,0.95,5.422983967493061e-06,0.9875,0.9505941213258287
20,0,erf,fable,0.0,4189788,1.2593070210900995e-14,1.0,0.0,0.8186887709612582,1.0,0.024390243902439025
20,0,erf,fable,1e-05,76864,0.12876644943226354,1.0,0.6862745098039216,0.43899372155880395,1.0,0.7687861271676301
20,0,erf,fable,0.0001,8192,0.2088375974364797,1.0,0.95,1.0574331671536414,1.0,0.95
20,0,erf,fable,0.0003,8192,0.2088375974364797,1.0,0.95,1.0574331671536414,1.0,0.95
20,0,erf,fable,0.001,2048,0.14678214477353702,1.0,0.95,0.9335760863499731,1.0,0.95
20,0,erf,fable,0.003,1,0.9997159508980216,1.0,0.95,1.2616560623791497,1.0,0.95
20,0,erf,fable,0.01,1,0.9997159508980216,1.0,0.95,1.2616560623791497,1.0,0.95
20,0,erf,fable,0.03,1,0.9997159508980216,1.0,0.95,1.2616560623791497,1.0,0.95
20,0,erf,fable,0.1,1,0.9997159508980216,1.0,0.95,1.2616560623791497,1.0,0.95
20,0,erf,fable,0.3,1,0.9997159508980216,1.0,0.95,1.2616560623791497,1.0,0.95
20,0,erf,lsfable,,1725,0.7928530307914048,1.0,0.0,0.5670020590200512,1.0,0.0
20,1,erf,sfable,0.0,262144,1.4283749301387288e-14,1.0,0.0,0.8081243099957024,1.0,0.0
20,1,erf,sfable,1e-05,8266,0.0036794258421323873,1.0,0.0,0.6909263156963039,1.0,0.0
20,1,erf,sfable,0.0001,2168,0.00602956471308189,1.0,0.0,0.44485552289358943,1.0,0.0
20,1,erf,sfable,0.0003,2168,0.00602956471308189,1.0,0.0,0.44485552289358943,1.0,0.0
20,1,erf,sfable,0.001,1600,0.14090967321552328,1.0,0.95,0.452517990448731,1.0,0.95
20,1,erf,sfable,0.003,1,0.9997171062806252,1.0,0.95,5.408510881515491e-06,0.9875,0.9505941213258287
20,1,erf,sfable,0.01,1,0.9997171062806252,1.0,0.95,5.408510881515491e-06,0.9875,0.9505941213258287
20,1,erf,sfable,0.03,1,0.9997171062806252,1.0,0.95,5.408510881515491e-06,0.9875,0.9505941213258287
20,1,erf,sfable,0.1,1,0.9997171062806252,1.0,0.95,5.408510881515491e-06,0.9875,0.9505941213258287
20,1,erf,sfable,0.3,1,0.9997171062806252,1.0,0.95,5.408510881515491e-06,0.9875,0.9505941213258287
20,1,erf,fable,0.0,4175617,1.362311310006679e-14,1.0,0.0,0.8081243099946246,1.0,0.0
20,1,erf,fable,1e-05,76864,0.12873636224447588,1.0,0.6862745098039216,0.4386889773594462,1.0,0.7681159420289855
20,1,erf,fable,0.0001,8192,0.20881771896928183,1.0,0.95,1.0560006573050185,1.0,0.95
20,1,erf,fable,0.0003,8192,0.20881771896928183,1.0,0.95,1.0560006573050185,1.0,0.95
20,1,erf,fable,0.001,2048,0.1467532065114152,1.0,0.95,0.9323340885213445,1.0,0.95
