T,rep,kernel,enc,thr,rot,enc_err,eff_wp,far_wp,tau_wp,eff_fix,far_fix
20,1,erf,fable,0.003,1,0.999715933630618,1.0,0.95,1.2603125871139689,1.0,0.95
20,1,erf,fable,0.01,1,0.999715933630618,1.0,0.95,1.2603125871139689,1.0,0.95
20,1,erf,fable,0.03,1,0.999715933630618,1.0,0.95,1.2603125871139689,1.0,0.95
20,1,erf,fable,0.1,1,0.999715933630618,1.0,0.95,1.2603125871139689,1.0,0.95
20,1,erf,fable,0.3,1,0.999715933630618,1.0,0.95,1.2603125871139689,1.0,0.95
20,1,erf,lsfable,,1721,0.792856410885536,1.0,0.0,0.559290083233214,1.0,0.0
20,2,erf,sfable,0.0,524288,1.5446876823036856e-14,1.0,0.0,0.7673747037074549,1.0,0.024390243902439025
20,2,erf,sfable,1e-05,8268,0.0036767301238475533,1.0,0.0,0.6643611307440928,1.0,0.0
20,2,erf,sfable,0.0001,2168,0.0060452302378036895,1.0,0.0,0.49223190969995745,1.0,0.0
20,2,erf,sfable,0.0003,2168,0.0060452302378036895,1.0,0.0,0.49223190969995745,1.0,0.0
20,2,erf,sfable,0.001,1600,0.14092442557881932,1.0,0.95,0.44060829963578896,1.0,0.95
20,2,erf,sfable,0.003,1,0.9997170960076673,1.0,0.95,5.421027695330186e-06,0.9875,0.9505941213258287
20,2,erf,sfable,0.01,1,0.9997170960076673,1.0,0.95,5.421027695330186e-06,0.9875,0.9505941213258287
20,2,erf,sfable,0.03,1,0.9997170960076673,1.0,0.95,5.421027695330186e-06,0.9875,0.9505941213258287
20,2,erf,sfable,0.1,1,0.9997170960076673,1.0,0.95,5.421027695330186e-06,0.9875,0.9505941213258287
20,2,erf,sfable,0.3,1,0.9997170960076673,1.0,0.95,5.421027695330186e-06,0.9875,0.9505941213258287
20,2,erf,fable,0.0,4185741,1.7963280513319723e-14,1.0,0.0,0.7673747037102712,1.0,0.024390243902439025
20,2,erf,fable,1e-05,76864,0.1287577087715014,1.0,0.6850393700787402,0.43925941828911835,1.0,0.7681159420289855
20,2,erf,fable,0.0001,8192,0.2088314823674934,1.0,0.95,1.0564000554165183,1.0,0.95
20,2,erf,fable,0.0003,8192,0.2088314823674934,1.0,0.95,1.0564000554165183,1.0,0.95
20,2,erf,fable,0.001,2048,0.146773322030572,1.0,0.95,0.9332888300714043,1.0,0.95
20,2,erf,fable,0.003,1,0.9997159490049381,1.0,0.949874686716792,1.2612600748420717,1.0,0.95
20,2,erf,fable,0.01,1,0.9997159490049381,1.0,0.949874686716792,1.2612600748420717,1.0,0.95
20,2,erf,fable,0.03,1,0.9997159490049381,1.0,0.949874686716792,1.2612600748420717,1.0,0.95
20,2,erf,fable,0.1,1,0.9997159490049381,1.0,0.949874686716792,1.2612600748420717,1.0,0.95
20,2,erf,fable,0.3,1,0.9997159490049381,1.0,0.949874686716792,1.2612600748420717,1.0,0.95
20,2,erf,lsfable,,1723,0.7928540264563279,1.0,0.0,0.5635377883955303,1.0,0.0
