T,kernel,solver,eff,far,eff_wp,far_wp,tau_wp,cos_QC,p_succ,l1,p_at_0,p_at_1
100,step,szegedy_comb_d12,0.5,0.10714285714285714,1.0,0.05660377358490566,0.24456780169328224,0.894962402985507,0.007821607051563265,0.9514713602616365,0.08020362296315355,0.2301659686643367
100,step,szegedy_comb_d20,0.5,0.0,1.0,0.0,0.18425998971492802,0.8397502494675962,0.002042430260864719,1.2026749280022766,-0.052164360987759506,0.04736936249822643
100,step,szegedy_comb_d40,0.5,0.0,1.0,0.0,0.3438377052725022,0.9653145810887557,0.00016116831104677346,1.332996392638088,0.0009467978606871597,-0.002815630351752696
100,step,qsvt_comb_d40,1.0,0.0,1.0,0.0,0.3645849211445273,0.9999978189778398,0.004407605452339446,,,
100,step,classical,1.0,0.0,,,,,,,,
200,step,szegedy_comb_d12,0.5,0.26199261992619927,1.0,0.15074309978768577,0.2445678016932822,0.8949624029855072,0.007493773907251446,0.9514713602616365,0.08020362296315355,0.2301659686643367
200,step,szegedy_comb_d20,0.5,0.0,1.0,0.0,0.18425998971492805,0.8397502494675964,0.0019616565785719894,1.2026749280022766,-0.052164360987759506,0.04736936249822643
200,step,szegedy_comb_d40,0.5,0.0,1.0,0.0,0.3438377052725021,0.965314581088755,8.083872767717779e-05,1.332996392638088,0.0009467978606871597,-0.002815630351752696
200,step,qsvt_comb_d40,1.0,0.0,1.0,0.0,0.3645849295171117,0.9999978189393053,0.0022088522303874117,,,
200,step,classical,1.0,0.0,,,,,,,,
200,erf,szegedy_comb_d12,1.0,0.995,0.99,0.6212338593974175,0.6323275887872938,0.8385353757696514,0.007869278163409937,0.9514713602616365,0.08020362296315355,0.2301659686643367
200,erf,szegedy_comb_d20,1.0,0.9949995312060506,0.99,0.005025125628140704,0.5559911896084972,0.7933264539361622,0.0019625568144212963,1.2026749280022766,-0.052164360987759506,0.04736936249822643
200,erf,szegedy_comb_d40,1.0,0.007444168734491315,0.99,0.0025188916876574307,1.0460872098493215,0.9287102810191586,8.387943488660329e-05,1.332996392638088,0.0009467978606871597,-0.002815630351752696
200,erf,qsvt_comb_d40,0.49625,0.38161993769470404,0.99,0.28,0.17736521478072445,0.326512416958938,0.00020158297644672614,,,
200,erf,classical,1.0,0.1443850267379679,,,,,,,,
400,step,szegedy_comb_d12,0.5,0.616674652611404,0.994375,0.44756944444444446,0.24855308662458087,0.8914746855390656,0.00738064192019879,0.9514713602616365,0.08020362296315355,0.2301659686643367
400,step,szegedy_comb_d20,0.494375,0.0025220680958385876,0.99,0.008140262993112084,0.1888892640172153,0.8310610879021433,0.0019208593275416787,1.2026749280022766,-0.052164360987759506,0.04736936249822643
400,step,szegedy_comb_d40,0.981875,0.0012714558169103624,0.993125,0.001257071024512885,0.2605959205639136,0.9499922756287457,4.03523420717964e-05,1.332996392638088,0.0009467978606871597,-0.002815630351752696
400,step,qsvt_comb_d40,0.9775,0.0,0.990625,0.011228945726762321,0.16217020685870592,0.976566723653581,0.001091360011343664,,,
400,step,classical,1.0,0.02020820575627679,,,,,,,,
