T,matrix,thr,sfable_err,sfable_rot,fable_err,fable_rot,lsfable
10,erf,1.1224620483093722e-05,0.0021003828332032595,9154.0,0.01927519532492311,177680,
10,erf,2.054539912180901e-05,0.0030730661267388284,6148.0,0.03953807167932018,131496,
10,erf,3.7606030930863934e-05,0.006284139101437521,4106.0,0.08656515465545706,64120,
10,erf,6.883358916458818e-05,0.007815141786371986,1578.0,0.14527570350264407,25288,
10,erf,0.00012599210498948727,0.011646892347347271,574.0,0.18081707472231515,16296,
10,erf,0.0002306143078159937,0.011646892347347271,574.0,0.2308912733378956,3336,
10,erf,0.00042211342507443144,0.011646892347347271,574.0,0.24565713294553307,2048,
10,erf,0.0007726309148616953,0.01583032158683926,572.0,0.24565713294553307,2048,
10,erf,0.0014142135623730952,0.03251548958547474,460.0,0.20990357876430205,544,
10,erf,0.0025885580832058835,0.1921296652929591,400.0,0.19685611474296835,512,
10,erf,0.004738062997279315,0.1921296652929591,400.0,0.49021794133646474,405,
10,erf,0.008672488792828026,0.9988578426623757,1.0,0.9989700506825803,1,
10,erf,0.015874010519681986,0.9988578426623757,1.0,0.9989700506825803,1,
10,erf,0.029055582082430587,0.9988578426623757,1.0,0.9989700506825803,1,
10,erf,0.05318295896944989,0.9988578426623757,1.0,0.9989700506825803,1,
10,erf,0.09734539534337833,0.9988578426623757,1.0,0.9989700506825803,1,
10,erf,0.17817974362806763,0.9988578426623757,1.0,0.9989700506825803,1,
10,erf,0.32613788179066194,0.9988578426623757,1.0,0.9989700506825803,1,
10,erf,0.5969585306000202,0.9988578426623757,1.0,0.9989700506825803,1,
10,erf,1.0926651185061407,0.9988578426623757,1.0,0.9989700506825803,1,
10,erf,2.0,0.9988578426623757,1.0,0.9989700506825803,1,
10,erf,,,,0.7863948107716843,463,True
10,random_ctrl,1e-06,8.886292456875184e-05,441.0,0.0007304251749460875,259229,
10,random_ctrl,1.8303869741301314e-06,8.886292456875184e-05,441.0,0.001816840360606454,256811,
10,random_ctrl,3.3503164750652652e-06,0.0001455083956996601,439.0,0.004528340180483178,252357,
10,random_ctrl,6.132375635173039e-06,0.0001455083956996601,439.0,0.011125054556289099,244300,
10,random_ctrl,1.1224620483093722e-05,0.00026302801790600226,438.0,0.027535630656822872,229615,
10,random_ctrl,2.054539912180901e-05,0.00026302801790600226,438.0,0.06813516957844853,202753,
10,random_ctrl,3.7606030930863934e-05,0.0018173908791360965,434.0,0.16335423928523737,156536,
10,random_ctrl,6.883358916458818e-05,0.004849397776764772,427.0,0.3697497337777103,87430,
10,random_ctrl,0.00012599210498948727,0.011795502526835271,414.0,0.7304395727787399,20238,
10,random_ctrl,0.0002306143078159937,0.028597223301755986,392.0,0.9892393285075355,316,
10,random_ctrl,0.00042211342507443144,0.07044801167233118,352.0,0.9999993603252758,1,
10,random_ctrl,0.0007726309148616953,0.16597989772280544,285.0,0.9999993603252758,1,
10,random_ctrl,0.0014142135623730952,0.36836118311384036,180.0,0.9999993603252758,1,
10,random_ctrl,0.0025885580832058835,0.7766689751474127,48.0,0.9999993603252758,1,
10,random_ctrl,0.004738062997279315,1.000000000000009,1.0,0.9999993603252758,1,
10,random_ctrl,0.008672488792828026,1.000000000000009,1.0,0.9999993603252758,1,
10,random_ctrl,0.015874010519681986,1.000000000000009,1.0,0.9999993603252758,1,
10,random_ctrl,0.029055582082430587,1.000000000000009,1.0,0.9999993603252758,1,
10,random_ctrl,0.05318295896944989,1.000000000000009,1.0,0.9999993603252758,1,
10,random_ctrl,0.09734539534337833,1.000000000000009,1.0,0.9999993603252758,1,
10,random_ctrl,0.17817974362806763,1.000000000000009,1.0,0.9999993603252758,1,
10,random_ctrl,0.32613788179066194,1.000000000000009,1.0,0.9999993603252758,1,
10,random_ctrl,0.5969585306000202,1.000000000000009,1.0,0.9999993603252758,1,
10,random_ctrl,1.0926651185061407,1.000000000000009,1.0,0.9999993603252758,1,
10,random_ctrl,2.0,1.000000000000009,1.0,0.9999993603252758,1,
10,random_ctrl,,,,0.00016340059473229584,441,True
20,step,1e-06,0.000436598635689527,71680.0,0.019385125623989943,1543200,
20,step,1.8303869741301314e-06,0.0007184557761566497,38912.0,0.03584642103886739,692480,
20,step,3.3503164750652652e-06,0.0014471719184408287,21528.0,0.05705984894664755,158816,
20,step,6.132375635173039e-06,0.0018944373596086357,10304.0,0.06662949858961219,68480,
20,step,1.1224620483093722e-05,0.002894250715550036,4198.0,0.06754432361216947,65600,
20,step,2.054539912180901e-05,0.003540265750723304,2168.0,0.06760821054976059,65536,
20,step,3.7606030930863934e-05,0.003540265750723304,2168.0,0.06760821054976059,65536,
20,step,6.883358916458818e-05,0.003540265750723304,2168.0,0.1744234885661662,8192,
20,step,0.00012599210498948727,0.003540265750723304,2168.0,0.1744234885661662,8192,
20,step,0.0002306143078159937,0.003540265750723304,2168.0,0.1744234885661662,8192,
20,step,0.00042211342507443144,0.08439108941230378,1600.0,0.08964142079315113,2048,
20,step,0.0007726309148616953,0.08439108941230378,1600.0,0.08964142079315113,2048,
20,step,0.0014142135623730952,0.08439108941230378,1600.0,0.9997008292158885,1,
20,step,0.0025885580832058835,0.9997209597354308,1.0,0.9997008292158885,1,
20,step,0.004738062997279315,0.9997209597354308,1.0,0.9997008292158885,1,
20,step,0.008672488792828026,0.9997209597354308,1.0,0.9997008292158885,1,
20,step,0.015874010519681986,0.9997209597354308,1.0,0.9997008292158885,1,
20,step,0.029055582082430587,0.9997209597354308,1.0,0.9997008292158885,1,
20,step,0.05318295896944989,0.9997209597354308,1.0,0.9997008292158885,1,
20,step,0.09734539534337833,0.9997209597354308,1.0,0.9997008292158885,1,
20,step,0.17817974362806763,0.9997209597354308,1.0,0.9997008292158885,1,
20,step,0.32613788179066194,0.9997209597354308,1.0,0.9997008292158885,1,
20,step,0.5969585306000202,0.9997209597354308,1.0,0.9997008292158885,1,
20,step,1.0926651185061407,0.9997209597354308,1.0,0.9997008292158885,1,
20,step,2.0,0.9997209597354308,1.0,0.9997008292158885,1,
20,step,,,,0.7982037753662957,1721,True
20,erf,1e-06,0.0007506469199418545,106498.0,0.015503531046228477,2674672,
20,erf,1.8303869741301314e-06,0.0010844187470748087,51202.0,0.02811875725531275,1979936,
20,erf,3.3503164750652652e-06,0.0014761174084588686,32774.0,0.061134653537703885,910016,
20,erf,6.132375635173039e-06,0.002425545122402167,16426.0,0.10833975741223213,192864,
20,erf,1.1224620483093722e-05,0.00417547117742891,6232.0,0.13037934383250727,72224,
20,erf,2.054539912180901e-05,0.006044826777953174,2168.0,0.13372661735987543,65664,
20,erf,3.7606030930863934e-05,0.006044826777953174,2168.0,0.13427612096319252,65344,
20,erf,6.883358916458818e-05,0.006044826777953174,2168.0,0.2088375974364797,8192,
20,erf,0.00012599210498948727,0.006044826777953174,2168.0,0.2088375974364797,8192,
20,erf,0.0002306143078159937,0.006044826777953174,2168.0,0.2088375974364797,8192,
20,erf,0.00042211342507443144,0.03968434061429306,1720.0,0.14678214477353702,2048,
20,erf,0.0007726309148616953,0.14093380123202673,1600.0,0.14678214477353702,2048,
20,erf,0.0014142135623730952,0.14093380123202673,1600.0,0.9997159508980216,1,
20,erf,0.0025885580832058835,0.9997170964135799,1.0,0.9997159508980216,1,
20,erf,0.004738062997279315,0.9997170964135799,1.0,0.9997159508980216,1,
20,erf,0.008672488792828026,0.9997170964135799,1.0,0.9997159508980216,1,
20,erf,0.015874010519681986,0.9997170964135799,1.0,0.9997159508980216,1,
20,erf,0.029055582082430587,0.9997170964135799,1.0,0.9997159508980216,1,
20,erf,0.05318295896944989,0.9997170964135799,1.0,0.9997159508980216,1,
20,erf,0.09734539534337833,0.9997170964135799,1.0,0.9997159508980216,1,
20,erf,0.17817974362806763,0.9997170964135799,1.0,0.9997159508980216,1,
20,erf,0.32613788179066194,0.9997170964135799,1.0,0.9997159508980216,1,
20,erf,0.5969585306000202,0.9997170964135799,1.0,0.9997159508980216,1,
20,erf,1.0926651185061407,0.9997170964135799,1.0,0.9997159508980216,1,
20,erf,2.0,0.9997170964135799,1.0,0.9997159508980216,1,
20,erf,,,,0.7928530307914048,1725,True
20,random_ctrl,1e-06,8.791828557146713e-05,1790.0,0.016693877910957382,3817531,
20,random_ctrl,1.8303869741301314e-06,0.0001260210022763873,1789.0,0.04119176995668846,3507248,
20,random_ctrl,3.3503164750652652e-06,0.0002857868526038849,1787.0,0.10049006546272042,2957383,
20,random_ctrl,6.132375635173039e-06,0.001049242174167087,1776.0,0.2368385410380191,2050003,
20,random_ctrl,1.1224620483093722e-05,0.0022610720049232318,1759.0,0.512757608361875,859479,
20,random_ctrl,2.054539912180901e-05,0.005615356726797432,1730.0,0.8944990623664313,85656,
20,random_ctrl,3.7606030930863934e-05,0.015972503143447628,1658.0,0.999727527169808,81,
20,random_ctrl,6.883358916458818e-05,0.037260576437601396,1554.0,0.9999999813171733,1,
20,random_ctrl,0.00012599210498948727,0.08802143896615253,1375.0,0.9999999813171733,1,
20,random_ctrl,0.0002306143078159937,0.2121136838407728,1064.0,0.9999999813171733,1,
20,random_ctrl,0.00042211342507443144,0.4805645155091161,572.0,0.9999999813171733,1,
20,random_ctrl,0.0007726309148616953,0.9120555735259939,66.0,0.9999999813171733,1,
20,random_ctrl,0.0014142135623730952,1.0,1.0,0.9999999813171733,1,
20,random_ctrl,0.0025885580832058835,1.0,1.0,0.9999999813171733,1,
20,random_ctrl,0.004738062997279315,1.0,1.0,0.9999999813171733,1,
20,random_ctrl,0.008672488792828026,1.0,1.0,0.9999999813171733,1,
20,random_ctrl,0.015874010519681986,1.0,1.0,0.9999999813171733,1,
20,random_ctrl,0.029055582082430587,1.0,1.0,0.9999999813171733,1,
20,random_ctrl,0.05318295896944989,1.0,1.0,0.9999999813171733,1,
20,random_ctrl,0.09734539534337833,1.0,1.0,0.9999999813171733,1,
20,random_ctrl,0.17817974362806763,1.0,1.0,0.9999999813171733,1,
20,random_ctrl,0.32613788179066194,1.0,1.0,0.9999999813171733,1,
20,random_ctrl,0.5969585306000202,1.0,1.0,0.9999999813171733,1,
20,random_ctrl,1.0926651185061407,1.0,1.0,0.9999999813171733,1,
20,random_ctrl,2.0,1.0,1.0,0.9999999813171733,1,
20,random_ctrl,,,,4.0940812240263374e-05,1795,True
