T,matrix,thr,sfable_err,sfable_rot,fable_err,fable_rot,lsfable
10,step,1e-06,7.166433513173388e-15,65536.0,5.0080428358265175e-15,232400,
10,step,1.8303869741301314e-06,7.166433513173388e-15,65536.0,5.0080428358265175e-15,232400,
10,step,3.3503164750652652e-06,0.0005984831024655054,31232.0,5.0080428358265175e-15,232400,
10,step,6.132375635173039e-06,0.0008238277574165381,15360.0,0.009115785616594969,177680,
10,step,1.1224620483093722e-05,0.0013120659791241067,7680.0,0.019285525793920576,131496,
10,step,2.054539912180901e-05,0.0017499046765583046,5636.0,0.0513227905920324,50592,
10,step,3.7606030930863934e-05,0.003636422378400561,2588.0,0.07919113421881563,21744,
10,step,6.883358916458818e-05,0.004796878192481906,1576.0,0.09184028043117047,16496,
10,step,0.00012599210498948727,0.007309441671577646,572.0,0.09286770566730702,16360,
10,step,0.0002306143078159937,0.007309441671577646,572.0,0.18398490190159159,2192,
10,step,0.00042211342507443144,0.007309441671577646,572.0,0.18649298746059245,2048,
10,step,0.0007726309148616953,0.007309441671577646,572.0,0.18649298746059245,2048,
10,step,0.0014142135623730952,0.10427995777395359,400.0,0.11187799524421166,512,
10,step,0.0025885580832058835,0.10427995777395359,400.0,0.11187799524421166,512,
10,step,0.004738062997279315,0.10427995777395359,400.0,0.2823909380978356,481,
10,step,0.008672488792828026,0.9988579088613682,1.0,0.9988529857307018,1,
10,step,0.015874010519681986,0.9988579088613682,1.0,0.9988529857307018,1,
10,step,0.029055582082430587,0.9988579088613682,1.0,0.9988529857307018,1,
10,step,0.05318295896944989,0.9988579088613682,1.0,0.9988529857307018,1,
10,step,0.09734539534337833,0.9988579088613682,1.0,0.9988529857307018,1,
10,step,0.17817974362806763,0.9988579088613682,1.0,0.9988529857307018,1,
10,step,0.32613788179066194,0.9988579088613682,1.0,0.9988529857307018,1,
10,step,0.5969585306000202,0.9988579088613682,1.0,0.9988529857307018,1,
10,step,1.0926651185061407,0.9988579088613682,1.0,0.9988529857307018,1,
10,step,2.0,0.9988579088613682,1.0,0.9988529857307018,1,
10,step,,,,0.7965388120775339,461,True
10,erf,1e-06,0.00017615421479522266,70656.0,3.499073721756856e-05,247576,
10,erf,1.8303869741301314e-06,0.0001255747793515169,66048.0,3.499073721756856e-05,247576,
10,erf,3.3503164750652652e-06,0.0007942518517737549,39936.0,0.0030704106583158888,232400,
10,erf,6.132375635173039e-06,0.0014511900572844916,17410.0,0.007508752551738488,218768,
