4,0,32768,CPU,0.0
4,1,32768,CPU,0.0
4,2,32768,CPU,0.0
4,3,32768,CPU,0.0
4,4,32768,CPU,0.0
8,0,32768,CPU,0.0
8,1,32768,CPU,0.0
8,2,32768,CPU,0.0
8,3,32768,CPU,0.0
8,4,32768,CPU,0.0
12,0,32768,CPU,0.0
12,1,32768,CPU,0.0
12,2,32768,CPU,0.0
12,3,32768,CPU,0.0
12,4,32768,CPU,0.0
16,0,32768,CPU,0.0
16,1,32768,CPU,0.0
16,2,32768,CPU,0.0
16,3,32768,CPU,0.0
16,4,32768,CPU,0.0
20,0,32768,CPU,0.0
20,1,32768,CPU,0.0
20,2,32768,CPU,0.0
20,3,32768,CPU,0.0
20,4,32768,CPU,0.0
24,0,32768,CPU,0.0
24,1,32768,CPU,0.0
24,2,32768,CPU,0.0
24,3,32768,CPU,0.0
24,4,32768,CPU,0.0
28,0,32768,CPU,0.0
28,1,32768,CPU,0.0
28,2,32768,CPU,0.0
28,3,32768,CPU,0.0
28,4,32768,CPU,0.0
32,0,32768,CPU,0.0
32,1,32768,CPU,0.0
32,2,32768,CPU,0.0
32,3,32768,CPU,0.0
32,4,32768,CPU,0.0
