n_trk,tau,eff,eff_s,fr,fr_s,pur,f1
2,0.1,0.975,0.017370208344491277,0.0,0.0,1.0,0.9873417721518987
5,0.1,0.9566666666666667,0.015486986256047988,0.0,0.0,1.0,0.9778534923339013
10,0.1,0.9833333333333333,0.006033114240004924,0.0,0.0,1.0,0.9915966386554621
20,0.85,0.7116666666666667,0.006563497689167631,0.0,0.0,1.0,0.8315481986368062
50,1.3,0.7274999999999999,0.00315185826558172,0.00034246575342465754,0.0003424657534246575,0.9996575342465753,0.8421361013622032
100,0.1,0.979875,0.0016669681744823,0.046387429337610524,0.003146891913208496,0.9536125706623896,0.9665654249410949
200,0.1,0.9789999999999999,0.0028247418761130545,0.1557633528720961,0.003902200964659321,0.8442366471279039,0.9066378507037948
500,0.1,0.9801,0.0009273618495495634,0.5452617543376183,0.00471885929702516,0.45473824566238175,0.6212393012537125
1000,0.1,0.9772500000000001,0.0017017148213885197,0.8256891810628121,0.0018487691147538214,0.17431081893718792,0.29585106579708736
