n_trk,tau,eff,eff_s,fr,fr_s,pur,f1,qmax
2,0.05,0.975,0.017370208344491277,0.0,0.0,1.0,0.9873417721518987,0.6595813264772102
5,0.05,0.9566666666666667,0.015486986256047988,0.0,0.0,1.0,0.9778534923339013,0.8923174710173204
10,0.05,0.9833333333333333,0.006033114240004924,0.0,0.0,1.0,0.9915966386554621,1.1705182535357357
20,0.525,0.7108333333333333,0.0069824629803551886,0.0,0.0,1.0,0.8309790550414028,1.6011993149708563
50,0.525,0.68075,0.022778322451054434,0.0,0.0,1.0,0.8100550349546334,2.6031047360978725
100,0.525,0.58125,0.027151197027018903,0.0,0.0,1.0,0.7351778656126483,4.066632385186812
200,0.525,0.48312499999999997,0.03653824575397371,0.0,0.0,1.0,0.6514959966287399,6.252071886369197
500,0.4,0.6844,0.04799229104762555,0.012875867381679234,0.003588976110126227,0.9871241326183208,0.8083493898538213,9.000465643741226
1000,0.3,0.7823333333333333,0.013367664135683716,0.13117120420402548,0.018084308810759078,0.8688287957959746,0.8233155495995755,10.984537129518342
