n_trk,tau,eff,eff_s,fr,fr_s,pur,f1,qmax
2,0.05,0.975,0.017370208344491277,0.0,0.0,1.0,0.9873417721518987,0.6595813264772102
5,0.05,0.9566666666666667,0.015486986256047988,0.0,0.0,1.0,0.9778534923339013,0.8923174710173204
10,0.05,0.9833333333333333,0.006033114240004924,0.0,0.0,1.0,0.9915966386554621,1.1705182535357357
20,0.05,0.96375,0.007589267603571553,0.002459349593495935,0.0013701732345168206,0.9975406504065041,0.9803542393168593,1.6011993149708563
50,0.05,0.98225,0.002677267853221778,0.015521197487712015,0.0034584693286888787,0.9844788025122879,0.983363138356899,2.6031047360978725
100,0.05,0.979875,0.0016669681744823,0.046387429337610524,0.003146891913208496,0.9536125706623896,0.9665654249410949,4.066632385186812
200,0.05,0.9789999999999999,0.0028247418761130545,0.1557633528720961,0.003902200964659321,0.8442366471279039,0.9066378507037948,6.252071886369197
500,0.05,0.9801,0.0009273618495495634,0.5452617543376183,0.00471885929702516,0.45473824566238175,0.6212393012537125,9.000465643741226
1000,0.05,0.9772500000000001,0.0017017148213885197,0.8256891810628121,0.0018487691147538214,0.17431081893718792,0.29585106579708736,10.984537129518342
