n_trk,tau,eff,eff_s,pur,pur_s,fr,fr_s,qmax,n_reps,f1
5,0.8,0.235,0.005440376930822466,1.0,0.0,0.0,0.0,0.8923174710173204,30,0.38056680161943324
5,0.85,0.23166666666666666,0.005613680607381026,1.0,0.0,0.0,0.0,0.8923174710173204,30,0.3761840324763193
5,0.9,0.043333333333333335,0.01472610734538808,0.23333333333333334,0.07854032324531726,0.0,0.0,0.8923174710173204,30,0.07309236947791166
5,0.95,0.01,0.006948083337796512,0.06666666666666667,0.046320555585310084,0.0,0.0,0.8923174710173204,30,0.017391304347826087
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
10,0.1,0.9833333333333333,0.006033114240004924,1.0,0.0,0.0,0.0,1.1705182535357357,30,0.9915966386554621
10,0.15,0.9833333333333333,0.006033114240004924,1.0,0.0,0.0,0.0,1.1705182535357357,30,0.9915966386554621
10,0.2,0.9833333333333333,0.006033114240004924,1.0,0.0,0.0,0.0,1.1705182535357357,30,0.9915966386554621
10,0.25,0.9833333333333333,0.006033114240004924,1.0,0.0,0.0,0.0,1.1705182535357357,30,0.9915966386554621
10,0.3,0.9833333333333333,0.006033114240004924,1.0,0.0,0.0,0.0,1.1705182535357357,30,0.9915966386554621
10,0.35,0.9833333333333333,0.006033114240004924,1.0,0.0,0.0,0.0,1.1705182535357357,30,0.9915966386554621
10,0.4,0.7424999999999999,0.004178145108983664,1.0,0.0,0.0,0.0,1.1705182535357357,30,0.8522238163558106
