n_trk,n_true_all_mean,n_true_clean_mean,n_false_all_mean,eff_C_mean,eff_Q_mean,fr_C_mean,fr_Q_mean,pur_C_mean,pur_Q_mean,f1_C_mean,f1_Q_mean,true_act_C_mean,false_act_C_mean,true_act_Q_mean,false_act_Q_mean,n_active_C_mean,n_active_Q_mean,cos_mean,rel_l2_mean,jaccard_mean,p_anc_mean,n_true_all_sem,n_true_clean_sem,n_false_all_sem,eff_C_sem,eff_Q_sem,fr_C_sem,fr_Q_sem,pur_C_sem,pur_Q_sem,f1_C_sem,f1_Q_sem,true_act_C_sem,false_act_C_sem,true_act_Q_sem,false_act_Q_sem,n_active_C_sem,n_active_Q_sem,cos_sem,rel_l2_sem,jaccard_sem,p_anc_sem,n_reps,tau_rel
2,7.866666666666666,8.0,7.866666666666666,98.33333333333333,97.5,50.0,0.0,50.0,100.0,66.24242424242425,98.44444444444444,7.866666666666666,7.866666666666666,7.8,0.0,15.733333333333333,7.8,0.8230255655001251,0.5943998764501542,0.49444444444444446,0.13944425661210086,0.07926868804398468,0.0,0.07926868804398468,0.9908586005498085,1.7370208344491278,0.0,0.0,0.0,0.0,0.25688332769074473,1.1383631157178735,0.07926868804398468,0.07926868804398468,0.13896166675593022,0.0,0.15853737608796936,0.13896166675593022,0.003094812924064177,0.004689150631827613,0.005555555555555557,0.002551391522313845,30,0.05
5,19.333333333333332,20.0,77.36666666666666,96.66666666666667,95.66666666666667,80.00823045267491,0.0,19.991769547325102,100.0,33.11354961583115,97.58046448448926,19.333333333333332,77.36666666666666,19.133333333333333,0.0,96.7,19.133333333333333,0.6098689993326423,0.8832446309936972,0.19752057613168725,0.04236958970261006,0.21620197737106175,0.0,0.847556777107856,1.0810098868553086,1.5486986256047988,0.008230452674897037,0.0,0.008230452674897158,0.0,0.07623508033609304,0.8935414269508684,0.21620197737106175,0.847556777107856,0.3097397251209597,0.0,1.0636631564291525,0.3097397251209597,0.001981520533808444,0.0022044090264697344,0.0013863427881599425,0.000821327593041755,30,0.05
10,39.53333333333333,40.0,355.8,98.83333333333333,98.33333333333333,90.0,0.0,10.0,100.0,18.161745483356373,99.13154193500628,39.53333333333333,355.8,39.333333333333336,0.0,395.3333333333333,39.333333333333336,0.46364088623507665,1.0357161631034912,0.09946894262683736,0.02198347759563033,0.14169201936767795,0.0,1.2752281743091014,0.3542300484191949,0.6033114240004924,0.0,0.0,0.0,0.0,0.006169911714612414,0.31882628757145504,0.14169201936767795,1.2752281743091014,0.241324569600197,0.0,1.4169201936767797,0.241324569600197,0.0006183988236966549,0.0005947185955549518,0.0002958708394012021,0.00013959387881118865,30,0.05
20,77.73333333333333,80.0,1477.2666666666667,97.16666666666667,96.375,95.00112413278048,0.2459349593495935,4.998875867219522,99.7540650406504,9.508236592038791,97.98481157825957,77.73333333333333,1477.2666666666667,77.1,0.2,1555.0,77.3,0.33950146235965767,1.1493424355558886,0.049689025341537074,0.010712493123174325,0.39518170804767644,0.0,7.403623426859533,0.4939771350595954,0.7589267603571552,0.0005318218278012074,0.13701732345168205,0.0005318218278010849,0.13701732345168205,0.0031947463599164986,0.3990646958360562,0.39518170804767644,7.403623426859533,0.6071414082857242,0.11141720290623111,7.798762059145824,0.6417468975069299,0.0006430067779702637,0.0005583569227619934,0.000200144401585112,9.545394739658234e-05,30,0.05
50,196.55,200.0,9631.6,98.275,98.225,98.00013400485864,1.5521197487712015,1.9998659951413593,98.4478802512288,3.9199526576302715,98.32571384088628,196.55,9631.6,196.45,3.15,9828.15,199.6,0.22231848545302596,1.2471413018610757,0.02030849696431566,0.003452945149299772,0.49986840373505453,0.0,24.319626035905976,0.24993420186752727,0.2677267853221776,5.06337561749268e-05,0.34584693286888785,5.063375617484832e-05,0.3458469328688879,0.0002781883643610535,0.20336201643545251,0.49986840373505453,24.319626035905976,0.5354535706443552,0.7118360248791777,24.81948247901869,0.9553175278133279,0.0003621268743625953,0.0002903977498052713,7.571455452186236e-05,1.3746089546708473e-05,20,0.05
100,391.95,400.0,38807.0,97.9875,97.9875,99.00010129297122,4.638742933761053,0.9998987070287704,95.36125706623895,1.979595848263165,96.65037208954526,391.95,38807.0,391.95,19.15,39198.95,411.1,0.16059105654535208,1.2956916007773758,0.010487557393570497,0.0017543288510512606,0.6667872697929188,0.0,65.37688308649521,0.1666968174482297,0.1666968174482297,1.784707028772541e-05,0.3146891913208496,1.7847070287886978e-05,0.3146891913208498,6.764081170813628e-05,0.1839214312853281,0.6667872697929188,65.37688308649521,0.6667872697929188,1.3635769524537869,66.04366478243568,1.5094439547832106,0.00032034652513536537,0.0002473633864945665,3.478419485024477e-05,5.683725685773248e-06,20,0.05
200,783.2,800.0,155778.8,97.9,97.9,99.49975064204753,15.576335287209611,0.5002493579524602,84.42366471279038,0.9954119788048994,90.65680453645845,783.2,155778.8,783.2,144.7,156562.0,927.9,0.11945806613334484,1.3270575758368117,0.005926569615704142,0.000936463082763694,2.259793500890439,0.0,450.3578034309066,0.2824741876113049,0.2824741876113049,0.00013955875265939406,0.3902200964659321,0.0001395587526601711,0.39022009646593153,0.0002770366328976332,0.2366430940419051,2.259793500890439,450.3578034309066,2.259793500890439,4.381907245836122,452.6069180008434,5.416948710605753,0.0006338279645574888,0.0004782081690373445,2.662240358617942e-05,5.0526303628245564e-06,10,0.05
500,1960.2,2000.0,978142.6,78.75,68.44,53.0724094153937,1.2875867381679234,46.9275905846063,98.71241326183208,37.558797784653805,80.37510228605709,1575.0,197275.4,1368.8,19.2,198850.4,1388.0,0.09670143355020158,1.3440970350335162,0.20802570256759617,0.0008753247603007431,1.8547236990991405,0.0,949.5277563083661,19.3251131950113,4.7992291047625555,15.834632778723273,0.3588976110126227,15.834632778723277,0.3588976110126228,14.675039201547028,3.594781099868282,386.502263900226,195463.7116580978,95.98458209525111,5.388877434122993,195561.71488269372,100.87219636748274,0.0003639936964462879,0.0002707926056999092,0.08138526756157027,6.8425601671011946e-06,5,0.4
1000,3909.0,4000.0,3903621.0,54.80833333333334,78.23333333333333,27.409756834315058,13.117120420402548,72.59024316568494,86.88287957959744,37.35654253665296,82.33098876576133,2192.3333333333335,6049.333333333333,3129.3333333333335,473.0,8241.666666666666,3602.3333333333335,0.10550832654857656,1.3375286333773324,0.27124504180956127,0.0009538857966115348,6.8068592855540455,0.0,6351.903415512551,28.220125550945216,1.3367664135683677,27.409756834315058,1.8084308810759084,27.409756834315058,1.8084308810759058,21.955010798515886,1.5518871889773322,1128.8050220378088,6049.333333333334,53.47065654273484,66.66583332812493,6952.11944501659,13.245544324203683,0.0006699702698662497,0.0005008968266580981,0.18552525906994724,6.748168045599913e-06,3,0.3
