drop_rate,ghost_rate,repeat,trip_n_true,trip_n_false,trip_true_accepted,trip_false_accepted,trip_segment_efficiency,trip_segment_false_rate
0.02,0.0,7,283,2832799,283,8,1.0,0.0274914089347079
0.02,0.0,8,283,2832602,283,7,1.0,0.0241379310344827
0.02,0.0,9,289,2890711,289,8,1.0,0.0269360269360269
0.02,0.02,0,284,2969516,284,5,1.0,0.0173010380622837
0.02,0.02,1,274,2900526,274,4,1.0,0.014388489208633
0.02,0.02,2,282,3019218,282,8,1.0,0.0275862068965517
0.02,0.02,3,287,3039413,287,7,1.0,0.0238095238095238
0.02,0.02,4,291,3089697,291,6,1.0,0.0202020202020202
0.02,0.02,5,286,3009714,286,5,1.0,0.0171821305841924
0.02,0.02,6,278,2949427,278,7,1.0,0.0245614035087719
0.02,0.02,7,274,2899832,274,3,1.0,0.0108303249097472
0.02,0.02,8,276,2920224,276,5,1.0,0.0177935943060498
0.02,0.02,9,281,2959419,281,5,1.0,0.0174825174825174
0.02,0.05,0,281,3201181,281,4,1.0,0.0140350877192982
0.02,0.05,1,291,3406749,291,9,1.0,0.03
0.02,0.05,2,283,3336053,283,5,1.0,0.0173611111111111
0.02,0.05,3,285,3309099,285,9,1.0,0.0306122448979591
0.02,0.05,4,288,3308576,288,5,1.0,0.0170648464163822
0.02,0.05,5,273,3235369,273,6,1.0,0.021505376344086
0.02,0.05,6,284,3246070,284,7,1.0,0.0240549828178694
0.02,0.05,7,290,3401062,290,9,1.0,0.0301003344481605
0.02,0.05,8,275,3202839,275,5,1.0,0.0178571428571428
0.02,0.05,9,281,3284904,281,7,1.0,0.0243055555555555
0.02,0.1,0,286,3914588,286,7,1.0,0.0238907849829351
0.02,0.1,1,282,3849816,282,9,1.0,0.0309278350515463
0.02,0.1,2,279,3797471,279,5,1.0,0.0176056338028169
0.02,0.1,3,288,3801744,288,4,1.0,0.0136986301369863
0.02,0.1,4,275,3696147,275,7,1.0,0.0248226950354609
0.02,0.1,5,289,3835094,289,6,1.0,0.0203389830508474
0.02,0.1,6,279,3712521,279,7,1.0,0.0244755244755244
0.02,0.1,7,283,3809897,283,4,1.0,0.0139372822299651
0.02,0.1,8,283,3685019,283,5,1.0,0.0173611111111111
0.02,0.1,9,286,3871505,286,9,1.0,0.0305084745762711
0.02,0.2,0,279,4788633,279,5,1.0,0.0176056338028169
0.02,0.2,1,279,4929891,279,8,1.0,0.0278745644599303
0.02,0.2,2,281,4954775,281,6,1.0,0.0209059233449477
0.02,0.2,3,278,4815656,278,10,1.0,0.0347222222222222
0.02,0.2,4,287,5163622,287,9,1.0,0.0304054054054054
0.02,0.2,5,280,4929176,280,8,1.0,0.0277777777777777
0.02,0.2,6,285,5079738,285,7,1.0,0.023972602739726
0.02,0.2,7,255,4532613,255,5,1.0,0.0192307692307692
