study,arm,phi_max,n_trk,solver,n_solves,n_valid,excluded_frac,eff,eff_sem,far,far_sem,eff_all,far_all
Noisy_Density,fixed,0.01,10,classical,20,20,0.0,0.9555801516908327,0.01367381310468436,0.08169175659942898,0.01744487966079429,0.9555801516908327,0.08169175659942898
Noisy_Density,fixed,0.01,10,qsvt,3,3,0.0,1.0,0.0,0.6233456612131469,0.2767891206131828,1.0,0.6233456612131469
Noisy_Density,fixed,0.01,10,quantum,3,3,0.0,1.0,0.0,0.661314337055577,0.23882044650953776,1.0,0.661314337055577
Noisy_Density,fixed,0.01,20,classical,20,20,0.0,0.9611378642519787,0.0075673021952137225,0.23464033097922746,0.011764556380058529,0.9611378642519787,0.23464033097922746
Noisy_Density,fixed,0.01,20,qsvt,3,3,0.0,1.0,0.0,0.7052512502976899,0.24478248866896138,1.0,0.7052512502976899
Noisy_Density,fixed,0.01,20,quantum,3,3,0.0,1.0,0.0,0.7631268178275007,0.18690692137913426,1.0,0.7631268178275007
Noisy_Density,fixed,0.01,50,classical,20,18,0.09999999999999998,0.9535022384100493,0.006727784616791484,0.6680216811907356,0.008280564062502754,0.9491452805623105,0.6708030545302035
Noisy_Density,fixed,0.01,50,qsvt,3,3,0.0,0.9949064163349878,2.2825191309237314e-05,0.9800985137209941,2.869749544552823e-06,0.9949064163349878,0.9800985137209941
Noisy_Density,fixed,0.01,50,quantum,3,3,0.0,0.9982993197278912,0.00170068027210879,0.9128043975439382,0.06719765332785561,0.9982993197278912,0.9128043975439382
Noisy_Density,fixed,0.01,100,classical,20,12,0.4,0.9321666222841496,0.010460212356838574,0.8977166544075382,0.00293394618073098,0.9216202428142782,0.897516267547401
Noisy_Density,fixed,0.01,100,qsvt,3,2,0.33333333333333337,0.9961832061068703,0.003816793893129777,0.9900353719648409,3.7680189815814114e-05,0.9949302182126609,0.9900438977746605
Noisy_Density,fixed,0.01,100,quantum,3,2,0.33333333333333337,1.0,0.0,0.990000894418177,1.3111766539175562e-07,0.9974747474747474,0.9691150351769173
Noisy_Density,fixed,0.01,200,classical,20,0,1.0,,,,,0.6983323677945369,0.9743800133004303
Noisy_Density,fixed,0.01,200,qsvt,3,0,1.0,,,,,0.991078527017188,0.995039114636877
Noisy_Density,fixed,0.01,200,quantum,3,0,1.0,,,,,0.994081530020191,0.9811851084090351
Noisy_Density,fixed,0.01,400,classical,20,0,1.0,,,,,0.41365401531826185,0.9938227220188667
Noisy_Density,fixed,0.01,400,qsvt,3,0,1.0,,,,,0.9903905834029777,0.9975176598515284
Noisy_Density,fixed,0.01,400,quantum,3,0,1.0,,,,,0.9903905834029777,0.9905284575503952
Noisy_Density,fixed,0.01,700,classical,20,0,1.0,,,,,0.42780111329038295,0.9968608102530926
Noisy_Density,fixed,0.01,700,qsvt,5,0,1.0,,,,,0.9901451916229455,0.9985821441422094
Noisy_Density,fixed,0.01,700,quantum,5,0,1.0,,,,,0.9901451916229455,0.9957514761264774
Noisy_Density,fixed,0.01,1000,classical,20,0,1.0,,,,,0.423689810811147,0.9977834076545211
Noisy_Density,fixed,0.01,1000,qsvt,5,0,1.0,,,,,0.9901027959478317,0.9990070808149978
Noisy_Density,fixed,0.01,1000,quantum,5,0,1.0,,,,,0.9901027959478317,0.9972924522829881
Noisy_Density,fixed,0.02,10,classical,20,20,0.0,0.9611858974358976,0.01038447833420606,0.01752755999382879,0.008492776550938332,0.9611858974358976,0.01752755999382879
Noisy_Density,fixed,0.02,10,qsvt,3,3,0.0,1.0,0.0,0.3561362756484707,0.27200646752876856,1.0,0.3561362756484707
Noisy_Density,fixed,0.02,10,quantum,3,3,0.0,1.0,0.0,0.3561362756484707,0.27200646752876856,1.0,0.3561362756484707
Noisy_Density,fixed,0.02,20,classical,20,20,0.0,0.937087755951097,0.010795831514985473,0.05179231042599249,0.008502226304699918,0.937087755951097,0.05179231042599249
Noisy_Density,fixed,0.02,20,qsvt,3,3,0.0,1.0,0.0,0.6678160919540229,0.2821839080459771,1.0,0.6678160919540229
Noisy_Density,fixed,0.02,20,quantum,3,3,0.0,1.0,0.0,0.6678160919540229,0.2821839080459771,1.0,0.6678160919540229
Noisy_Density,fixed,0.02,50,classical,20,20,0.0,0.9486159749461223,0.0056865881039819145,0.22692118319174273,0.01573295357533871,0.9486159749461223,0.22692118319174273
Noisy_Density,fixed,0.02,50,qsvt,3,3,0.0,0.9983164983164983,0.0016835016835017316,0.9800343672072344,3.233803057294032e-05,0.9983164983164983,0.9800343672072344
Noisy_Density,fixed,0.02,50,quantum,3,3,0.0,1.0,0.0,0.9800013672409079,1.3672409078605934e-06,1.0,0.9800013672409079
Noisy_Density,fixed,0.02,100,classical,20,20,0.0,0.9534418854980744,0.0035436024306130273,0.5947803161956979,0.008794331463467774,0.9534418854980744,0.5947803161956979
Noisy_Density,fixed,0.02,100,qsvt,3,3,0.0,0.9957233362774925,0.0022813813734704,0.9900431184875043,2.315371035571097e-05,0.9957233362774925,0.9900431184875043
Noisy_Density,fixed,0.02,100,quantum,3,3,0.0,1.0,0.0,0.9900012964960849,1.1715776835595576e-06,1.0,0.9900012964960849
Noisy_Density,fixed,0.02,200,classical,20,19,0.050000000000000044,0.9571658108155171,0.002539466926290274,0.8830028806437044,0.001966511834659997,0.9574015482289979,0.8838487704560458
Noisy_Density,fixed,0.02,200,qsvt,3,2,0.33333333333333337,0.9942803080222117,0.003152297882794697,0.995023424894959,1.0139824297705767e-05,0.9932220266103182,0.9950303463672953
Noisy_Density,fixed,0.02,200,quantum,3,2,0.33333333333333337,1.0,0.0,0.9950004799033803,2.5811347220683345e-07,1.0,0.9950004469907032
Noisy_Density,fixed,0.02,400,classical,20,0,1.0,,,,,0.9154947530172421,0.9722011430441789
Noisy_Density,fixed,0.02,400,qsvt,3,0,1.0,,,,,0.9904332281124097,0.9975222607692911
Noisy_Density,fixed,0.02,400,quantum,3,0,1.0,,,,,1.0,0.9974997289782119
Noisy_Density,fixed,0.02,700,classical,20,0,1.0,,,,,0.7408381133674231,0.9916916935127291
