who,n_trk,eff_m,eff_e,fr_m,fr_e,ntm,ntse,nfm,nfse,tam,tase,fam,fase,n_reps
C,2,100.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,60
C,4,100.0,0.0,0.0,0.0,16.0,0.0,48.0,0.0,16.0,0.0,0.0,0.0,60
C,6,100.0,0.0,0.0,0.0,24.0,0.0,120.0,0.0,24.0,0.0,0.0,0.0,60
C,8,100.0,0.0,0.0,0.0,32.0,0.0,224.0,0.0,32.0,0.0,0.0,0.0,60
C,10,100.0,0.0,0.0,0.0,40.0,0.0,360.0,0.0,40.0,0.0,0.0,0.0,60
Q,2,75.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,60
Q,4,75.0,0.0,0.0,0.0,16.0,0.0,48.0,0.0,12.0,0.0,0.0,0.0,60
Q,6,77.5,0.41073938505536095,0.0,0.0,24.0,0.0,120.0,0.0,18.6,0.09857745241328658,0.0,0.0,60
Q,8,84.58333333333333,0.5747194927022243,0.11111111111111112,0.11111111111111113,32.0,0.0,224.0,0.0,27.066666666666666,0.1839102376647118,0.03333333333333333,0.03333333333333333,60
Q,10,91.20833333333333,0.4659738097115543,0.0,0.0,40.0,0.0,360.0,0.0,36.483333333333334,0.18638952388462174,0.0,0.0,60
