task,n_tracks,angle,sigma_scatt,sigma_res,epsilon,n_events,efficiency_mean,efficiency_se,efficiency_std,ghost_rate_mean,ghost_rate_se,ghost_rate_std,clone_fraction_mean,clone_fraction_se,clone_fraction_std,mean_purity_mean,mean_purity_se,mean_purity_std,hit_efficiency_mean,hit_efficiency_se,hit_efficiency_std,wall_time_total_s
verify_scatt,10,0.02,5e-05,0.0,0.00021319005605327846,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.81
verify_scatt,20,0.02,5e-05,0.0,0.00021319005605327846,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.93
verify_scatt,50,0.02,5e-05,0.0,0.00021319005605327846,20,0.99,0.006407232755171874,0.028654015976455158,0.004214729370008873,0.0024963481489654552,0.011164008313185059,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,82.05
verify_scatt,100,0.02,5e-05,0.0,0.00021319005605327846,20,0.9949999999999999,0.002460209661583211,0.011002392084403626,0.0020306154326772885,0.0009317562005809355,0.004166940405911802,0.0,0.0,0.0,1.0,0.0,0.0,0.9999,0.00010000000000000009,0.00044721359549995833,1336.58
verify_scatt,10,0.02,0.0001,0.0,0.0004247940677551889,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.999,0.0009999999999999953,0.004472135954999558,0.64
verify_scatt,20,0.02,0.0001,0.0,0.0004247940677551889,20,0.95,0.04501461750891241,0.20131148946216082,0.027631578947368417,0.025,0.1118033988749895,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.42
verify_scatt,50,0.02,0.0001,0.0,0.0004247940677551889,20,0.9390000000000001,0.04983076623089288,0.22284996132635493,0.049563953488372094,0.043830238071030835,0.1960147835936484,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,120.73
verify_scatt,100,0.02,0.0001,0.0,0.0004247940677551889,20,0.9730000000000001,0.012335229820998151,0.05516482479566886,0.012495027589365193,0.0059602504879155745,0.02665505050781103,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1307.26
verify_scatt,10,0.02,0.0002,0.0,0.0008487932610477066,20,0.9400000000000001,0.05047146145152359,0.22571523745873392,0.05555555555555556,0.050016241676569345,0.22367943273573423,0.0,0.0,0.0,0.95,0.05000000000000001,0.22360679774997902,0.95,0.05000000000000001,0.22360679774997902,0.63
verify_scatt,20,0.02,0.0002,0.0,0.0008487932610477066,20,0.9199999999999999,0.050575633825411456,0.22618111047751552,0.06375988992088064,0.04973719305074085,0.22243148934297338,0.0,0.0,0.0,0.95,0.05000000000000001,0.22360679774997902,0.95,0.05000000000000001,0.22360679774997902,5.03
verify_scatt,50,0.02,0.0002,0.0,0.0008487932610477066,20,0.9390000000000001,0.02841330303702271,0.127068154112168,0.019340255742231426,0.007343331021436823,0.032840374690431405,0.0,0.0,0.0,1.0,0.0,0.0,0.9998000000000001,0.00020000000000000017,0.0008944271909999167,97.32
verify_scatt,100,0.02,0.0002,0.0,0.0008487932610477066,20,0.889,0.05318735504649678,0.23786108285476656,0.06632631541420417,0.049412625623438663,0.22097997968151356,0.0,0.0,0.0,0.95,0.05000000000000001,0.22360679774997902,0.95,0.05000000000000001,0.22360679774997902,1256.97
verify_scatt,10,0.02,0.0004,0.0,0.0016971888521905864,20,0.97,0.01791794161110442,0.08013147091860318,0.00625,0.006249999999999999,0.027950849718747367,0.0,0.0,0.0,1.0,0.0,0.0,0.999,0.0009999999999999955,0.004472135954999559,0.8
verify_scatt,20,0.02,0.0004,0.0,0.0016971888521905864,20,0.9399999999999998,0.030262013708347475,0.1353358395757909,0.029425837320574154,0.013924898739485997,0.06227404032258365,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.04
verify_scatt,50,0.02,0.0004,0.0,0.0016971888521905864,20,0.8300000000000001,0.04959838707054897,0.22181073012818833,0.09110962006889962,0.04852603640223672,0.21701503214806128,0.0,0.0,0.0,0.95,0.05000000000000001,0.22360679774997902,0.95,0.05000000000000001,0.22360679774997902,105.6
