sigma_res,sigma_scatt,n_trk,sol_key,event_key,ham_key,max_abs_x,excluded
0.05,0.0001,100,sol_04ca650ad469c170,ev_5b9d259822c3,hm_9108b6e19b67,3.7899863719940186,False
0.01,0.0003,400,sol_0ffd4c9f99e8bf06,ev_5bce9c7602d4,hm_3298667cddaa,1.4763845205307007,False
0.01,0.0003,200,sol_23e14014fc432d9e,ev_5be40163c353,hm_3298667cddaa,0.8410077095031738,False
0.01,0.0003,200,sol_576d2d353e3db816,ev_5bed6f7cd66b,hm_3298667cddaa,1.500004768371582,False
0.05,0.0003,1000,sol_c0a0fad458dc55fc,ev_5c109c609dbe,hm_8c986396d3ec,1204.1866455078125,True
0.01,0.0001,1000,sol_c7e051dc41553500,ev_5c45aff2c5a4,hm_844cdcf42c7e,1.4997845888137817,False
0.05,0.0003,50,sol_c5e3bbaea67d1d87,ev_5c82b5aed62e,hm_8c986396d3ec,0.6291385889053345,False
0.02,0.0001,100,sol_df9eb1d28bccf33c,ev_5cdc3decef99,hm_979a58ab8892,0.6419957876205444,False
0.01,0.0005,100,sol_2d42d025fa4000e6,ev_5cf523afdece,hm_bd4d3751a16f,0.4545454680919647,False
0.05,0.0001,10,sol_a85f9bb7e42fb1ef,ev_5d1a8a4e7c84,hm_9108b6e19b67,0.4545454680919647,False
0.05,0.0003,400,sol_947637b26cc5dfb7,ev_5d1c3289d94f,hm_8c986396d3ec,42.3167724609375,False
0.05,0.0003,400,sol_b15d6ebb89e3e2b9,ev_5d3d85107c5f,hm_8c986396d3ec,22.081403732299805,False
0.0,0.0005,200,sol_2de6243552d0fe78,ev_5d56d62f2b87,hm_7a9cff01f511,0.5669738054275513,False
0.01,0.0001,400,sol_907e966e8cba3bdf,ev_5d641a2d8c23,hm_844cdcf42c7e,0.8126391172409058,False
0.05,0.0003,50,sol_cf9f7c29813d4a3e,ev_5d7c71dbaffa,hm_8c986396d3ec,0.9058082699775696,False
0.02,0.0003,200,sol_3c7d563ed6f1c93e,ev_5d9f4d05df7f,hm_1602ff939866,1.0385634899139404,False
0.01,0.0005,20,sol_f49c3e12161316ab,ev_5de6ee956fcc,hm_bd4d3751a16f,0.4545454680919647,False
0.01,0.0003,20,sol_b5d6afccc1788c3a,ev_5e023ed31c8d,hm_3298667cddaa,0.4545454680919647,False
0.02,0.0001,700,sol_98fc8595b3bc106f,ev_5e11506b465c,hm_979a58ab8892,2.687831163406372,False
0.01,0.0005,50,sol_8aed8400fc67a091,ev_5e2005f16b56,hm_bd4d3751a16f,0.5669774413108826,False
0.01,0.0001,1000,sol_661a0a5db0a30a78,ev_5e50373b582a,hm_844cdcf42c7e,1.606845736503601,False
0.02,0.0003,200,sol_d2a1f4d27bf3053d,ev_5e5ebc07f53a,hm_1602ff939866,0.7349276542663574,False
0.05,0.0005,200,sol_e7ff30535c613b49,ev_5e629dee2a73,hm_af8fc4d5852f,2.022568941116333,False
0.05,0.0001,20,sol_65d4a5593698c136,ev_5e765e272799,hm_9108b6e19b67,0.4545454680919647,False
0.02,0.0003,1000,sol_8da06c3fbefe867d,ev_5eb29072dc1d,hm_1602ff939866,4.584272384643555,False
0.01,0.0003,1000,sol_c6bcd80bae4ab5bb,ev_5eb977fc4733,hm_3298667cddaa,2.354844093322754,False
0.02,0.0005,100,sol_7646353781c8c24f,ev_5ed9bb7b0fab,hm_f442e5139114,0.9498624801635742,False
0.02,0.0005,10,sol_e236ca38f91c8f82,ev_5eebea8416a8,hm_f442e5139114,0.4545454680919647,False
0.05,0.0001,400,sol_e5879e2226eb06fd,ev_5f182bf3bd94,hm_9108b6e19b67,20.762304306030273,False
0.05,0.0001,10,sol_1447aad5085ece0d,ev_5f1f857bb079,hm_9108b6e19b67,0.5670102834701538,False
0.01,0.0005,100,sol_81cae0861292adc9,ev_5f54aa956d7c,hm_bd4d3751a16f,0.5999639630317688,False
0.05,0.0005,200,sol_6c3e30fc1c7460e1,ev_5f7e196c2d61,hm_af8fc4d5852f,3.1083266735076904,False
0.02,0.0003,100,sol_9603f65bcdeab147,ev_5f87235b6199,hm_1602ff939866,0.6425620913505554,False
