phi_max,sigma_scatt,n_trk,sol_key,event_key,ham_key,max_abs_x,excluded
0.05,0.0003,20,sol_b2742933fed21fcf,ev_f4e534eddf77,hm_a0f8ed47a107,0.4545454680919647,False
0.01,0.0003,1000,sol_49d9c69896131c81,ev_f4eeabe616d0,hm_a0f8ed47a107,469.1566162109375,True
0.05,0.0001,20,sol_2d38b2e65ff0840d,ev_f532b8d7a47a,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0003,400,sol_180d7affdb968921,ev_f5339901d6b5,hm_a0f8ed47a107,1002.0462036132812,True
0.02,0.0001,100,sol_140ba9d93485eef1,ev_f562f3dee08a,hm_a00ad2a2c52a,0.5669752359390259,False
0.05,0.0001,700,sol_2726230d394b5b35,ev_f56dd901bdc1,hm_a00ad2a2c52a,1.4347445964813232,False
0.01,0.0001,200,sol_8ba2311184162d62,ev_f5b7fe842136,hm_a00ad2a2c52a,1.5476011037826538,False
0.05,0.0003,1000,sol_bccd065778971685,ev_f5db33bcea5a,hm_a0f8ed47a107,46.81870651245117,False
0.2,0.0003,100,sol_ba6bad4317f00b0f,ev_f5df589b74ed,hm_a0f8ed47a107,0.4545454680919647,False
0.2,0.0001,1000,sol_a0912638bbc91cbe,ev_f62ea4cb8626,hm_a00ad2a2c52a,1.4351879358291626,False
0.02,0.0001,700,sol_a5705ef9a452c517,ev_f634dd959fec,hm_a00ad2a2c52a,4.880411148071289,False
0.05,0.0001,10,sol_4f5ef70825c8ad71,ev_f63df5602345,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0003,10,sol_770e29b9b2b18c2a,ev_f666f9996a25,hm_a0f8ed47a107,0.4545454680919647,False
0.2,0.0003,100,sol_1c6378a9ad2cabad,ev_f6ac50141c60,hm_a0f8ed47a107,0.4545454680919647,False
0.1,0.0003,1000,sol_27e8370a2029288d,ev_f744abafea6d,hm_a0f8ed47a107,1.2582015991210938,False
0.1,0.0001,1000,sol_a13717706bc2770c,ev_f755aec54313,hm_a00ad2a2c52a,0.7455681562423706,False
0.1,0.0003,200,sol_ffe8e6eb7f1e48cf,ev_f773873993a7,hm_a0f8ed47a107,0.9041329622268677,False
0.02,0.0003,100,sol_414a515b281bee22,ev_f7a1e75b4d6e,hm_a0f8ed47a107,1.3720591068267822,False
0.05,0.0003,50,sol_6744e548cabef365,ev_f7bd6c4cd0ae,hm_a0f8ed47a107,0.5669771432876587,False
0.01,0.0001,700,sol_c2914a0c612b1e3a,ev_f7de8fe94f4d,hm_a00ad2a2c52a,3.801032066345215,False
0.2,0.0003,400,sol_09143a647c50408f,ev_f7f58c41bf6b,hm_a0f8ed47a107,0.5669674873352051,False
0.1,0.0001,20,sol_9a1dc3fc925d1c20,ev_f82abeadf865,hm_a00ad2a2c52a,0.4545454680919647,False
0.1,0.0003,50,sol_81c745005ff7d3c0,ev_f82aecc346b0,hm_a0f8ed47a107,0.4545454680919647,False
0.01,0.0001,700,sol_907dc5acce8d956e,ev_f845da9a35b9,hm_a00ad2a2c52a,11.488329887390137,False
0.02,0.0003,10,sol_540c287e2b96727a,ev_f84acf103c1d,hm_a0f8ed47a107,0.4545454680919647,False
0.2,0.0001,400,sol_6e22ba02362a9f2a,ev_f87719412995,hm_a00ad2a2c52a,0.566973865032196,False
0.02,0.0001,50,sol_0aaacef22c0ea92a,ev_f87def7dc599,hm_a00ad2a2c52a,0.566975474357605,False
0.2,0.0001,100,sol_8c79930c76abfa7e,ev_f8e04e10f22a,hm_a00ad2a2c52a,0.4545454680919647,False
0.1,0.0003,400,sol_c588333b1334e58c,ev_f9012c7eec25,hm_a0f8ed47a107,0.7304279804229736,False
0.01,0.0001,100,sol_2a4d9750ee5543d5,ev_f915bff746ca,hm_a00ad2a2c52a,3.270012617111206,False
0.01,0.0001,200,sol_07a79b405a25f76e,ev_f99f856c3b95,hm_a00ad2a2c52a,1.0009340047836304,False
0.01,0.0003,400,sol_7dd3b5bfa427b5e6,ev_f9dad3babb09,hm_a0f8ed47a107,14487.8017578125,True
0.1,0.0003,100,sol_5f2a28a99bea8d1e,ev_fa3c14792dd6,hm_a0f8ed47a107,0.566974401473999,False
0.2,0.0003,10,sol_f71338a7e0c341b9,ev_fa423bc9e08a,hm_a0f8ed47a107,0.4545454680919647,False
0.05,0.0001,700,sol_88bf3ca8a637ad44,ev_fa702281c95a,hm_a00ad2a2c52a,0.9250000715255737,False
0.05,0.0001,100,sol_c3826d161a68ae4a,ev_fa77d8b39e76,hm_a00ad2a2c52a,0.5999787449836731,False
0.02,0.0001,50,sol_b43cfc6273331db0,ev_fa787d1d00df,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0003,1000,sol_74f56323e29234fd,ev_fa7eef89fa91,hm_a0f8ed47a107,479.478271484375,True
0.2,0.0001,400,sol_6eafc0aaf72b77b6,ev_fad321195906,hm_a00ad2a2c52a,0.5669607520103455,False
0.2,0.0001,20,sol_7f077f41d4ada6d1,ev_fadd59ee0856,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0001,100,sol_702011979e90a006,ev_fae7ae39226d,hm_a00ad2a2c52a,0.7303234934806824,False
0.01,0.0001,20,sol_865731aeb904eaa0,ev_faeffdf8c612,hm_a00ad2a2c52a,0.4545454680919647,False
0.05,0.0001,50,sol_55c7ffc09165ac19,ev_fb2ee5ce568a,hm_a00ad2a2c52a,0.5670134425163269,False
0.02,0.0003,700,sol_5aac776f9b78c965,ev_fb4862adbb7d,hm_a0f8ed47a107,220.87911987304688,True
0.02,0.0003,400,sol_ac14029a3251f0bb,ev_fb4beb98f8b2,hm_a0f8ed47a107,4.075864791870117,False
0.2,0.0001,1000,sol_688bb7b900588f5b,ev_fb60665b517e,hm_a00ad2a2c52a,0.5641608238220215,False
0.05,0.0001,50,sol_221850090ecbe5f8,ev_fb735eb07026,hm_a00ad2a2c52a,0.4545454680919647,False
0.1,0.0003,50,sol_ebff44237a2f52db,ev_fbc135a294db,hm_a0f8ed47a107,0.4545454680919647,False
0.01,0.0001,1000,sol_6619b0ac2968a7bc,ev_fbda6ae91905,hm_a00ad2a2c52a,21.619739532470703,False
