hit_ineff,sigma_scatt,n_trk,sol_key,event_key,ham_key,max_abs_x,excluded
0.1,0.0003,400,sol_38c38343bf67640a,ev_e02375d4c47c,hm_a0f8ed47a107,0.5669100880622864,False
0.05,0.001,10,sol_b76d82f9af360ad9,ev_e0597a44adab,hm_8de6b26636d5,0.4545454680919647,False
0.01,0.0007,200,sol_1ed60a1b1a65b241,ev_e0622eb883ab,hm_b46918a75620,0.5669865012168884,False
0.05,0.0007,400,sol_360432af87c22bd1,ev_e08d25f14aff,hm_b46918a75620,0.9596216678619385,False
0.0,0.0005,400,sol_e7f477faf25b7f12,ev_e09598cfa73f,hm_7a9cff01f511,1.411612629890442,False
0.1,0.001,10,sol_0737e42a7bf7e39b,ev_e09a8b2aaac3,hm_8de6b26636d5,0.4545454680919647,False
0.02,0.0001,200,sol_0827c9803397a478,ev_e09b1a5bd14f,hm_a00ad2a2c52a,0.45454418659210205,False
0.02,0.0001,20,sol_7357879021f1603b,ev_e0ac882eabab,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0007,20,sol_978169fe6ad4eaf3,ev_e0c711e92af1,hm_b46918a75620,0.4545454680919647,False
0.1,0.0003,50,sol_2a59eaf6a058abd2,ev_e0ee3ab4e47c,hm_a0f8ed47a107,0.4545454680919647,False
0.0,0.0005,20,sol_e19bbc43a9900ebf,ev_e10d44c2e525,hm_7a9cff01f511,0.4545454680919647,False
0.02,0.0005,400,sol_ba7a7fd76869d792,ev_e13c412250d8,hm_7a9cff01f511,0.741051197052002,False
0.1,0.0007,50,sol_6020824912e9ea27,ev_e16f94dbadb6,hm_b46918a75620,0.4545454680919647,False
0.02,0.0005,20,sol_884852029157d039,ev_e18908a9b2b3,hm_7a9cff01f511,0.4545454680919647,False
0.0,0.0001,20,sol_1663593a0ed93548,ev_e1b4527f8c8c,hm_a00ad2a2c52a,0.4545454680919647,False
0.05,0.0001,200,sol_eb23de3b638523ee,ev_e1efaf3c17c1,hm_a00ad2a2c52a,0.4545454680919647,False
0.1,0.0001,20,sol_8f370f73ccf7d797,ev_e1fcdd058aac,hm_a00ad2a2c52a,0.4545454680919647,False
0.02,0.0001,100,sol_efe69267e7db482f,ev_e1ff71bd9516,hm_a00ad2a2c52a,0.4545454680919647,False
0.0,0.0005,400,sol_510c12be0b1fff15,ev_e201c5784121,hm_7a9cff01f511,0.599399209022522,False
0.0,0.0005,50,sol_b889819d5d49ba55,ev_e228a50ddd33,hm_7a9cff01f511,0.4545454680919647,False
