who,n_trk,eff_m,eff_e,fr_m,fr_e,ntm,ntse,nfm,nfse,tam,tase,fam,fase,n_reps
C,10,100.0,0.0,0.0,0.0,40.0,0.0,360.0,0.0,40.0,0.0,0.0,0.0,60
C,15,100.0,0.0,0.0,0.0,60.0,0.0,840.0,0.0,60.0,0.0,0.0,0.0,60
C,20,100.0,0.0,0.060240963855421686,0.060240963855421666,80.0,0.0,1520.0,0.0,80.0,0.0,0.05,0.04999999999999999,60
C,30,100.0,0.0,0.04109650905478029,0.030388853155864103,120.0,0.0,3480.0,0.0,120.0,0.0,0.05,0.037014274235423576,60
C,50,100.0,0.0,0.06608869842208101,0.029942800631679232,200.0,0.0,9800.0,0.0,200.0,0.0,0.13333333333333333,0.06044405671748913,60
C,75,100.0,0.0,0.2270078618641911,0.09703762979326212,300.0,0.0,22200.0,0.0,300.0,0.0,0.7,0.30374312668050574,60
C,100,100.0,0.0,0.3794253809505512,0.09132524989852821,400.0,0.0,39600.0,0.0,400.0,0.0,1.5333333333333334,0.3705644446824807,30
C,150,100.0,0.0,0.42832646827953563,0.10319441676238018,600.0,0.0,89400.0,0.0,600.0,0.0,2.6,0.631728153377792,30
C,200,100.0,0.0,0.8310255211265692,0.11105889927767877,800.0,0.0,159200.0,0.0,800.0,0.0,6.733333333333333,0.9058346419007351,30
C,300,100.0,0.0,1.521412751392788,0.1595029218571275,1200.0,0.0,358800.0,0.0,1200.0,0.0,18.6,1.9820244833582603,20
C,500,100.0,0.0,3.9866454279501906,0.4712839528247648,2000.0,0.0,998000.0,0.0,2000.0,0.0,83.44444444444444,10.210440069837983,9
Q,10,87.875,0.5663124100377034,0.0,0.0,40.0,0.0,360.0,0.0,35.15,0.22652496401508135,0.0,0.0,60
Q,15,77.97222222222221,0.5917030262118748,0.06802721088435375,0.06802721088435376,60.0,0.0,840.0,0.0,46.78333333333333,0.3550218157271247,0.03333333333333333,0.03333333333333333,60
Q,20,59.104166666666664,0.6002086403564753,0.0921934865900383,0.06664033207379821,80.0,0.0,1520.0,0.0,47.28333333333333,0.48016691228518016,0.05,0.037014274235423576,60
Q,30,40.56944444444444,0.5109794465228322,0.4026817603498276,0.1248240466355455,120.0,0.0,3480.0,0.0,48.68333333333333,0.6131753358273988,0.2,0.06198231933063267,60
Q,50,12.916666666666666,0.3018695668743313,0.5063747239567225,0.20196042102301964,200.0,0.0,9800.0,0.0,25.833333333333332,0.6037391337486626,0.13333333333333333,0.050234853335529746,60
Q,75,6.7444444444444445,0.17055109277242214,1.7821660146962184,0.40001556380853603,300.0,0.0,22200.0,0.0,20.233333333333334,0.5116532783172664,0.38333333333333336,0.08265258673606023,60
Q,100,3.0416666666666665,0.17039648378362668,2.2309383083376892,0.7833317415524534,400.0,0.0,39600.0,0.0,12.166666666666666,0.6815859351345067,0.3,0.10880753861644932,30
Q,150,1.8777777777777778,0.09587046035227254,5.3914810679516565,1.4948614781945397,600.0,0.0,89400.0,0.0,11.266666666666667,0.5752227621136352,0.7,0.20426487199475704,30
Q,200,0.8166666666666667,0.04895947968821764,13.518157768157769,2.4926346181913908,800.0,0.0,159200.0,0.0,6.533333333333333,0.39167583750574114,1.1,0.19971243694688715,30
Q,300,0.475,0.044467282144139975,18.82736707736708,2.798851873559807,1200.0,0.0,358800.0,0.0,5.7,0.5336073857296797,1.4,0.22242680641174148,20
Q,500,0.21666666666666667,0.03333333333333333,44.4364277697611,5.533471591079105,2000.0,0.0,998000.0,0.0,4.333333333333333,0.6666666666666666,3.4444444444444446,0.5555555555555556,9
