n_trk,n_hits_mean,n_seg_mean,eff_C_mean,eff_Q_mean,pur_C_mean,pur_Q_mean,far_C_mean,far_Q_mean,cosine_mean,rel_l2_mean,jaccard_mean,n_active_C_mean,n_active_Q_mean,P_anc_mean,t_classical_mean,t_quantum_mean,wall_total_mean,trk_Ccc_efficiency_mean,trk_Qcc_efficiency_mean,trk_Clay_efficiency_mean,trk_Qlay_efficiency_mean,trk_Ccc_ghost_rate_mean,trk_Qcc_ghost_rate_mean,trk_Clay_ghost_rate_mean,trk_Qlay_ghost_rate_mean,trk_Ccc_hit_efficiency_mean,trk_Qcc_hit_efficiency_mean,trk_Clay_hit_efficiency_mean,trk_Qlay_hit_efficiency_mean,trk_Ccc_n_rec_tracks_mean,trk_Qcc_n_rec_tracks_mean,trk_Clay_n_rec_tracks_mean,trk_Qlay_n_rec_tracks_mean,n_hits_sem,n_seg_sem,eff_C_sem,eff_Q_sem,pur_C_sem,pur_Q_sem,far_C_sem,far_Q_sem,cosine_sem,rel_l2_sem,jaccard_sem,n_active_C_sem,n_active_Q_sem,P_anc_sem,t_classical_sem,t_quantum_sem,wall_total_sem,trk_Ccc_efficiency_sem,trk_Qcc_efficiency_sem,trk_Clay_efficiency_sem,trk_Qlay_efficiency_sem,trk_Ccc_ghost_rate_sem,trk_Qcc_ghost_rate_sem,trk_Clay_ghost_rate_sem,trk_Qlay_ghost_rate_sem,trk_Ccc_hit_efficiency_sem,trk_Qcc_hit_efficiency_sem,trk_Clay_hit_efficiency_sem,trk_Qlay_hit_efficiency_sem,trk_Ccc_n_rec_tracks_sem,trk_Qcc_n_rec_tracks_sem,trk_Clay_n_rec_tracks_sem,trk_Qlay_n_rec_tracks_sem,n_reps
2,9.9,15.733333333333333,0.975,0.7291666666666666,1.0,1.0,0.0,0.0,0.8230255655001251,0.5943998764501542,0.7476190476190475,7.8,5.833333333333333,0.13944425661210086,0.00038452943166097003,0.297836438814799,2.4201879501342773,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.0,0.0,0.0,0.0,1.0,0.7983333333333335,1.0,0.7983333333333335,1.9666666666666666,1.9666666666666666,1.9666666666666666,1.9666666666666666,0.055708601453115555,0.15853737608796936,0.017370208344491277,0.013512623585691361,0.0,0.0,0.0,0.0,0.003094812924064177,0.004689150631827613,0.0016543055566182162,0.13896166675593022,0.10810098868553089,0.002551391522313845,4.47034153748987e-05,0.007770308616668862,0.14983417336049173,0.01666666666666666,0.01666666666666666,0.01666666666666666,0.01666666666666666,0.0,0.0,0.0,0.0,0.0,0.001158013889632753,0.0,0.001158013889632753,0.03333333333333332,0.03333333333333332,0.03333333333333332,0.03333333333333332,30
5,24.6,96.7,0.9366666666666668,0.725,1.0,1.0,0.0,0.0,0.6098689993326423,0.8832446309936972,0.7343776106934001,18.733333333333334,14.5,0.04236958970261006,0.00027274290720621746,0.5267680247624715,2.570341126124064,0.94,0.98,0.94,0.98,0.0,0.0,0.0,0.0,1.0,0.8025833333333333,1.0,0.8025833333333333,4.7,4.9,4.7,4.9,0.13217891045025335,1.0636631564291525,0.021566967789118107,0.010380684981717495,0.0,0.0,0.0,0.0,0.001981520533808444,0.0022044090264697344,0.007313311238989164,0.4313393557823622,0.20761369963434992,0.000821327593041755,1.0043592031594754e-05,0.018503781871862666,0.07191953551873229,0.021761507723289865,0.01114172029062311,0.021761507723289865,0.01114172029062311,0.0,0.0,0.0,0.0,0.0,0.0026383645375402925,0.0,0.0026383645375402925,0.10880753861644935,0.055708601453115555,0.10880753861644935,0.055708601453115555,30
10,49.63333333333333,395.3333333333333,0.9833333333333333,0.9833333333333333,1.0,1.0,0.0,0.0,0.46364088623507665,1.0357161631034912,1.0,39.333333333333336,39.333333333333336,0.02198347759563033,0.0003307660420735677,0.8906765222549439,2.8739439328511556,0.99,0.99,0.99,0.99,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,9.9,9.9,9.9,9.9,0.10152099984713352,1.4169201936767797,0.006033114240004924,0.006033114240004924,0.0,0.0,0.0,0.0,0.0006183988236966549,0.0005947185955549518,0.0,0.241324569600197,0.241324569600197,0.00013959387881118865,9.687922680886338e-06,0.021846978598032966,0.04659676145673384,0.005570860145311554,0.005570860145311554,0.005570860145311554,0.005570860145311554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055708601453115555,0.055708601453115555,0.055708601453115555,0.055708601453115555,30
20,98.63333333333334,1555.0,0.9495833333333333,0.96375,1.0,0.9975406504065041,0.0,0.00013270355375618535,0.33950146235965767,1.1493424355558886,0.9825550776145145,75.96666666666667,77.3,0.010712493123174325,0.0006528377532958984,1.5117820342381796,3.3946715116500856,0.955,0.9683333333333334,0.955,0.9833333333333333,0.0,0.005555555555555555,0.0,0.0047619047619047615,1.0,0.9927257481940145,1.0,0.9927992776057792,19.1,19.466666666666665,19.1,19.766666666666666,0.22223180055985828,7.798762059145824,0.009294111450958358,0.007589267603571553,0.0,0.001370173234516822,0.0,7.39331929109524e-05,0.0006430067779702637,0.0005583569227619934,0.0036538183550603605,0.7435289160766685,0.6417468975069299,9.545394739658234e-05,1.3127256458201633e-05,0.021923111368958012,0.04790977613181115,0.009392464575637093,0.01002391775719779,0.009392464575637093,0.006920456654478332,0.0,0.0030949223029508636,0.0,0.0026527905453864547,0.0,0.0016858417043202833,0.0,0.0016762407563173237,0.1878492915127419,0.1642351365470506,0.1878492915127419,0.15671434833218076,30
50,247.85,9828.15,0.96975,0.9792500000000001,0.9971500073031505,0.9814226531101229,5.7777154241048616e-05,0.0003895234782298151,0.22231848545302596,1.2471413018610757,0.974656431411167,194.5,199.6,0.003452945149299772,0.000670766830444336,6.966829490661621,9.0331507563591,0.966,0.8939999999999999,0.974,0.993,0.0042804373522458625,0.036243845115675875,0.0,0.030349089127668483,1.0,0.9948581705085303,0.9995785270629991,0.994811224489796,48.5,46.3,48.7,51.25,0.292673700111305,24.81948247901869,0.0047361293323379145,0.003369269013333685,0.0015206150403127845,0.003333560679152395,3.093319463311547e-05,7.131886017823533e-05,0.0003621268743625953,0.0002903977498052713,0.004207648232183573,0.8537841462694493,0.9553175278133279,1.3746089546708473e-05,2.7003455321294247e-05,0.17586477468246728,0.19831334303488674,0.007122979861354596,0.018186171727586402,0.004611199181854634,0.0026257830912139856,0.0019646876762014044,0.006695068873976817,0.0,0.006113690152201559,0.0,0.0011291930881571388,0.000290238232747882,0.0010968488460126882,0.2856202852887397,0.6492911114195397,0.23055995909273172,0.40311288741492746,20
100,495.1,39198.95,0.9643750000000001,0.975375,0.9944658091734032,0.9491864224277224,5.556129281850457e-05,0.0005400543173941358,0.16059105654535208,1.2956916007773758,0.9437132717451341,387.9,411.1,0.0017543288510512606,0.0018526792526245117,18.43184611797333,21.266477787494658,0.9525,0.732,0.968,0.9894999999999999,0.007880613908107868,0.08390351276658745,0.0020514455782312925,0.08829781854445343,1.0,0.9939842882744616,0.9988624698585291,0.9937561806259524,96.0,79.85,97.0,108.6,0.4285839597165482,66.04366478243568,0.002861237080631202,0.002303279983894825,0.0012962290623706716,0.002756764988194118,1.3059360827995227e-05,3.098181276209447e-05,0.00032034652513536537,0.0002473633864945665,0.0031258528122320834,1.0976050483235136,1.5094439547832106,5.683725685773248e-06,9.633425923564714e-05,0.3855059696452418,0.4666095201149577,0.0045233313294285055,0.011823259858609658,0.0027720408594239373,0.0019834844406538196,0.00151522766923389,0.004600171166881077,0.0009413151649813827,0.004946246474697989,0.0,0.0007530334663821812,0.0003526066158437638,0.0005619014386326976,0.34792618696922967,1.0241170780109488,0.28097574347450816,0.6821020142872594,20
200,989.3,156562.0,0.963125,0.973625,0.9935495335497132,0.8395946886482459,3.21587814551961e-05,0.000956413882470602,0.11945806613334484,1.3270575758368117,0.8358781687768951,775.5,927.9,0.000936463082763694,0.009309887886047363,62.691475820541385,67.81744458675385,0.9475,0.339,0.9674999999999999,0.9884999999999999,0.009457514478481244,0.05566092508553301,0.002048746959923866,0.26760781016278146,1.0,0.9926538273470245,0.9985492963576919,0.9936655380857158,191.3,71.9,193.9,270.1,1.358512258154322,452.6069180008434,0.005014735231739007,0.0035913186219610864,0.001589636688303621,0.004179430002965909,7.974059140049562e-06,2.923381576954503e-05,0.0006338279645574888,0.0004782081690373445,0.0038643794570582474,3.7925365302569376,5.416948710605753,5.0526303628245564e-06,0.000809368971889309,2.2501137097935997,2.3353789095602906,0.006635343079131454,0.014544949486180953,0.004669641908707303,0.0022422706745122865,0.0013343520577081915,0.00630589668023153,0.001560449015353814,0.006163938825532899,0.0,0.0017276279146383798,0.00031976875600282323,0.0008962448438274502,1.155181563410897,3.2810906045940813,0.9480975102218593,2.2233608194203054,10
500,2475.8,980102.8,0.9653,0.9749000000000001,0.9611875503731356,0.4523233931034382,7.974038545527697e-05,0.002415477257427942,0.09670143355020158,1.3440970350335162,0.4659294444474339,2008.6,4312.6,0.0008753247603007431,0.17185230255126954,445.6407775402069,471.38432493209837,0.8363999999999999,0.0016,0.9687999999999999,0.9884000000000001,0.03153038401197088,0.6666666666666666,0.0384769497644943,0.7012976733066225,1.0,0.6,0.9967581648268876,0.9919682766183803,431.8,1.8,503.8,1655.8,1.019803902718557,951.373028837795,0.001806931099959257,0.0012589678312014067,0.0020232650273815764,0.004658272127574513,4.345306467896894e-06,4.5812034356643935e-05,0.0003639936964462879,0.0002707926056999092,0.004102107654018764,6.289674077406555,48.0079160139242,6.8425601671011946e-06,0.01974827730461729,15.922783320699928,16.976957340763573,0.006368673331236269,0.0007483314773547884,0.0017435595774162708,0.0009797958971132722,0.0017265615139301221,0.13944333775567927,0.002261659348995295,0.004245178168404786,0.0,0.24494897427831783,0.0003695336754570217,0.0006859454059252249,2.634387974463898,0.3741657386773941,1.8547236990991405,23.107141753146365,5
1000,4942.666666666667,3907530.0,0.9605833333333335,0.9715833333333332,0.7692407602129073,0.17330317636008416,0.0002952831730482954,0.004750489297472857,0.10550832654857656,1.3375286333773324,0.22274167331862085,4995.0,22429.666666666668,0.0009538857966115348,0.8034543991088867,5290.7098509470625,5944.526977141698,0.38233333333333336,0.0,0.965,0.987,0.007888007054673721,1.0,0.26201291863451653,0.9013739204571838,1.0,0.0,0.9903200007324081,0.9850197767081114,385.3333333333333,1.0,1310.3333333333333,10030.333333333334,4.0960685758148365,6358.695961699485,0.003361340671683137,0.0026705700598270046,0.002205880601796845,0.0020131665837456883,3.3210191134463e-06,6.12547094508479e-05,0.0006699702698662497,0.0005008968266580981,0.0025989242350949095,16.010413278030438,198.48621558631666,6.748168045599913e-06,0.179970164282296,58.20808074446618,42.90034979601827,0.008333333333333342,0.0,0.0030000000000000027,0.0020816659994661348,0.0026940035273368603,0.0,0.0029730265609241783,0.001204942078145765,0.0,0.0,0.0008944453890176921,0.0005129653611737975,7.333333333333333,0.0,3.2829526005987018,104.7573916776812,3
