n_trk,eff_C_m,fr_C_m,eff_Q_m,fr_Q_m,n_act_C_m,n_tact_C_m,n_fact_C_m,n_act_Q_m,n_tact_Q_m,n_fact_Q_m,n_true_all_m,n_false_all_m,eff_C_e,fr_C_e,eff_Q_e,fr_Q_e,n_act_C_e,n_tact_C_e,n_fact_C_e,n_act_Q_e,n_tact_Q_e,n_fact_Q_e,n_true_all_e,n_false_all_e,n_reps
2,97.5,0.0,97.5,0.0,7.8,7.8,0.0,7.8,7.8,0.0,7.866666666666666,7.866666666666666,1.7370208344491278,0.0,1.7370208344491278,0.0,0.13896166675593022,0.13896166675593022,0.0,0.13896166675593022,0.13896166675593022,0.0,0.07926868804398468,0.07926868804398468,30
5,93.66666666666667,0.0,95.33333333333333,0.0,18.733333333333334,18.733333333333334,0.0,19.066666666666666,19.066666666666666,0.0,19.333333333333332,77.36666666666666,2.156696778911811,0.0,1.5337830424984944,0.0,0.4313393557823622,0.4313393557823622,0.0,0.30675660849969894,0.30675660849969894,0.0,0.21620197737106175,0.847556777107856,30
10,98.33333333333333,0.0,90.83333333333333,0.0,39.333333333333336,39.333333333333336,0.0,36.333333333333336,36.333333333333336,0.0,39.53333333333333,355.8,0.6033114240004924,0.0,0.8753762190648171,0.0,0.241324569600197,0.241324569600197,0.0,0.3501504876259268,0.3501504876259268,0.0,0.14169201936767795,1.2752281743091014,30
20,94.95833333333333,0.0,88.375,0.17096827223409503,75.96666666666667,75.96666666666667,0.0,70.83333333333333,70.7,0.13333333333333333,77.73333333333333,1477.2666666666667,0.9294111450958356,0.0,0.8286145132051772,0.11880063972819292,0.7435289160766685,0.7435289160766685,0.0,0.704800180915951,0.6628916105641418,0.09264111117062016,0.39518170804767644,7.403623426859533,30
50,97.075,0.04950495049504951,86.725,1.1537067447907998,194.25,194.15,0.1,175.5,173.45,2.05,196.55,9631.6,0.47333503211951145,0.04950495049504951,0.4375093983952922,0.2733006778298439,0.9837495402259341,0.9466700642390229,0.09999999999999998,1.006557447310804,0.8750187967905844,0.48922602676386495,0.49986840373505453,24.319626035905976,20
100,96.625,0.0125,86.225,3.6295961988002907,386.55,386.5,0.05,357.95,344.9,13.05,391.95,38807.0,0.29552584711965457,0.012499999999999997,0.35489991176164165,0.2844653255185812,1.21064358699695,1.1821033884786183,0.04999999999999999,1.8216172687159644,1.4195996470465666,1.0673996933029155,0.6667872697929188,65.37688308649521,20
200,96.95,0.12437810945273631,86.025,16.426891727472178,776.6,775.6,1.0,824.0,688.2,135.8,783.2,155778.8,0.5198156724583565,0.1243781094527363,0.2968585521759479,0.665326127824612,4.730985333122712,4.158525379666852,1.0,7.904991390816873,2.3748684174075834,6.7770855748536105,2.259793500890439,450.3578034309066,10
500,98.01,2.5634767645432053,91.65,54.91256277629624,2012.0,1960.2,51.8,4067.0,1833.0,2234.0,1960.2,978142.6,0.09273618495495599,0.5082569941218129,0.1955760721560805,0.44824859335577244,11.113055385446435,1.8547236990991405,10.466135867644754,40.24673899833376,3.911521443121589,39.94120679198364,1.8547236990991405,949.5277563083661,5
1000,97.72500000000001,19.84134486992618,92.35000000000001,82.75135440182864,4878.0,3909.0,969.0,21423.333333333332,3694.0,17729.333333333332,3909.0,3903621.0,0.17017148213885122,1.0414655569317741,0.16266017746619194,0.2100291907814727,54.77529856909347,6.8068592855540455,61.09828148156051,294.1554766521345,6.506407098647712,287.9967206603421,6.8068592855540455,6351.903415512551,3
