n_trk,eff_C_m,fr_C_m,eff_Q_m,fr_Q_m,n_act_C_m,n_tact_C_m,n_fact_C_m,n_act_Q_m,n_tact_Q_m,n_fact_Q_m,n_true_all_m,n_false_all_m,eff_C_e,fr_C_e,eff_Q_e,fr_Q_e,n_act_C_e,n_tact_C_e,n_fact_C_e,n_act_Q_e,n_tact_Q_e,n_fact_Q_e,n_true_all_e,n_false_all_e,n_reps
2,97.5,0.0,97.5,0.0,7.8,7.8,0.0,7.8,7.8,0.0,7.866666666666666,7.866666666666666,1.7370208344491278,0.0,1.7370208344491278,0.0,0.13896166675593022,0.13896166675593022,0.0,0.13896166675593022,0.13896166675593022,0.0,0.07926868804398468,0.07926868804398468,30
5,93.66666666666667,0.0,95.66666666666667,0.0,18.733333333333334,18.733333333333334,0.0,19.133333333333333,19.133333333333333,0.0,19.333333333333332,77.36666666666666,2.156696778911811,0.0,1.5486986256047988,0.0,0.4313393557823622,0.4313393557823622,0.0,0.3097397251209597,0.3097397251209597,0.0,0.21620197737106175,0.847556777107856,30
10,98.33333333333333,0.0,98.33333333333333,0.0,39.333333333333336,39.333333333333336,0.0,39.333333333333336,39.333333333333336,0.0,39.53333333333333,355.8,0.6033114240004924,0.0,0.6033114240004924,0.0,0.241324569600197,0.241324569600197,0.0,0.241324569600197,0.241324569600197,0.0,0.14169201936767795,1.2752281743091014,30
20,94.95833333333333,0.0,96.375,0.2459349593495935,75.96666666666667,75.96666666666667,0.0,77.3,77.1,0.2,77.73333333333333,1477.2666666666667,0.9294111450958356,0.0,0.7589267603571552,0.13701732345168205,0.7435289160766685,0.7435289160766685,0.0,0.6417468975069299,0.6071414082857242,0.11141720290623111,0.39518170804767644,7.403623426859533,30
50,97.225,0.025510204081632654,98.225,1.5521197487712015,194.5,194.45,0.05,199.6,196.45,3.15,196.55,9631.6,0.42530948483984793,0.025510204081632654,0.2677267853221776,0.34584693286888785,0.8537841462694493,0.8506189696796959,0.04999999999999999,0.9553175278133279,0.5354535706443552,0.7118360248791777,0.49986840373505453,24.319626035905976,20
100,96.9375,0.037758168680861945,97.9875,4.638742933761053,387.9,387.75,0.15,411.1,391.95,19.15,391.95,38807.0,0.2583315647930408,0.02743352278323802,0.1666968174482297,0.3146891913208496,1.0976050483235136,1.0333262591721633,0.1094243309804831,1.5094439547832106,0.6667872697929188,1.3635769524537869,0.6667872697929188,65.37688308649521,20
200,96.9,0.037864481643888226,97.9,15.576335287209611,775.5,775.2,0.3,927.9,783.2,144.7,783.2,155778.8,0.45597880067681507,0.02687840275149628,0.2824741876113049,0.3902200964659321,3.7925365302569376,3.6478304054145205,0.21343747458109494,5.416948710605753,2.259793500890439,4.381907245836122,2.259793500890439,450.3578034309066,10
500,98.01,2.406573846954177,98.01,54.52617543376182,2008.6,1960.2,48.4,4312.6,1960.2,2352.4,1960.2,978142.6,0.09273618495495599,0.25483033532898136,0.09273618495495599,0.4718859297025155,6.289674077406555,1.8547236990991405,5.278257288158659,48.0079160139242,1.8547236990991405,46.62681631850924,1.8547236990991405,949.5277563083661,5
1000,97.72500000000001,21.7407931304416,97.72500000000001,82.5689181062812,4995.0,3909.0,1086.0,22429.666666666668,3909.0,18520.666666666668,3909.0,3903621.0,0.17017148213885122,0.17245615215138005,0.17017148213885122,0.1848769114753848,16.010413278030438,6.8068592855540455,11.718930554164631,198.48621558631666,6.8068592855540455,205.2326593026667,6.8068592855540455,6351.903415512551,3
