T,n_false,n_leak,leak_frac_pct,max_amp,n_levels,levels
10,360,0,0.0,2.7046353994218034e-14,0,
50,9800,6,0.061224489795918366,1.2756095415309143,1,1.276 (×6)
100,39008,22,0.05639868744872847,1.783851841204651,1,1.784 (×22)
200,157214,153,0.09731957713689621,2.4177925887278033,1,2.418 (×153)
500,979128,2272,0.2320432057912755,3.8445195049980594,3,"3.162 (×2236), 3.845 (×18), 2.887 (×18)"
1000,3901631,18558,0.47564723573295375,3.641926408123774,5,"2.995 (×17454), 3.642 (×517), 2.735 (×347), 1.834 (×239), 2.718 (×1)"
