n_trk,tau_star,fr_C,eff_Q,fr_Q,n_tact_Q,n_fact_Q,eff_Q_sem,fr_Q_sem,n_tact_Q_sem,n_fact_Q_sem,mode
2,0.2,0.0,0.975,0.0,7.8,0.0,0.017370208344491277,0.0,0.13896166675593022,0.0,ok
5,0.2,0.0,0.9316666666666666,0.0,18.633333333333333,0.0,0.014871737705307978,0.0,0.29743475410615955,0.0,ok
10,0.2,0.0,0.9083333333333333,0.0,36.333333333333336,0.0,0.008753762190648167,0.0,0.3501504876259268,0.0,ok
20,0.575,0.0,0.43166666666666664,0.0,34.53333333333333,0.0,0.012920142283595504,0.0,1.0336113826876405,0.0,ok
50,0.5,0.0028499926968496014,0.45824999999999994,0.002138281719345296,91.65,0.2,0.016804898252091794,0.0012316957959138245,3.360979650418359,0.11697953037312038,ok
100,0.525,0.005534190826596785,0.434,0.005090800802024964,173.6,0.95,0.01231494599000914,0.0011709060538305205,4.925978396003654,0.223312384458703,ok
200,0.625,0.006450466450286796,0.192,0.0034484967621615007,153.6,0.6,0.021886068628239285,0.0012426726957019587,17.50885490259143,0.22110831935702666,ok
500,0.55,0.038812449626864365,0.30569999999999997,0.028479448896353787,611.4,20.4,0.039342280055939816,0.00798011257193027,78.68456011187963,5.732364259186605,ok
1000,0.45,0.23075923978709267,0.42300000000000004,0.1517574840423593,1692.0,319.0,0.01978688538738053,0.037016873033176724,79.14754154952215,109.70110907977794,ok
