n_bins,w,r_claim,b,a,r0,s,iso_loss,iso_n
64,0.0078125,0.046875,7.97118251858914e-25,0.8556441025153253,0.019857631829754172,0.0013612843655582863,0.0,0
128,0.00390625,0.0234375,1.3490710591799525e-18,0.6739245268675167,0.010118768285489872,0.0007338062693621728,0.0,16
256,0.001953125,0.01171875,4.864721848181295e-17,0.6174683479763424,0.004860967860217321,0.00042395595077675426,0.0,163
512,0.0009765625,0.005859375,0.003431064525036099,0.6223656820478662,0.0024528032771390946,0.0002779969107833015,0.016587677725118488,844
1024,0.00048828125,0.0029296875,0.03912779259969651,0.595804728834149,0.0012621654738780913,0.00012741038648646002,0.0882990249187432,1846
2048,0.000244140625,0.00146484375,0.18860176280717747,0.5533337210637069,0.0006215372574642132,1.1844692851335901e-06,0.3271939328277357,1846
