config,T,rep,eff,ghost,clone,t_ms
point 256,50,7,1.0,0.0,0.0,20.958423614501953
point 1024,50,7,1.0,0.0,0.0,145.3709602355957
locus 1024,50,7,1.0,0.0,0.0,177.4606704711914
locus 2048,50,7,0.98,0.0,0.0,567.9600238800049
point 256,50,8,0.98,0.0,0.0,22.84526824951172
point 1024,50,8,1.0,0.0,0.0,169.79479789733887
locus 1024,50,8,1.0,0.0,0.0,207.9463005065918
locus 2048,50,8,1.0,0.0,0.0,659.9266529083252
point 256,50,9,1.0,0.0,0.0,24.522066116333008
point 1024,50,9,0.56,0.0,0.0,159.0404510498047
locus 1024,50,9,1.0,0.0,0.0,187.9103183746338
locus 2048,50,9,1.0,0.0,0.0,586.1256122589111
point 256,100,0,0.94,0.020833333333333332,0.0,38.48624229431152
point 1024,100,0,0.95,0.0,0.0,188.69304656982422
locus 1024,100,0,0.98,0.0,0.0,246.9925880432129
locus 2048,100,0,1.0,0.0,0.0,643.1913375854492
point 256,100,1,1.0,0.0,0.0,38.91777992248535
point 1024,100,1,1.0,0.0,0.0,173.5372543334961
locus 1024,100,1,0.98,0.0,0.0,232.29503631591797
locus 2048,100,1,1.0,0.0,0.0,633.7637901306152
point 256,100,2,0.95,0.010416666666666666,0.0,38.437604904174805
point 1024,100,2,0.97,0.0,0.0,186.20657920837402
locus 1024,100,2,0.98,0.0,0.0,239.5479679107666
locus 2048,100,2,0.94,0.030927835051546393,0.0,668.0653095245361
point 256,100,3,0.99,0.0,0.0,39.98231887817383
point 1024,100,3,0.97,0.0,0.0,179.4717311859131
locus 1024,100,3,1.0,0.0,0.0,239.53557014465332
locus 2048,100,3,0.99,0.0,0.0,623.2607364654541
point 256,100,4,0.99,0.0,0.0,60.48274040222168
point 1024,100,4,1.0,0.0,0.0,175.84657669067383
locus 1024,100,4,0.98,0.0,0.0,225.57497024536133
locus 2048,100,4,1.0,0.0,0.0,603.6257743835449
point 256,100,5,0.97,0.01020408163265306,0.0,36.51762008666992
point 1024,100,5,0.94,0.0,0.0,174.26466941833496
locus 1024,100,5,1.0,0.0,0.0,257.73072242736816
locus 2048,100,5,1.0,0.0,0.0,617.9368495941162
point 256,100,6,0.94,0.020833333333333332,0.0,38.31028938293457
point 1024,100,6,0.78,0.012658227848101266,0.0,181.43987655639648
locus 1024,100,6,0.95,0.0,0.0,216.8736457824707
locus 2048,100,6,0.97,0.0,0.0,597.2330570220947
point 256,100,7,0.99,0.0,0.0,42.61493682861328
point 1024,100,7,1.0,0.0,0.0,192.70586967468262
locus 1024,100,7,0.98,0.0,0.0,263.2303237915039
locus 2048,100,7,0.98,0.0,0.0,684.8595142364502
point 256,100,8,0.94,0.010526315789473684,0.0,56.33258819580078
point 1024,100,8,0.95,0.0,0.0,176.85770988464355
locus 1024,100,8,0.97,0.0,0.0,228.02472114562988
locus 2048,100,8,1.0,0.0,0.0,699.9425888061523
point 256,100,9,0.94,0.010526315789473684,0.0,37.20426559448242
point 1024,100,9,0.59,0.0,0.0,169.97623443603516
locus 1024,100,9,1.0,0.0,0.0,216.69793128967285
locus 2048,100,9,1.0,0.0,0.0,581.4826488494873
point 256,200,0,0.965,0.0,0.0,64.33963775634766
point 1024,200,0,0.945,0.0,0.0,252.5331974029541
locus 1024,200,0,0.98,0.0,0.0,312.5336170196533
locus 2048,200,0,0.985,0.005050505050505051,0.0,717.9064750671387
point 256,200,1,0.985,0.0,0.0,104.68029975891113
point 1024,200,1,1.0,0.0,0.0,194.92840766906738
locus 1024,200,1,0.965,0.010256410256410256,0.0,292.935848236084
locus 2048,200,1,0.985,0.005050505050505051,0.0,695.9874629974365
point 256,200,2,0.985,0.005050505050505051,0.0,70.22976875305176
point 1024,200,2,0.99,0.005025125628140704,0.0,210.2046012878418
locus 1024,200,2,0.99,0.0,0.0,323.82774353027344
locus 2048,200,2,0.98,0.005076142131979695,0.0,761.7406845092773
point 256,200,3,0.925,0.0106951871657754,0.0,72.07655906677246
point 1024,200,3,0.995,0.0,0.0,227.38194465637207
locus 1024,200,3,0.94,0.015706806282722512,0.0,366.2238121032715
locus 2048,200,3,0.96,0.0,0.0,739.3715381622314
point 256,200,4,0.925,0.021164021164021163,0.0,64.117431640625
point 1024,200,4,0.94,0.005291005291005291,0.0,205.63459396362305
locus 1024,200,4,0.965,0.010256410256410256,0.0,304.15964126586914
locus 2048,200,4,0.975,0.00510204081632653,0.0,674.6580600738525
point 256,200,5,0.93,0.021052631578947368,0.0,67.77048110961914
point 1024,200,5,0.71,0.0,0.0,212.33606338500977
locus 1024,200,5,0.96,0.010309278350515464,0.0,309.28826332092285
locus 2048,200,5,0.965,0.010256410256410256,0.0,689.1765594482422
point 256,200,6,0.945,0.010471204188481676,0.0,66.1172866821289
point 1024,200,6,0.955,0.0,0.0,209.16175842285156
locus 1024,200,6,0.975,0.00510204081632653,0.0,306.5810203552246
locus 2048,200,6,0.99,0.0,0.0,693.1180953979492
point 256,200,7,0.96,0.0051813471502590676,0.0,63.67778778076172
point 1024,200,7,0.985,0.0,0.0,195.23882865905762
locus 1024,200,7,0.985,0.005050505050505051,0.0,296.5235710144043
locus 2048,200,7,0.99,0.005025125628140704,0.0,699.732780456543
point 256,200,8,0.91,0.00546448087431694,0.0,62.65759468078613
point 1024,200,8,0.965,0.0,0.0,197.5264549255371
