T,call_CX,bqf_total,comb_global,comb_percluster_sum,comb_percluster_max_instance,AA_rounds_global,AA_rounds_cluster
10,3638.5714285714303,7277.1428571428605,145542.85714285722,2909.1428571428955,290.9142857142895,4,3
50,33670.72857142859,67341.45714285718,1346829.1428571437,30507.54285714305,1697.2893772893813,9,3
100,79122.94285714292,158245.88571428583,3164917.7142857164,51440.22857142899,523.1604395604434,12,3
200,196388.76785714304,392777.5357142861,7855550.714285722,103853.257142858,542.8463274430526,17,3
400,621769.546428572,1243539.092857144,24870781.85714288,250764.62857143118,14314.767175865525,24,3
