T,n_seg,n_s,k_pairs,k_over_sqrtN,dH_mean,dH_max,clusters_nontrivial,max_cluster,ns_cluster
10,400,9,30,1.5,4.1,6,10,4,2
50,10000,14,156,1.56,6.4743589743589745,11,52,5,3
100,40000,16,312,1.56,6.519230769230769,11,112,4,2
200,160000,18,671,1.6775,6.724292101341281,14,271,4,2
400,640000,20,1861,2.32625,7.600752283718431,17,1033,16,4
