n_trk,eff_C_mean,flr_C_mean,fr_C_mean,eff_Q_mean,flr_Q_mean,fr_Q_mean,n_act_C_mean,n_tact_C_mean,n_fact_C_mean,n_act_Q_mean,n_tact_Q_mean,n_fact_Q_mean,n_true_all_mean,n_false_all_mean,eff_C_sem,flr_C_sem,fr_C_sem,eff_Q_sem,flr_Q_sem,fr_Q_sem,n_act_C_sem,n_tact_C_sem,n_fact_C_sem,n_act_Q_sem,n_tact_Q_sem,n_fact_Q_sem,n_true_all_sem,n_false_all_sem,n_reps
10,0.9936842105263157,0.24,0.21600000000000003,1.0,0.0,0.0,125.0,39.32,85.68,39.56,39.56,0.0,39.56,356.04,0.0024433198209431483,0.061011875725893214,0.05491068815330388,0.0,0.0,0.0,21.81609591142115,0.1947054289988665,21.786298633849334,0.11835608672690276,0.11835608672690276,0.0,0.11835608672690276,1.0652047805421245,50
20,0.9958841158841159,0.24,0.22799999999999998,0.9964035964035963,2.631578947368421e-05,0.0004878048780487805,442.5,79.22,363.28,79.3,79.26,0.04,79.54,1511.26,0.0013472645185741735,0.061011875725893214,0.05796128193959854,0.0012733880982430939,2.631578947368421e-05,0.00048780487804878043,92.3936443171503,0.22549718311286449,92.35696073344101,0.219925775976295,0.2134459736642258,0.04,0.128444381674223,2.4404432518102364,50
30,0.9899756663294713,0.0,0.0,0.9961168133881777,2.8735632183908045e-05,0.000819672131147541,117.45,117.45,0.0,118.25,118.15,0.1,118.6,3439.5,0.0039847296135430265,0.0,0.0,0.002212531651766271,2.873563218390804e-05,0.000819672131147541,0.9746119335677311,0.9746119335677311,0.0,0.7066414262291434,0.685469489512576,0.09999999999999999,0.5251566182427967,15.18369970863838,20
50,0.9956446749823779,0.24004100256493566,0.23715916173635032,0.9979142037715792,0.00013935473613606878,0.006664772898986582,2516.04,196.64,2319.4,198.44,197.08,1.36,197.48,9677.52,0.0013666101343389257,0.06100858736072565,0.05964212707242103,0.0007140076652910099,3.2227237266524206e-05,0.0015280359990096368,589.6744539150394,0.6747698020171662,589.6263444949259,0.746234082659355,0.5840324285097707,0.31527118226591366,0.4791489053200348,23.21787207462108,50
75,0.9929865536472404,0.0,0.0,1.0,0.0003160591382165839,0.022692239490100925,295.2,295.2,0.0,304.2,297.25,6.95,297.25,21997.5,0.0023852985042917413,0.0,0.0,0.0,4.106788089903898e-05,0.0028845763469585884,1.4736278184699216,1.4736278184699216,0.0,1.1800981225929341,0.7976115661939185,0.8987564508223218,0.7976115661939185,58.61446291793429,20
100,0.996340419693593,0.3000777627402823,0.3043349982037882,0.9992306427749466,0.0002821122633211104,0.026579772802494038,12134.475,394.075,11740.4,406.275,395.2,11.075,395.5,39157.225,0.0012936246751129915,0.0733717921608037,0.07192515259295308,0.0002932929017827458,4.10636042970208e-05,0.0038370168750607534,2871.16702797801,1.208616235671276,2871.0439242770567,2.064966473931608,0.9297090804972136,1.616972281448992,0.8755950357709131,85.89978871873362,40
150,0.9941938316947031,1.2304250559284115e-05,0.0018133019114951556,1.0,0.0007174465605456397,0.09620286227418771,591.4,590.3,1.1,657.2,593.7,63.5,593.7,88466.4,0.0025961697247906318,9.201314451344567e-06,0.001354012219956166,0.0,5.029264538164313e-05,0.006202423076550693,4.099322437238188,3.708998067762595,0.8225975119502045,5.575342540548018,2.3144473782453265,4.536885862938733,2.3144473782453265,342.6179667079808,10
200,0.9980475900949287,0.3000044582895937,0.3227285184729169,0.9996202531645568,0.05050030622494729,0.1345653527313829,48105.85,790.85,47315.0,8682.325,792.075,7890.25,792.375,157689.05,0.0009004426212059714,0.07333186972834645,0.07091218363365079,0.0003797468354430371,0.03488080810155546,0.033535837837872284,11566.569651179077,1.7583318143145705,11566.387595096405,5449.000800474681,1.3574993507105213,5449.260343097856,1.3100633670326887,259.43986989231934,40
400,0.9985961321583586,0.33367796199264005,0.41407302240190613,1.0,0.08397169262752643,0.2829693036327142,212239.38888888888,1579.9722222222222,210659.41666666666,54724.694444444445,1582.1666666666667,53142.52777777778,1582.1666666666667,631325.5,0.0008024545496064685,0.07963931395583455,0.07418013942577788,0.0,0.046548075442699795,0.049003416809764326,50283.655802733185,3.689858712637109,50283.36756228415,29463.688569120568,3.1082327955143767,29463.47685047085,3.1082327955143767,1232.651388364973,36
700,0.9993999791297089,0.2864507190174688,0.46965974334940136,1.0,0.07387710191033438,0.6071360949283005,556812.1428571428,2765.5,554046.6428571428,145764.9642857143,2767.1428571428573,142997.82142857142,2767.1428571428573,1934339.6785714286,0.0006000208702911395,0.08684897714241256,0.07925798380603151,0.0,0.04943330134661891,0.04879337114846249,167998.64503167302,6.835655819026472,167998.42838359444,95692.26189115393,6.362446512433937,95692.14221706027,6.362446512433937,4425.639029293062,28
1000,0.9992220378474385,0.28684195872806917,0.5470049277158092,1.0,0.0038070962148674435,0.6853735090686923,1137565.8214285714,3953.6071428571427,1133612.2142857143,19011.25,3956.6428571428573,15054.607142857143,3956.6428571428573,3952814.4285714286,0.0007687546736148853,0.08680092250576193,0.07438469531291073,0.0,0.00036312328186171173,0.052245809144427044,343071.308308908,9.659458079286205,343070.96763781685,1437.1643032227287,8.488899425383163,1436.3467735222,8.488899425383163,8446.164771521722,28
