tag,sigma_res,sigma_scatt,n_trk,rep,n_seg,repro_ok,type,count,act_C,act_Q,act_Q_wp,tau_Q_wp,have_q
eps2_sr0.01_ss0.0001,0.01,0.0001,50,8,10000,True,hub,7,0,0.0,0.0,0.774274076136902,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,8,10000,True,TRUE,200,200,200.0,198.0,0.774274076136902,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,9,10000,True,isolated,9794,0,8.0,8.0,0.7792485372771564,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,9,10000,True,pair,6,0,0.0,0.0,0.7792485372771564,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,9,10000,True,chain>=3,0,0,0.0,0.0,0.7792485372771564,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,9,10000,True,hub,0,0,0.0,0.0,0.7792485372771564,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,9,10000,True,TRUE,200,200,200.0,200.0,0.7792485372771564,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,0,40000,True,isolated,39533,1,55.0,55.0,1.0656967038796714,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,0,40000,True,pair,62,0,0.0,0.0,1.0656967038796714,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,0,40000,True,chain>=3,3,0,0.0,0.0,1.0656967038796714,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,0,40000,True,hub,2,0,0.0,0.0,1.0656967038796714,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,0,40000,True,TRUE,400,400,400.0,399.0,1.0656967038796714,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,1,40000,True,isolated,39564,1,53.0,53.0,1.0669464529083614,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,1,40000,True,pair,36,0,0.0,0.0,1.0669464529083614,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,1,40000,True,chain>=3,0,0,0.0,0.0,1.0669464529083614,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,1,40000,True,hub,0,0,0.0,0.0,1.0669464529083614,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,1,40000,True,TRUE,400,400,400.0,399.0,1.0669464529083614,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,2,40000,True,isolated,39542,0,36.0,36.0,1.0794889567598271,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,2,40000,True,pair,54,0,0.0,0.0,1.0794889567598271,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,2,40000,True,chain>=3,0,0,0.0,0.0,1.0794889567598271,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,2,40000,True,hub,4,0,0.0,0.0,1.0794889567598271,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,2,40000,True,TRUE,400,400,400.0,400.0,1.0794889567598271,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,3,40000,True,isolated,39546,11,70.0,70.0,1.0398667436400297,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,3,40000,True,pair,50,0,1.0,1.0,1.0398667436400297,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,3,40000,True,chain>=3,0,0,0.0,0.0,1.0398667436400297,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,3,40000,True,hub,4,0,0.0,0.0,1.0398667436400297,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,3,40000,True,TRUE,400,400,400.0,399.0,1.0398667436400297,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,4,40000,True,isolated,39549,5,63.0,63.0,1.057621591798238,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,4,40000,True,pair,48,0,0.0,0.0,1.057621591798238,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,4,40000,True,chain>=3,0,0,0.0,0.0,1.057621591798238,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,4,40000,True,hub,3,0,0.0,0.0,1.057621591798238,True
eps2_sr0.01_ss0.0001,0.01,0.0001,100,4,40000,True,TRUE,400,400,400.0,398.0,1.057621591798238,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,0,160000,True,isolated,158855,12,441.0,440.0,1.3652108522444657,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,0,160000,True,pair,334,0,1.0,1.0,1.3652108522444657,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,0,160000,True,chain>=3,9,0,0.0,0.0,1.3652108522444657,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,0,160000,True,hub,2,0,0.0,0.0,1.3652108522444657,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,0,160000,True,TRUE,800,800,800.0,793.0,1.3652108522444657,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,1,160000,True,isolated,158856,19,429.0,427.0,1.3650865208501914,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,1,160000,True,pair,336,0,0.0,0.0,1.3650865208501914,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,1,160000,True,chain>=3,3,0,0.0,0.0,1.3650865208501914,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,1,160000,True,hub,5,0,0.0,0.0,1.3650865208501914,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,1,160000,True,TRUE,800,800,800.0,793.0,1.3650865208501914,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,2,160000,True,isolated,158753,30,390.0,390.0,1.3729776839661458,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,2,160000,True,pair,414,0,1.0,1.0,1.3729776839661458,True
eps2_sr0.01_ss0.0001,0.01,0.0001,200,2,160000,True,chain>=3,15,0,0.0,0.0,1.3729776839661458,True
