n_trk,rep,who,drop_rate,n_true_all,n_true_clean,n_false_all,n_active,n_true_active,n_false_active,eff_pct,fr_pct,cos,jaccard,t_classical,t_quantum,success_prob,n_seg
2,0,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8232609723033908,0.75,0.00034046173095703125,0.42824864387512207,0.15087890625,16
2,0,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8232609723033908,0.75,0.00034046173095703125,0.42824864387512207,0.15087890625,16
2,1,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8321947317724223,0.75,0.0002117156982421875,0.3737783432006836,0.1439208984375,16
2,1,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8321947317724223,0.75,0.0002117156982421875,0.3737783432006836,0.1439208984375,16
2,2,C,0.01,6,8,6,4,4,0,50.0,0.0,0.7343353522132287,0.75,0.00026416778564453125,0.3044407367706299,0.0726318359375,12
2,2,Q,0.01,6,8,6,3,3,0,37.5,0.0,0.7343353522132287,0.75,0.00026416778564453125,0.3044407367706299,0.0726318359375,12
2,3,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8268704902193216,0.75,0.00024962425231933594,0.31083178520202637,0.151123046875,16
2,3,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8268704902193216,0.75,0.00024962425231933594,0.31083178520202637,0.151123046875,16
2,4,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8309100138128518,0.75,0.0002636909484863281,0.303281307220459,0.1380615234375,16
2,4,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8309100138128518,0.75,0.0002636909484863281,0.303281307220459,0.1380615234375,16
2,5,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8252642919269826,0.75,0.000354766845703125,0.4258594512939453,0.1466064453125,16
2,5,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8252642919269826,0.75,0.000354766845703125,0.4258594512939453,0.1466064453125,16
2,6,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8259890028803475,0.75,0.0003368854522705078,0.43850016593933105,0.141845703125,16
2,6,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8259890028803475,0.75,0.0003368854522705078,0.43850016593933105,0.141845703125,16
2,7,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8282030816965196,0.75,0.0004246234893798828,0.416370153427124,0.1429443359375,16
2,7,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8282030816965196,0.75,0.0004246234893798828,0.416370153427124,0.1429443359375,16
2,8,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8214611688141193,0.75,0.0003705024719238281,0.421184778213501,0.1446533203125,16
2,8,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8214611688141193,0.75,0.0003705024719238281,0.421184778213501,0.1446533203125,16
2,9,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8257949551006389,0.75,0.0004265308380126953,0.3962874412536621,0.1409912109375,16
2,9,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8257949551006389,0.75,0.0004265308380126953,0.3962874412536621,0.1409912109375,16
2,10,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8246595426699035,0.75,0.0003592967987060547,0.8056409358978271,0.139892578125,16
2,10,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8246595426699035,0.75,0.0003592967987060547,0.8056409358978271,0.139892578125,16
2,11,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8241578293556056,0.75,0.001968860626220703,0.4677300453186035,0.140625,16
2,11,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8241578293556056,0.75,0.001968860626220703,0.4677300453186035,0.140625,16
2,12,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8262974441573802,0.75,0.0002646446228027344,0.37892842292785645,0.1400146484375,16
2,12,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8262974441573802,0.75,0.0002646446228027344,0.37892842292785645,0.1400146484375,16
2,13,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8263159175203154,0.75,0.0002677440643310547,0.32624173164367676,0.146484375,16
2,13,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8263159175203154,0.75,0.0002677440643310547,0.32624173164367676,0.146484375,16
2,14,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8250859821056864,0.75,0.0003058910369873047,0.38413357734680176,0.134765625,16
2,14,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8250859821056864,0.75,0.0003058910369873047,0.38413357734680176,0.134765625,16
2,15,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8272068757651271,0.75,0.00030231475830078125,0.4262998104095459,0.1446533203125,16
2,15,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8272068757651271,0.75,0.00030231475830078125,0.4262998104095459,0.1446533203125,16
2,16,C,0.01,8,8,8,8,8,0,100.0,0.0,0.8256782937309745,0.75,0.000431060791015625,0.43817687034606934,0.1390380859375,16
2,16,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.8256782937309745,0.75,0.000431060791015625,0.43817687034606934,0.1390380859375,16
2,17,C,0.01,8,8,8,8,8,0,100.0,0.0,0.826319620612128,0.75,0.000324249267578125,0.6207590103149414,0.1444091796875,16
2,17,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.826319620612128,0.75,0.000324249267578125,0.6207590103149414,0.1444091796875,16
2,18,C,0.01,8,8,8,8,8,0,100.0,0.0,0.819995713569735,0.75,0.0003387928009033203,0.40988636016845703,0.1390380859375,16
2,18,Q,0.01,8,8,8,6,6,0,75.0,0.0,0.819995713569735,0.75,0.0003387928009033203,0.40988636016845703,0.1390380859375,16
