phi_max,n_tracks,sigma_scatt,sigma_scatt_mrad,epsilon,repeat,n_true,n_false,true_accepted,false_accepted,segment_efficiency,segment_false_rate
0.02,10,0.0006,0.6,0.0025456727990847,8,30,2970,30,4,1.0,0.1176470588235294
0.02,10,0.0006,0.6,0.0025456727990847,9,30,2970,30,3,1.0,0.0909090909090909
0.02,10,0.0008,0.8,0.0033941788403088,0,30,2970,30,2,1.0,0.0625
0.02,10,0.0008,0.8,0.0033941788403088,1,30,2970,30,11,1.0,0.2682926829268293
0.02,10,0.0008,0.8,0.0033941788403088,2,30,2970,30,1,1.0,0.032258064516129
0.02,10,0.0008,0.8,0.0033941788403088,3,30,2970,30,2,1.0,0.0625
0.02,10,0.0008,0.8,0.0033941788403088,4,30,2970,30,6,1.0,0.1666666666666666
0.02,10,0.0008,0.8,0.0033941788403088,5,30,2970,30,2,1.0,0.0625
0.02,10,0.0008,0.8,0.0033941788403088,6,30,2970,30,8,1.0,0.2105263157894736
0.02,10,0.0008,0.8,0.0033941788403088,7,30,2970,30,5,1.0,0.1428571428571428
0.02,10,0.0008,0.8,0.0033941788403088,8,30,2970,30,20,1.0,0.4
0.02,10,0.0008,0.8,0.0033941788403088,9,30,2970,30,5,1.0,0.1428571428571428
0.02,10,0.001,1.0,0.0042426937197964,0,30,2970,30,5,1.0,0.1428571428571428
0.02,10,0.001,1.0,0.0042426937197964,1,30,2970,30,3,1.0,0.0909090909090909
0.02,10,0.001,1.0,0.0042426937197964,2,30,2970,30,5,1.0,0.1428571428571428
0.02,10,0.001,1.0,0.0042426937197964,3,30,2970,30,5,1.0,0.1428571428571428
0.02,10,0.001,1.0,0.0042426937197964,4,30,2970,30,6,1.0,0.1666666666666666
0.02,10,0.001,1.0,0.0042426937197964,5,30,2970,30,2,1.0,0.0625
0.02,10,0.001,1.0,0.0042426937197964,6,30,2970,30,8,1.0,0.2105263157894736
0.02,10,0.001,1.0,0.0042426937197964,7,30,2970,30,3,1.0,0.0909090909090909
0.02,10,0.001,1.0,0.0042426937197964,8,30,2970,30,6,1.0,0.1666666666666666
0.02,10,0.001,1.0,0.0042426937197964,9,30,2970,30,8,1.0,0.2105263157894736
0.02,20,5e-05,0.05,0.0002131900560532,0,60,23940,60,0,1.0,0.0
0.02,20,5e-05,0.05,0.0002131900560532,1,60,23940,60,0,1.0,0.0
0.02,20,5e-05,0.05,0.0002131900560532,2,60,23940,60,0,1.0,0.0
0.02,20,5e-05,0.05,0.0002131900560532,3,60,23940,60,0,1.0,0.0
0.02,20,5e-05,0.05,0.0002131900560532,4,60,23940,60,0,1.0,0.0
0.02,20,5e-05,0.05,0.0002131900560532,5,60,23940,60,0,1.0,0.0
0.02,20,5e-05,0.05,0.0002131900560532,6,60,23940,60,0,1.0,0.0
0.02,20,5e-05,0.05,0.0002131900560532,7,60,23940,60,0,1.0,0.0
0.02,20,5e-05,0.05,0.0002131900560532,8,60,23940,60,0,1.0,0.0
0.02,20,5e-05,0.05,0.0002131900560532,9,60,23940,60,0,1.0,0.0
0.02,20,0.0001,0.1,0.0004247940677551,0,60,23940,60,1,1.0,0.0163934426229508
0.02,20,0.0001,0.1,0.0004247940677551,1,60,23940,60,0,1.0,0.0
0.02,20,0.0001,0.1,0.0004247940677551,2,60,23940,60,0,1.0,0.0
0.02,20,0.0001,0.1,0.0004247940677551,3,60,23940,60,1,1.0,0.0163934426229508
0.02,20,0.0001,0.1,0.0004247940677551,4,60,23940,60,0,1.0,0.0
0.02,20,0.0001,0.1,0.0004247940677551,5,60,23940,60,0,1.0,0.0
0.02,20,0.0001,0.1,0.0004247940677551,6,60,23940,60,0,1.0,0.0
0.02,20,0.0001,0.1,0.0004247940677551,7,60,23940,60,0,1.0,0.0
0.02,20,0.0001,0.1,0.0004247940677551,8,60,23940,60,1,1.0,0.0163934426229508
0.02,20,0.0001,0.1,0.0004247940677551,9,60,23940,60,8,1.0,0.1176470588235294
0.02,20,0.0002,0.2,0.0008487932610477,0,60,23940,60,2,1.0,0.032258064516129
0.02,20,0.0002,0.2,0.0008487932610477,1,60,23940,60,13,1.0,0.1780821917808219
0.02,20,0.0002,0.2,0.0008487932610477,2,60,23940,60,1,1.0,0.0163934426229508
0.02,20,0.0002,0.2,0.0008487932610477,3,60,23940,60,0,1.0,0.0
0.02,20,0.0002,0.2,0.0008487932610477,4,60,23940,60,1,1.0,0.0163934426229508
0.02,20,0.0002,0.2,0.0008487932610477,5,60,23940,60,0,1.0,0.0
0.02,20,0.0002,0.2,0.0008487932610477,6,60,23940,60,4,1.0,0.0625
0.02,20,0.0002,0.2,0.0008487932610477,7,60,23940,60,1,1.0,0.0163934426229508
0.02,20,0.0002,0.2,0.0008487932610477,8,60,23940,60,1,1.0,0.0163934426229508
0.02,20,0.0002,0.2,0.0008487932610477,9,60,23940,60,5,1.0,0.0769230769230769
0.02,20,0.0004,0.4,0.0016971888521905,0,60,23940,60,5,1.0,0.0769230769230769
0.02,20,0.0004,0.4,0.0016971888521905,1,60,23940,60,9,1.0,0.1304347826086956
0.02,20,0.0004,0.4,0.0016971888521905,2,60,23940,60,2,1.0,0.032258064516129
0.02,20,0.0004,0.4,0.0016971888521905,3,60,23940,60,5,1.0,0.0769230769230769
0.02,20,0.0004,0.4,0.0016971888521905,4,60,23940,60,6,1.0,0.0909090909090909
0.02,20,0.0004,0.4,0.0016971888521905,5,60,23940,60,5,1.0,0.0769230769230769
0.02,20,0.0004,0.4,0.0016971888521905,6,60,23940,60,3,1.0,0.0476190476190476
0.02,20,0.0004,0.4,0.0016971888521905,7,60,23940,60,1,1.0,0.0163934426229508
0.02,20,0.0004,0.4,0.0016971888521905,8,60,23940,60,9,1.0,0.1304347826086956
0.02,20,0.0004,0.4,0.0016971888521905,9,60,23940,60,22,1.0,0.2682926829268293
0.02,20,0.0006,0.6,0.0025456727990847,0,60,23940,60,18,1.0,0.2307692307692307
0.02,20,0.0006,0.6,0.0025456727990847,1,60,23940,60,23,1.0,0.2771084337349397
0.02,20,0.0006,0.6,0.0025456727990847,2,60,23940,60,18,1.0,0.2307692307692307
0.02,20,0.0006,0.6,0.0025456727990847,3,60,23940,60,7,1.0,0.1044776119402985
0.02,20,0.0006,0.6,0.0025456727990847,4,60,23940,60,25,1.0,0.2941176470588235
0.02,20,0.0006,0.6,0.0025456727990847,5,60,23940,60,13,1.0,0.1780821917808219
0.02,20,0.0006,0.6,0.0025456727990847,6,60,23940,60,33,1.0,0.3548387096774194
0.02,20,0.0006,0.6,0.0025456727990847,7,60,23940,60,10,1.0,0.1428571428571428
0.02,20,0.0006,0.6,0.0025456727990847,8,60,23940,60,11,1.0,0.1549295774647887
0.02,20,0.0006,0.6,0.0025456727990847,9,60,23940,60,22,1.0,0.2682926829268293
0.02,20,0.0008,0.8,0.0033941788403088,0,60,23940,60,36,1.0,0.375
0.02,20,0.0008,0.8,0.0033941788403088,1,60,23940,60,26,1.0,0.3023255813953488
0.02,20,0.0008,0.8,0.0033941788403088,2,60,23940,60,43,1.0,0.4174757281553398
0.02,20,0.0008,0.8,0.0033941788403088,3,60,23940,60,48,1.0,0.4444444444444444
0.02,20,0.0008,0.8,0.0033941788403088,4,60,23940,60,26,1.0,0.3023255813953488
0.02,20,0.0008,0.8,0.0033941788403088,5,60,23940,60,24,1.0,0.2857142857142857
0.02,20,0.0008,0.8,0.0033941788403088,6,60,23940,60,25,1.0,0.2941176470588235
0.02,20,0.0008,0.8,0.0033941788403088,7,60,23940,60,24,1.0,0.2857142857142857
0.02,20,0.0008,0.8,0.0033941788403088,8,60,23940,60,29,1.0,0.3258426966292135
0.02,20,0.0008,0.8,0.0033941788403088,9,60,23940,60,15,1.0,0.2
0.02,20,0.001,1.0,0.0042426937197964,0,60,23940,60,42,1.0,0.4117647058823529
0.02,20,0.001,1.0,0.0042426937197964,1,60,23940,60,28,1.0,0.3181818181818182
0.02,20,0.001,1.0,0.0042426937197964,2,60,23940,60,44,1.0,0.4230769230769231
0.02,20,0.001,1.0,0.0042426937197964,3,60,23940,60,100,1.0,0.625
0.02,20,0.001,1.0,0.0042426937197964,4,60,23940,60,39,1.0,0.3939393939393939
0.02,20,0.001,1.0,0.0042426937197964,5,60,23940,60,75,1.0,0.5555555555555556
0.02,20,0.001,1.0,0.0042426937197964,6,60,23940,60,40,1.0,0.4
0.02,20,0.001,1.0,0.0042426937197964,7,60,23940,60,25,1.0,0.2941176470588235
0.02,20,0.001,1.0,0.0042426937197964,8,60,23940,60,36,1.0,0.375
0.02,20,0.001,1.0,0.0042426937197964,9,60,23940,60,64,1.0,0.5161290322580645
0.02,50,5e-05,0.05,0.0002131900560532,0,150,374850,150,2,1.0,0.0131578947368421
0.02,50,5e-05,0.05,0.0002131900560532,1,150,374850,150,1,1.0,0.0066225165562913
0.02,50,5e-05,0.05,0.0002131900560532,2,150,374850,150,0,1.0,0.0
0.02,50,5e-05,0.05,0.0002131900560532,3,150,374850,150,2,1.0,0.0131578947368421
0.02,50,5e-05,0.05,0.0002131900560532,4,150,374850,150,1,1.0,0.0066225165562913
0.02,50,5e-05,0.05,0.0002131900560532,5,150,374850,150,1,1.0,0.0066225165562913
0.02,50,5e-05,0.05,0.0002131900560532,6,150,374850,150,0,1.0,0.0
0.02,50,5e-05,0.05,0.0002131900560532,7,150,374850,150,0,1.0,0.0
0.02,50,5e-05,0.05,0.0002131900560532,8,150,374850,150,0,1.0,0.0
0.02,50,5e-05,0.05,0.0002131900560532,9,150,374850,150,1,1.0,0.0066225165562913
0.02,50,0.0001,0.1,0.0004247940677551,0,150,374850,150,2,1.0,0.0131578947368421
0.02,50,0.0001,0.1,0.0004247940677551,1,150,374850,150,3,1.0,0.0196078431372549
0.02,50,0.0001,0.1,0.0004247940677551,2,150,374850,150,10,1.0,0.0625
0.02,50,0.0001,0.1,0.0004247940677551,3,150,374850,150,2,1.0,0.0131578947368421
0.02,50,0.0001,0.1,0.0004247940677551,4,150,374850,150,5,1.0,0.032258064516129
0.02,50,0.0001,0.1,0.0004247940677551,5,150,374850,150,4,1.0,0.0259740259740259
0.02,50,0.0001,0.1,0.0004247940677551,6,150,374850,150,4,1.0,0.0259740259740259
0.02,50,0.0001,0.1,0.0004247940677551,7,150,374850,150,5,1.0,0.032258064516129
0.02,50,0.0001,0.1,0.0004247940677551,8,150,374850,150,4,1.0,0.0259740259740259
0.02,50,0.0001,0.1,0.0004247940677551,9,150,374850,150,2,1.0,0.0131578947368421
0.02,50,0.0002,0.2,0.0008487932610477,0,150,374850,150,37,1.0,0.1978609625668449
0.02,50,0.0002,0.2,0.0008487932610477,1,150,374850,150,29,1.0,0.1620111731843575
0.02,50,0.0002,0.2,0.0008487932610477,2,150,374850,150,37,1.0,0.1978609625668449
0.02,50,0.0002,0.2,0.0008487932610477,3,150,374850,150,24,1.0,0.1379310344827586
0.02,50,0.0002,0.2,0.0008487932610477,4,150,374850,150,34,1.0,0.1847826086956521
0.02,50,0.0002,0.2,0.0008487932610477,5,150,374850,150,27,1.0,0.1525423728813559
0.02,50,0.0002,0.2,0.0008487932610477,6,150,374850,150,27,1.0,0.1525423728813559
0.02,50,0.0002,0.2,0.0008487932610477,7,150,374850,150,25,1.0,0.1428571428571428
0.02,50,0.0002,0.2,0.0008487932610477,8,150,374850,150,22,1.0,0.127906976744186
0.02,50,0.0002,0.2,0.0008487932610477,9,150,374850,150,30,1.0,0.1666666666666666
0.02,50,0.0004,0.4,0.0016971888521905,0,150,374850,150,84,1.0,0.358974358974359
0.02,50,0.0004,0.4,0.0016971888521905,1,150,374850,150,82,1.0,0.3534482758620689
0.02,50,0.0004,0.4,0.0016971888521905,2,150,374850,150,55,1.0,0.2682926829268293
0.02,50,0.0004,0.4,0.0016971888521905,3,150,374850,150,102,1.0,0.4047619047619047
0.02,50,0.0004,0.4,0.0016971888521905,4,150,374850,150,71,1.0,0.3212669683257919
0.02,50,0.0004,0.4,0.0016971888521905,5,150,374850,150,72,1.0,0.3243243243243243
0.02,50,0.0004,0.4,0.0016971888521905,6,150,374850,150,78,1.0,0.3421052631578947
0.02,50,0.0004,0.4,0.0016971888521905,7,150,374850,150,109,1.0,0.4208494208494208
0.02,50,0.0004,0.4,0.0016971888521905,8,150,374850,150,84,1.0,0.358974358974359
0.02,50,0.0004,0.4,0.0016971888521905,9,150,374850,150,60,1.0,0.2857142857142857
0.02,50,0.0006,0.6,0.0025456727990847,0,150,374850,150,205,1.0,0.5774647887323944
0.02,50,0.0006,0.6,0.0025456727990847,1,150,374850,150,228,1.0,0.6031746031746031
0.02,50,0.0006,0.6,0.0025456727990847,2,150,374850,150,188,1.0,0.5562130177514792
0.02,50,0.0006,0.6,0.0025456727990847,3,150,374850,150,183,1.0,0.5495495495495496
0.02,50,0.0006,0.6,0.0025456727990847,4,150,374850,150,224,1.0,0.5989304812834224
0.02,50,0.0006,0.6,0.0025456727990847,5,150,374850,150,146,1.0,0.4932432432432432
0.02,50,0.0006,0.6,0.0025456727990847,6,150,374850,150,271,1.0,0.6437054631828979
0.02,50,0.0006,0.6,0.0025456727990847,7,150,374850,150,169,1.0,0.5297805642633229
0.02,50,0.0006,0.6,0.0025456727990847,8,150,374850,150,213,1.0,0.5867768595041323
0.02,50,0.0006,0.6,0.0025456727990847,9,150,374850,150,211,1.0,0.5844875346260388
0.02,50,0.0008,0.8,0.0033941788403088,0,150,374850,150,388,1.0,0.7211895910780669
0.02,50,0.0008,0.8,0.0033941788403088,1,150,374850,150,367,1.0,0.7098646034816247
0.02,50,0.0008,0.8,0.0033941788403088,2,150,374850,150,358,1.0,0.7047244094488189
0.02,50,0.0008,0.8,0.0033941788403088,3,150,374850,150,422,1.0,0.7377622377622378
0.02,50,0.0008,0.8,0.0033941788403088,4,150,374850,150,332,1.0,0.6887966804979253
0.02,50,0.0008,0.8,0.0033941788403088,5,150,374850,150,391,1.0,0.722735674676525
0.02,50,0.0008,0.8,0.0033941788403088,6,150,374850,150,330,1.0,0.6875
0.02,50,0.0008,0.8,0.0033941788403088,7,150,374850,150,316,1.0,0.6781115879828327
0.02,50,0.0008,0.8,0.0033941788403088,8,150,374850,150,342,1.0,0.6951219512195121
0.02,50,0.0008,0.8,0.0033941788403088,9,150,374850,150,297,1.0,0.6644295302013423
0.02,50,0.001,1.0,0.0042426937197964,0,150,374850,150,556,1.0,0.7875354107648725
0.02,50,0.001,1.0,0.0042426937197964,1,150,374850,150,636,1.0,0.8091603053435115
0.02,50,0.001,1.0,0.0042426937197964,2,150,374850,150,731,1.0,0.8297389330306469
0.02,50,0.001,1.0,0.0042426937197964,3,150,374850,150,578,1.0,0.7939560439560439
0.02,50,0.001,1.0,0.0042426937197964,4,150,374850,150,459,1.0,0.7536945812807881
0.02,50,0.001,1.0,0.0042426937197964,5,150,374850,150,503,1.0,0.7702909647779479
0.02,50,0.001,1.0,0.0042426937197964,6,150,374850,150,514,1.0,0.7740963855421686
0.02,50,0.001,1.0,0.0042426937197964,7,150,374850,150,700,1.0,0.8235294117647058
0.02,50,0.001,1.0,0.0042426937197964,8,150,374850,150,548,1.0,0.7851002865329513
0.02,50,0.001,1.0,0.0042426937197964,9,150,374850,150,485,1.0,0.7637795275590551
0.02,100,5e-05,0.05,0.0002131900560532,0,300,2999700,300,6,1.0,0.0196078431372549
0.02,100,5e-05,0.05,0.0002131900560532,1,300,2999700,300,8,1.0,0.0259740259740259
0.02,100,5e-05,0.05,0.0002131900560532,2,300,2999700,300,6,1.0,0.0196078431372549
0.02,100,5e-05,0.05,0.0002131900560532,3,300,2999700,300,10,1.0,0.032258064516129
0.02,100,5e-05,0.05,0.0002131900560532,4,300,2999700,300,6,1.0,0.0196078431372549
0.02,100,5e-05,0.05,0.0002131900560532,5,300,2999700,300,12,1.0,0.0384615384615384
0.02,100,5e-05,0.05,0.0002131900560532,6,300,2999700,300,16,1.0,0.050632911392405
0.02,100,5e-05,0.05,0.0002131900560532,7,300,2999700,300,10,1.0,0.032258064516129
0.02,100,5e-05,0.05,0.0002131900560532,8,300,2999700,300,10,1.0,0.032258064516129
0.02,100,5e-05,0.05,0.0002131900560532,9,300,2999700,300,7,1.0,0.022801302931596
0.02,100,0.0001,0.1,0.0004247940677551,0,300,2999700,299,38,0.9966666666666668,0.1127596439169139
0.02,100,0.0001,0.1,0.0004247940677551,1,300,2999700,300,35,1.0,0.1044776119402985
0.02,100,0.0001,0.1,0.0004247940677551,2,300,2999700,300,51,1.0,0.1452991452991453
0.02,100,0.0001,0.1,0.0004247940677551,3,300,2999700,300,23,1.0,0.0712074303405572
0.02,100,0.0001,0.1,0.0004247940677551,4,300,2999700,299,56,0.9966666666666668,0.1577464788732394
0.02,100,0.0001,0.1,0.0004247940677551,5,300,2999700,300,46,1.0,0.1329479768786127
0.02,100,0.0001,0.1,0.0004247940677551,6,300,2999700,300,62,1.0,0.1712707182320442
0.02,100,0.0001,0.1,0.0004247940677551,7,300,2999700,300,47,1.0,0.1354466858789625
0.02,100,0.0001,0.1,0.0004247940677551,8,300,2999700,300,39,1.0,0.1150442477876106
0.02,100,0.0001,0.1,0.0004247940677551,9,300,2999700,300,41,1.0,0.1202346041055718
0.02,100,0.0002,0.2,0.0008487932610477,0,300,2999700,300,172,1.0,0.3644067796610169
0.02,100,0.0002,0.2,0.0008487932610477,1,300,2999700,300,171,1.0,0.3630573248407643
0.02,100,0.0002,0.2,0.0008487932610477,2,300,2999700,300,193,1.0,0.3914807302231237
0.02,100,0.0002,0.2,0.0008487932610477,3,300,2999700,300,181,1.0,0.3762993762993763
0.02,100,0.0002,0.2,0.0008487932610477,4,300,2999700,300,167,1.0,0.3576017130620985
0.02,100,0.0002,0.2,0.0008487932610477,5,300,2999700,300,148,1.0,0.3303571428571428
0.02,100,0.0002,0.2,0.0008487932610477,6,300,2999700,300,222,1.0,0.425287356321839
0.02,100,0.0002,0.2,0.0008487932610477,7,300,2999700,300,162,1.0,0.3506493506493506
0.02,100,0.0002,0.2,0.0008487932610477,8,300,2999700,300,154,1.0,0.3392070484581498
0.02,100,0.0002,0.2,0.0008487932610477,9,300,2999700,300,155,1.0,0.3406593406593406
0.02,100,0.0004,0.4,0.0016971888521905,0,300,2999700,300,695,1.0,0.6984924623115578
0.02,100,0.0004,0.4,0.0016971888521905,1,300,2999700,300,652,1.0,0.6848739495798319
0.02,100,0.0004,0.4,0.0016971888521905,2,300,2999700,300,651,1.0,0.6845425867507886
0.02,100,0.0004,0.4,0.0016971888521905,3,300,2999700,300,795,1.0,0.726027397260274
0.02,100,0.0004,0.4,0.0016971888521905,4,300,2999700,300,691,1.0,0.6972754793138244
0.02,100,0.0004,0.4,0.0016971888521905,5,300,2999700,300,684,1.0,0.6951219512195121
0.02,100,0.0004,0.4,0.0016971888521905,6,300,2999700,300,620,1.0,0.6739130434782609
0.02,100,0.0004,0.4,0.0016971888521905,7,300,2999700,300,560,1.0,0.6511627906976745
0.02,100,0.0004,0.4,0.0016971888521905,8,300,2999700,300,644,1.0,0.6822033898305084
0.02,100,0.0004,0.4,0.0016971888521905,9,300,2999700,300,721,1.0,0.7061704211557297
0.02,100,0.0006,0.6,0.0025456727990847,0,300,2999700,300,1500,1.0,0.8333333333333334
0.02,100,0.0006,0.6,0.0025456727990847,1,300,2999700,300,1495,1.0,0.8328690807799443
0.02,100,0.0006,0.6,0.0025456727990847,2,300,2999700,300,1500,1.0,0.8333333333333334
