phi_max,n_tracks,sigma_res,sigma_res_mm,epsilon,repeat,n_true,n_false,true_accepted,false_accepted,segment_efficiency,segment_false_rate
0.02,10,0.05,0.05,0.0157515370451374,0,30,2970,30,93,1.0,0.7560975609756098
0.02,10,0.05,0.05,0.0157515370451374,1,30,2970,30,52,1.0,0.6341463414634146
0.02,10,0.05,0.05,0.0157515370451374,2,30,2970,30,109,1.0,0.7841726618705036
0.02,10,0.05,0.05,0.0157515370451374,3,30,2970,30,67,1.0,0.6907216494845361
0.02,10,0.05,0.05,0.0157515370451374,4,30,2970,30,111,1.0,0.7872340425531915
0.02,10,0.05,0.05,0.0157515370451374,5,30,2970,30,62,1.0,0.6739130434782609
0.02,10,0.05,0.05,0.0157515370451374,6,30,2970,30,84,1.0,0.7368421052631579
0.02,10,0.05,0.05,0.0157515370451374,7,30,2970,30,99,1.0,0.7674418604651163
0.02,10,0.05,0.05,0.0157515370451374,8,30,2970,30,92,1.0,0.7540983606557377
0.02,10,0.05,0.05,0.0157515370451374,9,30,2970,30,51,1.0,0.6296296296296297
0.02,20,0.0,0.0,0.0004247940677551,0,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551,1,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551,2,60,23940,59,0,0.9833333333333332,0.0
0.02,20,0.0,0.0,0.0004247940677551,3,60,23940,60,1,1.0,0.0163934426229508
0.02,20,0.0,0.0,0.0004247940677551,4,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551,5,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551,6,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551,7,60,23940,60,2,1.0,0.032258064516129
0.02,20,0.0,0.0,0.0004247940677551,8,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551,9,60,23940,60,0,1.0,0.0
0.02,20,0.005,0.005,0.0016308858027061,0,60,23940,60,5,1.0,0.0769230769230769
0.02,20,0.005,0.005,0.0016308858027061,1,60,23940,60,10,1.0,0.1428571428571428
0.02,20,0.005,0.005,0.0016308858027061,2,60,23940,60,3,1.0,0.0476190476190476
0.02,20,0.005,0.005,0.0016308858027061,3,60,23940,60,2,1.0,0.032258064516129
0.02,20,0.005,0.005,0.0016308858027061,4,60,23940,60,3,1.0,0.0476190476190476
0.02,20,0.005,0.005,0.0016308858027061,5,60,23940,60,9,1.0,0.1304347826086956
0.02,20,0.005,0.005,0.0016308858027061,6,60,23940,60,2,1.0,0.032258064516129
0.02,20,0.005,0.005,0.0016308858027061,7,60,23940,60,3,1.0,0.0476190476190476
0.02,20,0.005,0.005,0.0016308858027061,8,60,23940,60,2,1.0,0.032258064516129
0.02,20,0.005,0.005,0.0016308858027061,9,60,23940,60,6,1.0,0.0909090909090909
0.02,20,0.01,0.01,0.0031777035588293,0,60,23940,60,24,1.0,0.2857142857142857
0.02,20,0.01,0.01,0.0031777035588293,1,60,23940,60,33,1.0,0.3548387096774194
0.02,20,0.01,0.01,0.0031777035588293,2,60,23940,60,18,1.0,0.2307692307692307
0.02,20,0.01,0.01,0.0031777035588293,3,60,23940,60,40,1.0,0.4
0.02,20,0.01,0.01,0.0031777035588293,4,60,23940,60,16,1.0,0.2105263157894736
0.02,20,0.01,0.01,0.0031777035588293,5,60,23940,60,13,1.0,0.1780821917808219
0.02,20,0.01,0.01,0.0031777035588293,6,60,23940,59,26,0.9833333333333332,0.3058823529411765
0.02,20,0.01,0.01,0.0031777035588293,7,60,23940,60,18,1.0,0.2307692307692307
0.02,20,0.01,0.01,0.0031777035588293,8,60,23940,60,12,1.0,0.1666666666666666
0.02,20,0.01,0.01,0.0031777035588293,9,60,23940,60,26,1.0,0.3023255813953488
0.02,20,0.015,0.015,0.004742833744163,0,60,23940,60,52,1.0,0.4642857142857143
0.02,20,0.015,0.015,0.004742833744163,1,60,23940,60,72,1.0,0.5454545454545454
0.02,20,0.015,0.015,0.004742833744163,2,60,23940,60,67,1.0,0.5275590551181102
0.02,20,0.015,0.015,0.004742833744163,3,60,23940,60,42,1.0,0.4117647058823529
0.02,20,0.015,0.015,0.004742833744163,4,60,23940,60,49,1.0,0.4495412844036697
0.02,20,0.015,0.015,0.004742833744163,5,60,23940,60,74,1.0,0.5522388059701493
0.02,20,0.015,0.015,0.004742833744163,6,60,23940,60,72,1.0,0.5454545454545454
0.02,20,0.015,0.015,0.004742833744163,7,60,23940,60,74,1.0,0.5522388059701493
0.02,20,0.015,0.015,0.004742833744163,8,60,23940,60,59,1.0,0.4957983193277311
0.02,20,0.015,0.015,0.004742833744163,9,60,23940,60,96,1.0,0.6153846153846154
0.02,20,0.02,0.02,0.0063126685373225,0,60,23940,60,88,1.0,0.5945945945945946
0.02,20,0.02,0.02,0.0063126685373225,1,60,23940,60,162,1.0,0.7297297297297297
0.02,20,0.02,0.02,0.0063126685373225,2,60,23940,60,75,1.0,0.5555555555555556
0.02,20,0.02,0.02,0.0063126685373225,3,60,23940,60,72,1.0,0.5454545454545454
0.02,20,0.02,0.02,0.0063126685373225,4,60,23940,60,87,1.0,0.5918367346938775
0.02,20,0.02,0.02,0.0063126685373225,5,60,23940,60,90,1.0,0.6
0.02,20,0.02,0.02,0.0063126685373225,6,60,23940,60,119,1.0,0.664804469273743
0.02,20,0.02,0.02,0.0063126685373225,7,60,23940,60,73,1.0,0.5488721804511278
0.02,20,0.02,0.02,0.0063126685373225,8,60,23940,60,185,1.0,0.7551020408163265
0.02,20,0.02,0.02,0.0063126685373225,9,60,23940,60,76,1.0,0.5588235294117647
0.02,20,0.03,0.03,0.0094570717326724,0,60,23940,60,210,1.0,0.7777777777777778
0.02,20,0.03,0.03,0.0094570717326724,1,60,23940,60,199,1.0,0.7683397683397684
0.02,20,0.03,0.03,0.0094570717326724,2,60,23940,60,177,1.0,0.7468354430379747
0.02,20,0.03,0.03,0.0094570717326724,3,60,23940,60,182,1.0,0.7520661157024794
