phi_max,n_tracks,sigma_res,sigma_res_mm,epsilon,repeat,n_true,n_false,true_accepted,false_accepted,segment_efficiency,segment_false_rate
0.02,10,0.015,0.015,0.004742833744163,9,30,2970,30,1,1.0,0.032258064516129
0.02,10,0.02,0.02,0.0063126685373225,0,30,2970,30,31,1.0,0.5081967213114754
0.02,10,0.02,0.02,0.0063126685373225,1,30,2970,30,21,1.0,0.4117647058823529
0.02,10,0.02,0.02,0.0063126685373225,2,30,2970,30,17,1.0,0.3617021276595745
0.02,10,0.02,0.02,0.0063126685373225,3,30,2970,30,4,1.0,0.1176470588235294
0.02,10,0.02,0.02,0.0063126685373225,4,30,2970,30,15,1.0,0.3333333333333333
0.02,10,0.02,0.02,0.0063126685373225,5,30,2970,30,7,1.0,0.1891891891891892
0.02,10,0.02,0.02,0.0063126685373225,6,30,2970,30,11,1.0,0.2682926829268293
0.02,10,0.02,0.02,0.0063126685373225,7,30,2970,30,20,1.0,0.4
0.02,10,0.02,0.02,0.0063126685373225,8,30,2970,30,29,1.0,0.4915254237288136
0.02,10,0.02,0.02,0.0063126685373225,9,30,2970,30,12,1.0,0.2857142857142857
0.02,10,0.03,0.03,0.0094570717326724,0,30,2970,30,63,1.0,0.6774193548387096
0.02,10,0.03,0.03,0.0094570717326724,1,30,2970,30,49,1.0,0.620253164556962
0.02,10,0.03,0.03,0.0094570717326724,2,30,2970,30,25,1.0,0.4545454545454545
0.02,10,0.03,0.03,0.0094570717326724,3,30,2970,30,30,1.0,0.5
0.02,10,0.03,0.03,0.0094570717326724,4,30,2970,30,30,1.0,0.5
0.02,10,0.03,0.03,0.0094570717326724,5,30,2970,30,49,1.0,0.620253164556962
0.02,10,0.03,0.03,0.0094570717326724,6,30,2970,30,17,1.0,0.3617021276595745
0.02,10,0.03,0.03,0.0094570717326724,7,30,2970,30,29,1.0,0.4915254237288136
0.02,10,0.03,0.03,0.0094570717326724,8,30,2970,30,51,1.0,0.6296296296296297
0.02,10,0.03,0.03,0.0094570717326724,9,30,2970,30,32,1.0,0.5161290322580645
0.02,10,0.05,0.05,0.0157515370451374,0,30,2970,29,78,0.9666666666666668,0.7289719626168224
0.02,10,0.05,0.05,0.0157515370451374,1,30,2970,30,82,1.0,0.7321428571428571
0.02,10,0.05,0.05,0.0157515370451374,2,30,2970,30,85,1.0,0.7391304347826086
0.02,10,0.05,0.05,0.0157515370451374,3,30,2970,30,102,1.0,0.7727272727272727
0.02,10,0.05,0.05,0.0157515370451374,4,30,2970,30,95,1.0,0.76
0.02,10,0.05,0.05,0.0157515370451374,5,30,2970,30,75,1.0,0.7142857142857143
0.02,10,0.05,0.05,0.0157515370451374,6,30,2970,30,147,1.0,0.8305084745762712
0.02,10,0.05,0.05,0.0157515370451374,7,30,2970,30,85,1.0,0.7391304347826086
0.02,10,0.05,0.05,0.0157515370451374,8,30,2970,30,103,1.0,0.7744360902255639
0.02,10,0.05,0.05,0.0157515370451374,9,30,2970,30,144,1.0,0.8275862068965517
0.02,20,0.0,0.0,0.0004247940677551,0,60,23940,60,1,1.0,0.0163934426229508
0.02,20,0.0,0.0,0.0004247940677551,1,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551,2,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551,3,60,23940,60,1,1.0,0.0163934426229508
0.02,20,0.0,0.0,0.0004247940677551,4,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551,5,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551,6,60,23940,60,1,1.0,0.0163934426229508
0.02,20,0.0,0.0,0.0004247940677551,7,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551,8,60,23940,60,1,1.0,0.0163934426229508
0.02,20,0.0,0.0,0.0004247940677551,9,60,23940,60,1,1.0,0.0163934426229508
0.02,20,0.005,0.005,0.0016308858027061,0,60,23940,60,11,1.0,0.1549295774647887
0.02,20,0.005,0.005,0.0016308858027061,1,60,23940,60,9,1.0,0.1304347826086956
0.02,20,0.005,0.005,0.0016308858027061,2,60,23940,60,14,1.0,0.1891891891891892
0.02,20,0.005,0.005,0.0016308858027061,3,60,23940,60,4,1.0,0.0625
0.02,20,0.005,0.005,0.0016308858027061,4,60,23940,60,6,1.0,0.0909090909090909
0.02,20,0.005,0.005,0.0016308858027061,5,60,23940,60,12,1.0,0.1666666666666666
0.02,20,0.005,0.005,0.0016308858027061,6,60,23940,60,10,1.0,0.1428571428571428
0.02,20,0.005,0.005,0.0016308858027061,7,60,23940,60,9,1.0,0.1304347826086956
0.02,20,0.005,0.005,0.0016308858027061,8,60,23940,60,3,1.0,0.0476190476190476
0.02,20,0.005,0.005,0.0016308858027061,9,60,23940,60,5,1.0,0.0769230769230769
0.02,20,0.01,0.01,0.0031777035588293,0,60,23940,60,31,1.0,0.3406593406593406
0.02,20,0.01,0.01,0.0031777035588293,1,60,23940,60,23,1.0,0.2771084337349397
0.02,20,0.01,0.01,0.0031777035588293,2,60,23940,60,29,1.0,0.3258426966292135
0.02,20,0.01,0.01,0.0031777035588293,3,60,23940,60,23,1.0,0.2771084337349397
0.02,20,0.01,0.01,0.0031777035588293,4,60,23940,60,20,1.0,0.25
0.02,20,0.01,0.01,0.0031777035588293,5,60,23940,60,30,1.0,0.3333333333333333
0.02,20,0.01,0.01,0.0031777035588293,6,60,23940,60,23,1.0,0.2771084337349397
0.02,20,0.01,0.01,0.0031777035588293,7,60,23940,60,23,1.0,0.2771084337349397
0.02,20,0.01,0.01,0.0031777035588293,8,60,23940,60,13,1.0,0.1780821917808219
0.02,20,0.01,0.01,0.0031777035588293,9,60,23940,60,65,1.0,0.52
0.02,20,0.015,0.015,0.004742833744163,0,60,23940,60,63,1.0,0.5121951219512195
0.02,20,0.015,0.015,0.004742833744163,1,60,23940,60,52,1.0,0.4642857142857143
0.02,20,0.015,0.015,0.004742833744163,2,60,23940,60,28,1.0,0.3181818181818182
0.02,20,0.015,0.015,0.004742833744163,3,60,23940,60,34,1.0,0.3617021276595745
0.02,20,0.015,0.015,0.004742833744163,4,60,23940,60,59,1.0,0.4957983193277311
0.02,20,0.015,0.015,0.004742833744163,5,60,23940,60,57,1.0,0.4871794871794871
0.02,20,0.015,0.015,0.004742833744163,6,60,23940,60,55,1.0,0.4782608695652174
0.02,20,0.015,0.015,0.004742833744163,7,60,23940,60,46,1.0,0.4339622641509434
0.02,20,0.015,0.015,0.004742833744163,8,60,23940,60,86,1.0,0.589041095890411
0.02,20,0.015,0.015,0.004742833744163,9,60,23940,60,40,1.0,0.4
0.02,20,0.02,0.02,0.0063126685373225,0,60,23940,60,89,1.0,0.5973154362416108
0.02,20,0.02,0.02,0.0063126685373225,1,60,23940,60,84,1.0,0.5833333333333334
