p_hit_res,p_multi_scatter,mean,rms,n
0.0,0.0,1.0,0.0,150
0.0,1e-05,0.9764048094823535,0.03986241643865169,150
0.0,2e-05,0.9533397832290863,0.08753901878920085,150
0.0,3e-05,0.9156920377328377,0.2183154242283519,150
0.0,4e-05,0.8818777353061552,0.2895614757543813,150
0.0,5e-05,0.8818791782039064,0.28962662370083614,150
0.0,6e-05,0.8779311637346293,0.29780936041409606,150
0.0,7e-05,0.8770005191287046,0.29790496017425155,150
0.0,7.999999999999999e-05,0.8757529855363024,0.29832140952534164,150
0.0,8.999999999999999e-05,0.8786516803290609,0.29775845778414156,150
2e-05,0.0,1.0,0.0,150
2e-05,1e-05,0.9767785824390607,0.039388323528961836,150
2e-05,2e-05,0.9541158144286586,0.08491018998522186,150
2e-05,3e-05,0.9202391185227754,0.20592506789330864,150
2e-05,4e-05,0.8868448316887189,0.28069471366467463,150
2e-05,5e-05,0.876011572498363,0.2980204597741314,150
2e-05,6e-05,0.8771968840192734,0.29798751126438233,150
2e-05,7e-05,0.8769607410400219,0.2979076407009133,150
2e-05,7.999999999999999e-05,0.877929771146482,0.29788744784823584,150
2e-05,8.999999999999999e-05,0.8776449134855024,0.2978477263147748,150
4e-05,0.0,1.0,0.0,150
4e-05,1e-05,0.9758194698474635,0.04024538315602418,150
4e-05,2e-05,0.953191080946065,0.08693187258633417,150
4e-05,3e-05,0.9148780054528562,0.218908342297217,150
4e-05,4e-05,0.8915078323038256,0.27155985827798457,150
4e-05,5e-05,0.8816977087086468,0.2894920370712754,150
4e-05,6e-05,0.8817438693833674,0.2896422757004553,150
4e-05,7e-05,0.8776835930675825,0.2977493653919374,150
4e-05,7.999999999999999e-05,0.8776338672874906,0.29797621053303885,150
4e-05,8.999999999999999e-05,0.8772237624093832,0.29787302947698086,150
6.000000000000001e-05,0.0,1.0,0.0,150
6.000000000000001e-05,1e-05,0.9736455461054265,0.04488460976130006,150
6.000000000000001e-05,2e-05,0.9550808954108506,0.08292161951304045,150
6.000000000000001e-05,3e-05,0.9214551445712451,0.20557321534839917,150
6.000000000000001e-05,4e-05,0.8871021458256515,0.28057069359189546,150
6.000000000000001e-05,5e-05,0.887000317830245,0.28067837508444654,150
6.000000000000001e-05,6e-05,0.8772313178652915,0.2979219602713719,150
6.000000000000001e-05,7e-05,0.8786449497396815,0.2976917797220808,150
6.000000000000001e-05,7.999999999999999e-05,0.878482734514759,0.29774396335288605,150
6.000000000000001e-05,8.999999999999999e-05,0.8771248320928013,0.2981255865295471,150
8e-05,0.0,0.9999666666666667,0.00017950549357115028,150
8e-05,1e-05,0.9720667062209888,0.0462260836187678,150
8e-05,2e-05,0.9526733239630543,0.0869706179442352,150
8e-05,3e-05,0.9209309186865869,0.20563981780342652,150
8e-05,4e-05,0.8772188602301416,0.2979285122139348,150
8e-05,5e-05,0.8813671134982214,0.28947061641362026,150
8e-05,6e-05,0.8772267052604159,0.2980469995289115,150
8e-05,7e-05,0.8768069424137033,0.2979849140342668,150
8e-05,7.999999999999999e-05,0.8770506351281959,0.29797401847724064,150
8e-05,8.999999999999999e-05,0.8782426708735152,0.2977308440980281,150
