row_id,batch,meas,coll,ghost,drop,repeat,e_win,step_flag
0,0,0.0,0.0,0,0,0,0,False
1,0,0.0,0.0,0,0,0,0,True
2,0,0.0,0.0,0,0,0,1,False
3,0,0.0,0.0,0,0,0,1,True
4,0,0.0,0.0,0,0,0,2,False
5,0,0.0,0.0,0,0,0,2,True
6,0,0.0,0.0,0,0,0,3,False
7,0,0.0,0.0,0,0,0,3,True
8,0,0.0,0.0,0,0,0,4,False
9,0,0.0,0.0,0,0,0,4,True
10,0,0.0,0.0,0,0,1,0,False
11,0,0.0,0.0,0,0,1,0,True
12,0,0.0,0.0,0,0,1,1,False
13,0,0.0,0.0,0,0,1,1,True
14,0,0.0,0.0,0,0,1,2,False
15,0,0.0,0.0,0,0,1,2,True
16,0,0.0,0.0,0,0,1,3,False
17,0,0.0,0.0,0,0,1,3,True
18,0,0.0,0.0,0,0,1,4,False
19,0,0.0,0.0,0,0,1,4,True
20,0,0.0,0.0,0,0,2,0,False
21,0,0.0,0.0,0,0,2,0,True
22,0,0.0,0.0,0,0,2,1,False
23,0,0.0,0.0,0,0,2,1,True
24,0,0.0,0.0,0,0,2,2,False
25,0,0.0,0.0,0,0,2,2,True
26,0,0.0,0.0,0,0,2,3,False
27,0,0.0,0.0,0,0,2,3,True
28,0,0.0,0.0,0,0,2,4,False
29,0,0.0,0.0,0,0,2,4,True
30,0,0.0,0.0,0,0,3,0,False
31,0,0.0,0.0,0,0,3,0,True
32,0,0.0,0.0,0,0,3,1,False
33,0,0.0,0.0,0,0,3,1,True
34,0,0.0,0.0,0,0,3,2,False
35,0,0.0,0.0,0,0,3,2,True
36,0,0.0,0.0,0,0,3,3,False
37,0,0.0,0.0,0,0,3,3,True
38,0,0.0,0.0,0,0,3,4,False
39,0,0.0,0.0,0,0,3,4,True
40,0,0.0,0.0,0,0,4,0,False
41,0,0.0,0.0,0,0,4,0,True
42,0,0.0,0.0,0,0,4,1,False
43,0,0.0,0.0,0,0,4,1,True
44,0,0.0,0.0,0,0,4,2,False
45,0,0.0,0.0,0,0,4,2,True
46,0,0.0,0.0,0,0,4,3,False
47,0,0.0,0.0,0,0,4,3,True
48,0,0.0,0.0,0,0,4,4,False
49,0,0.0,0.0,0,0,4,4,True
50,1,0.0,0.0,0,0,5,0,False
51,1,0.0,0.0,0,0,5,0,True
52,1,0.0,0.0,0,0,5,1,False
53,1,0.0,0.0,0,0,5,1,True
54,1,0.0,0.0,0,0,5,2,False
55,1,0.0,0.0,0,0,5,2,True
56,1,0.0,0.0,0,0,5,3,False
57,1,0.0,0.0,0,0,5,3,True
58,1,0.0,0.0,0,0,5,4,False
59,1,0.0,0.0,0,0,5,4,True
60,1,0.0,0.0,0,0,6,0,False
61,1,0.0,0.0,0,0,6,0,True
62,1,0.0,0.0,0,0,6,1,False
63,1,0.0,0.0,0,0,6,1,True
64,1,0.0,0.0,0,0,6,2,False
65,1,0.0,0.0,0,0,6,2,True
66,1,0.0,0.0,0,0,6,3,False
67,1,0.0,0.0,0,0,6,3,True
68,1,0.0,0.0,0,0,6,4,False
69,1,0.0,0.0,0,0,6,4,True
70,1,0.0,0.0,0,0,7,0,False
71,1,0.0,0.0,0,0,7,0,True
72,1,0.0,0.0,0,0,7,1,False
73,1,0.0,0.0,0,0,7,1,True
74,1,0.0,0.0,0,0,7,2,False
75,1,0.0,0.0,0,0,7,2,True
76,1,0.0,0.0,0,0,7,3,False
77,1,0.0,0.0,0,0,7,3,True
