p_hit_res,p_multi_scatter,mean,rms,n
0.0,0.0,0.9984,0.00517429544318194,150
0.0,1e-05,0.9341333333333334,0.11539605231067866,150
0.0,2e-05,0.8237333333333333,0.3382416230382588,150
0.0,3e-05,0.8165333333333333,0.3545438133088146,150
0.0,4e-05,0.8184666666666667,0.35266742911070703,150
0.0,5e-05,0.8154,0.3542007528695179,150
0.0,6e-05,0.8188666666666666,0.34947109878914007,150
0.0,7e-05,0.8191333333333334,0.35103833915336874,150
0.0,7.999999999999999e-05,0.8166,0.35193717242333655,150
0.0,8.999999999999999e-05,0.8158000000000001,0.35173905100230196,150
2e-05,0.0,0.9979333333333333,0.005921336185543114,150
2e-05,1e-05,0.9341333333333334,0.11544803544837343,150
2e-05,2e-05,0.8227333333333333,0.34034080305220854,150
2e-05,3e-05,0.82,0.3485321601612492,150
2e-05,4e-05,0.8191333333333334,0.35114847128940896,150
2e-05,5e-05,0.8154666666666667,0.35383534149218177,150
2e-05,6e-05,0.8180000000000001,0.3524674925909244,150
2e-05,7e-05,0.8167333333333334,0.3529126363406231,150
2e-05,7.999999999999999e-05,0.8172666666666667,0.35209638200672017,150
2e-05,8.999999999999999e-05,0.8168666666666666,0.35013356816443,150
4e-05,0.0,0.9974666666666667,0.007319987856699103,150
4e-05,1e-05,0.9293333333333333,0.1248394524534968,150
4e-05,2e-05,0.8252666666666667,0.3352704314761775,150
4e-05,3e-05,0.8152,0.3554184763533451,150
4e-05,4e-05,0.8172,0.35055787919638415,150
4e-05,5e-05,0.8180000000000001,0.35010855459414303,150
4e-05,6e-05,0.8168666666666666,0.35206085963777467,150
4e-05,7e-05,0.8181333333333334,0.35007501418346826,150
4e-05,7.999999999999999e-05,0.8154666666666667,0.35427406842098336,150
4e-05,8.999999999999999e-05,0.8153333333333334,0.3535301338720019,150
6.000000000000001e-05,0.0,0.9975333333333333,0.0067267294347913955,150
6.000000000000001e-05,1e-05,0.9286666666666668,0.12239099458520447,150
6.000000000000001e-05,2e-05,0.8263999999999999,0.3339646288655931,150
6.000000000000001e-05,3e-05,0.8162666666666667,0.3523001498091586,150
6.000000000000001e-05,4e-05,0.8154666666666667,0.354576905934696,150
6.000000000000001e-05,5e-05,0.8183333333333334,0.3504918765899654,150
6.000000000000001e-05,6e-05,0.8162666666666667,0.3518798027104647,150
6.000000000000001e-05,7e-05,0.8186666666666667,0.3494560853033691,150
6.000000000000001e-05,7.999999999999999e-05,0.8157333333333333,0.3518737399819556,150
6.000000000000001e-05,8.999999999999999e-05,0.8140666666666667,0.3533913725916667,150
8e-05,0.0,0.9977999999999999,0.006518691075157144,150
8e-05,1e-05,0.9283999999999999,0.12596338092212886,150
8e-05,2e-05,0.8215333333333333,0.3424378029495121,150
8e-05,3e-05,0.82,0.34622343460064436,150
8e-05,4e-05,0.8182,0.3502381475510628,150
8e-05,5e-05,0.8152666666666666,0.35347927174808363,150
8e-05,6e-05,0.8181333333333334,0.3488196987301925,150
8e-05,7e-05,0.8157333333333333,0.35524141400211523,150
8e-05,7.999999999999999e-05,0.817,0.35166413901145316,150
8e-05,8.999999999999999e-05,0.8178666666666666,0.35121614743946816,150
