p_hit_res,p_multi_scatter,mean,rms,n
0.0,0.0,0.0,0.0,150
0.0,1e-05,0.0,0.0,150
0.0,2e-05,0.0,0.0,150
0.0,3e-05,0.0,0.0,150
0.0,4e-05,0.0,0.0,150
0.0,5e-05,0.0,0.0,150
0.0,6e-05,0.0,0.0,150
0.0,7e-05,0.0,0.0,150
0.0,7.999999999999999e-05,0.0,0.0,150
0.0,8.999999999999999e-05,0.0,0.0,150
2e-05,0.0,0.0,0.0,150
2e-05,1e-05,0.0,0.0,150
2e-05,2e-05,0.0,0.0,150
2e-05,3e-05,0.0,0.0,150
2e-05,4e-05,0.0,0.0,150
2e-05,5e-05,0.0,0.0,150
2e-05,6e-05,0.0,0.0,150
2e-05,7e-05,0.0,0.0,150
2e-05,7.999999999999999e-05,0.0,0.0,150
2e-05,8.999999999999999e-05,0.0,0.0,150
4e-05,0.0,0.0,0.0,150
4e-05,1e-05,0.0,0.0,150
4e-05,2e-05,0.0,0.0,150
4e-05,3e-05,0.0,0.0,150
4e-05,4e-05,0.0,0.0,150
4e-05,5e-05,0.0,0.0,150
4e-05,6e-05,0.0,0.0,150
4e-05,7e-05,0.0,0.0,150
4e-05,7.999999999999999e-05,0.0,0.0,150
4e-05,8.999999999999999e-05,0.0,0.0,150
6.000000000000001e-05,0.0,0.0,0.0,150
6.000000000000001e-05,1e-05,0.0,0.0,150
6.000000000000001e-05,2e-05,0.0,0.0,150
6.000000000000001e-05,3e-05,0.0,0.0,150
6.000000000000001e-05,4e-05,0.0,0.0,150
6.000000000000001e-05,5e-05,0.0,0.0,150
6.000000000000001e-05,6e-05,0.0,0.0,150
6.000000000000001e-05,7e-05,0.0,0.0,150
6.000000000000001e-05,7.999999999999999e-05,0.0,0.0,150
6.000000000000001e-05,8.999999999999999e-05,0.0,0.0,150
8e-05,0.0,0.0,0.0,150
8e-05,1e-05,0.0,0.0,150
8e-05,2e-05,0.0,0.0,150
8e-05,3e-05,0.0,0.0,150
8e-05,4e-05,0.0,0.0,150
8e-05,5e-05,0.0,0.0,150
8e-05,6e-05,0.0,0.0,150
8e-05,7e-05,0.0,0.0,150
8e-05,7.999999999999999e-05,0.0,0.0,150
8e-05,8.999999999999999e-05,0.0,0.0,150
