param,value,event,algorithm,n_seg,ran,efficiency,ghost,purity,fidelity,time_s
sigma_scatter,0.0002,2,HHL (full),18,True,0.0,0.0,0.0,,16.40628464287147
sigma_scatter,0.0002,2,OneBitHHL,18,True,1.0,0.0,1.0,0.6836991799800008,0.27980914805084467
sigma_scatter,0.0002,3,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00046777212992310524
sigma_scatter,0.0002,3,HHL (full),18,True,0.0,0.0,0.0,,17.52519858814776
sigma_scatter,0.0002,3,OneBitHHL,18,True,1.0,0.0,1.0,0.6808560260617733,0.2676455629989505
sigma_scatter,0.0002,4,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00015534274280071259
sigma_scatter,0.0002,4,HHL (full),18,True,0.0,0.0,0.0,,17.55735161481425
sigma_scatter,0.0002,4,OneBitHHL,18,True,1.0,0.0,1.0,0.6839564864337322,0.24411806417629123
sigma_scatter,0.0005,0,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00034342706203460693
sigma_scatter,0.0005,0,HHL (full),18,True,0.0,1.0,0.0,0.4138299395902845,16.807726033963263
sigma_scatter,0.0005,0,OneBitHHL,18,True,1.0,0.0,1.0,0.6838855307432674,0.25689740059897304
sigma_scatter,0.0005,1,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00025392789393663406
sigma_scatter,0.0005,1,HHL (full),18,True,0.0,0.0,0.0,,16.682152225170285
sigma_scatter,0.0005,1,OneBitHHL,18,True,0.3333333333333333,0.5,1.0,0.7877184430175678,0.2841549962759018
sigma_scatter,0.0005,2,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00035147229209542274
sigma_scatter,0.0005,2,HHL (full),18,True,0.0,1.0,0.0,0.3987883150089602,17.855323053896427
sigma_scatter,0.0005,2,OneBitHHL,18,True,1.0,0.0,1.0,0.684974009636849,0.24069219268858433
sigma_scatter,0.0005,3,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00014305999502539635
sigma_scatter,0.0005,3,HHL (full),18,True,0.0,0.0,0.0,,16.6010559219867
sigma_scatter,0.0005,3,OneBitHHL,18,True,1.0,0.0,1.0,0.6845319338720479,0.24136142386123538
sigma_scatter,0.0005,4,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00030198879539966583
sigma_scatter,0.0005,4,HHL (full),18,True,0.0,1.0,0.0,0.3987883150085214,16.831661588978022
sigma_scatter,0.0005,4,OneBitHHL,18,True,1.0,0.0,1.0,0.6848812282605815,0.27043676096946
sigma_scatter,0.001,0,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00012780120596289635
sigma_scatter,0.001,0,HHL (full),18,True,0.0,0.0,0.0,,16.57082039117813
sigma_scatter,0.001,0,OneBitHHL,18,True,1.0,0.0,1.0,0.6850076920232646,0.25750525388866663
sigma_scatter,0.001,1,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00035784393548965454
sigma_scatter,0.001,1,HHL (full),18,True,0.0,0.0,0.0,,16.956370511092246
sigma_scatter,0.001,1,OneBitHHL,18,True,1.0,0.0,1.0,0.6837224295529089,0.273621573112905
sigma_scatter,0.001,2,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00033958861604332924
sigma_scatter,0.001,2,HHL (full),18,True,0.0,0.0,0.0,,17.595550485420972
sigma_scatter,0.001,2,OneBitHHL,18,True,1.0,0.0,1.0,0.6851002886841496,0.2522505121305585
sigma_scatter,0.001,3,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.0005777077749371529
sigma_scatter,0.001,3,HHL (full),18,True,0.0,0.0,0.0,,18.578271944075823
sigma_scatter,0.001,3,OneBitHHL,18,True,0.3333333333333333,0.5,1.0,0.7814524713497377,0.2650136318989098
sigma_scatter,0.001,4,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00036550918594002724
sigma_scatter,0.001,4,HHL (full),18,True,0.0,0.0,0.0,,17.106127401813865
sigma_scatter,0.001,4,OneBitHHL,18,True,0.3333333333333333,0.5,1.0,0.7796047857404808,0.27881939709186554
