param,value,event,algorithm,n_seg,ran,efficiency,ghost,purity,fidelity,time_s
sigma_res,0.0005,2,OneBitHHL,18,True,1.0,0.0,1.0,0.6840171872202799,0.22740436298772693
sigma_res,0.0005,3,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00017360737547278404
sigma_res,0.0005,3,HHL (full),18,True,0.0,0.0,0.0,,17.127962899394333
sigma_res,0.0005,3,OneBitHHL,18,True,1.0,0.0,1.0,0.6844940844626972,0.25283302925527096
sigma_res,0.0005,4,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.0003192620351910591
sigma_res,0.0005,4,HHL (full),18,True,0.0,0.0,0.0,,18.24460787186399
sigma_res,0.0005,4,OneBitHHL,18,True,1.0,0.0,1.0,0.6834097559787662,0.244265743996948
sigma_res,0.001,0,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.000135716050863266
sigma_res,0.001,0,HHL (full),18,True,0.0,0.0,0.0,,18.720642040949315
sigma_res,0.001,0,OneBitHHL,18,True,1.0,0.0,1.0,0.6824938872048741,0.2860538880340755
sigma_res,0.001,1,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00032487185671925545
sigma_res,0.001,1,HHL (full),18,True,0.0,1.0,0.0,0.4138299395902845,13.176299159880728
sigma_res,0.001,1,OneBitHHL,18,True,1.0,0.0,1.0,0.6852934829652199,0.25577348889783025
sigma_res,0.001,2,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00035772379487752914
sigma_res,0.001,2,HHL (full),18,True,0.0,1.0,0.0,0.39878831500884543,17.816315753851086
sigma_res,0.001,2,OneBitHHL,18,True,1.0,0.0,1.0,0.6846906176515988,0.30482057202607393
sigma_res,0.001,3,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.0002664322964847088
sigma_res,0.001,3,HHL (full),18,True,0.0,0.0,0.0,,17.94005713565275
sigma_res,0.001,3,OneBitHHL,18,True,1.0,0.0,1.0,0.684393115535988,0.26875589275732636
sigma_res,0.001,4,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.0003514820709824562
sigma_res,0.001,4,HHL (full),18,True,0.0,0.0,0.0,,17.92806392768398
sigma_res,0.001,4,OneBitHHL,18,True,0.3333333333333333,0.5,1.0,0.7822714327137137,0.2845391849987209
sigma_res,0.002,0,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00037155020982027054
sigma_res,0.002,0,HHL (full),18,True,0.0,0.0,0.0,,13.232557591982186
sigma_res,0.002,0,OneBitHHL,18,True,0.3333333333333333,0.5,1.0,0.7819019003768213,0.24640879314392805
sigma_res,0.002,1,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00024178577587008476
sigma_res,0.002,1,HHL (full),18,True,0.0,0.0,0.0,,17.365322140045464
sigma_res,0.002,1,OneBitHHL,18,True,1.0,0.0,1.0,0.6852958882729268,0.23543213866651058
sigma_res,0.002,2,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00022206874564290047
sigma_res,0.002,2,HHL (full),18,True,0.0,1.0,0.0,0.41382993958978853,17.40481191314757
sigma_res,0.002,2,OneBitHHL,18,True,1.0,0.0,1.0,0.6841033379010879,0.22984266700223088
sigma_res,0.002,3,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00013004522770643234
sigma_res,0.002,3,HHL (full),18,True,0.0,0.0,0.0,,17.416092679835856
sigma_res,0.002,3,OneBitHHL,18,True,1.0,0.0,1.0,0.685607483203452,0.24279125593602657
sigma_res,0.002,4,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.0003444789908826351
sigma_res,0.002,4,HHL (full),18,True,0.0,0.0,0.0,,13.288993487134576
sigma_res,0.002,4,OneBitHHL,18,True,1.0,0.0,1.0,0.6850115149525128,0.22839796403422952
