param,value,event,algorithm,n_seg,ran,efficiency,ghost,purity,fidelity,time_s
n_tracks,1,0,Classical (solve_direct),2,True,1.0,0.0,1.0,1.0,0.00033493107184767723
n_tracks,1,0,HHL (full),2,True,0.0,0.0,0.0,,0.39588505029678345
n_tracks,1,0,OneBitHHL,2,True,1.0,0.0,1.0,0.9997682421326226,0.1808661869727075
n_tracks,1,1,Classical (solve_direct),2,True,1.0,0.0,1.0,1.0,0.0013724761083722115
n_tracks,1,1,HHL (full),2,True,0.0,0.0,0.0,,0.3656862648203969
n_tracks,1,1,OneBitHHL,2,True,1.0,0.0,1.0,0.9998301048500531,0.17617025831714272
n_tracks,1,2,Classical (solve_direct),2,True,1.0,0.0,1.0,1.0,0.0010524732060730457
n_tracks,1,2,HHL (full),2,True,0.0,0.0,0.0,,0.3708574492484331
n_tracks,1,2,OneBitHHL,2,True,1.0,0.0,1.0,0.9999914903046462,0.17512785410508513
n_tracks,1,3,Classical (solve_direct),2,True,1.0,0.0,1.0,1.0,0.0011942805722355843
n_tracks,1,3,HHL (full),2,True,0.0,0.0,0.0,,0.40059132780879736
n_tracks,1,3,OneBitHHL,2,True,1.0,0.0,1.0,1.0000000000000002,0.17168846307322383
n_tracks,1,4,Classical (solve_direct),2,True,1.0,0.0,1.0,1.0,0.001047343946993351
n_tracks,1,4,HHL (full),2,True,0.0,0.0,0.0,,0.4110537339001894
n_tracks,1,4,OneBitHHL,2,True,1.0,0.0,1.0,0.9999992200489367,0.18392182467505336
n_tracks,2,0,Classical (solve_direct),8,True,0.0,1.0,0.0,1.0,0.0011937986128032207
n_tracks,2,0,HHL (full),8,True,0.0,0.0,0.0,,0.8023581118322909
n_tracks,2,0,OneBitHHL,8,True,1.0,0.0,1.0,0.799167704894516,0.178958002012223
n_tracks,2,1,Classical (solve_direct),8,True,0.0,1.0,0.0,1.0,0.0011165840551257133
n_tracks,2,1,HHL (full),8,True,0.0,0.0,0.0,,0.758040321059525
n_tracks,2,1,OneBitHHL,8,True,1.0,0.0,1.0,0.7995113543959129,0.1776804239489138
n_tracks,2,2,Classical (solve_direct),8,True,0.0,1.0,0.0,1.0,0.0011187284253537655
n_tracks,2,2,HHL (full),8,True,0.0,0.0,0.0,,5.6499358168803155
n_tracks,2,2,OneBitHHL,8,True,1.0,0.0,1.0,0.7996153201657205,0.20971093093976378
n_tracks,2,3,Classical (solve_direct),8,True,0.0,1.0,0.0,1.0,0.001258120872080326
n_tracks,2,3,HHL (full),8,True,0.0,0.0,0.0,,0.7905201353132725
n_tracks,2,3,OneBitHHL,8,True,1.0,0.0,1.0,0.7994395776362835,0.19955556513741612
n_tracks,2,4,Classical (solve_direct),8,True,0.0,1.0,0.0,1.0,0.0015003373846411705
n_tracks,2,4,HHL (full),8,True,0.0,0.0,0.0,,0.7941036778502166
n_tracks,2,4,OneBitHHL,8,True,1.0,0.0,1.0,0.7997402667273382,0.1983893672004342
n_tracks,3,0,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.0015402920544147491
n_tracks,3,0,HHL (full),18,True,0.0,0.0,0.0,,13.313494995702058
n_tracks,3,0,OneBitHHL,18,True,1.0,0.0,1.0,0.6856565367260585,0.24455546122044325
n_tracks,3,1,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00021423399448394775
n_tracks,3,1,HHL (full),18,True,0.0,0.0,0.0,,17.33716836804524
